Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Antigua and Barbuda,AC,Harvest,0,0
2011,11,Antigua and Barbuda,AC,Fires,0,0
2011,11,Antigua and Barbuda,AC,ExtremeEvents,0,0
2012,12,Antigua and Barbuda,AC,Harvest,0,0
2012,12,Antigua and Barbuda,AC,Fires,0,0
2012,12,Antigua and Barbuda,AC,ExtremeEvents,0,0
2013,13,Antigua and Barbuda,AC,Harvest,0,0
2013,13,Antigua and Barbuda,AC,Fires,0,0
2013,13,Antigua and Barbuda,AC,ExtremeEvents,0,0
2014,14,Antigua and Barbuda,AC,Harvest,0,0
2014,14,Antigua and Barbuda,AC,Fires,0,0
2014,14,Antigua and Barbuda,AC,ExtremeEvents,0,0
2015,15,Antigua and Barbuda,AC,Harvest,0,0
2015,15,Antigua and Barbuda,AC,Fires,0,0
2015,15,Antigua and Barbuda,AC,ExtremeEvents,0,0
2016,16,Antigua and Barbuda,AC,Harvest,0,0
2016,16,Antigua and Barbuda,AC,Fires,0,0
2016,16,Antigua and Barbuda,AC,ExtremeEvents,0,0
2017,17,Antigua and Barbuda,AC,Harvest,0,0
2017,17,Antigua and Barbuda,AC,Fires,0,0
2017,17,Antigua and Barbuda,AC,ExtremeEvents,0,0
2018,18,Antigua and Barbuda,AC,Harvest,0,0
2018,18,Antigua and Barbuda,AC,Fires,0,0
2018,18,Antigua and Barbuda,AC,ExtremeEvents,0,0
2019,19,Antigua and Barbuda,AC,Harvest,0,0
2019,19,Antigua and Barbuda,AC,Fires,0,0
2019,19,Antigua and Barbuda,AC,ExtremeEvents,0,0
2020,20,Antigua and Barbuda,AC,Harvest,0,0
2020,20,Antigua and Barbuda,AC,Fires,0,0
2020,20,Antigua and Barbuda,AC,ExtremeEvents,0,0
2021,21,Antigua and Barbuda,AC,Harvest,0,0
2021,21,Antigua and Barbuda,AC,Fires,0,0
2021,21,Antigua and Barbuda,AC,ExtremeEvents,0,0
2022,22,Antigua and Barbuda,AC,Harvest,0,0
2022,22,Antigua and Barbuda,AC,Fires,0,0
2022,22,Antigua and Barbuda,AC,ExtremeEvents,0,0
2023,23,Antigua and Barbuda,AC,Harvest,0,0
2023,23,Antigua and Barbuda,AC,Fires,0,0
2023,23,Antigua and Barbuda,AC,ExtremeEvents,0,0
2024,24,Antigua and Barbuda,AC,Harvest,0,0
2024,24,Antigua and Barbuda,AC,Fires,0,0
2024,24,Antigua and Barbuda,AC,ExtremeEvents,0,0
2025,25,Antigua and Barbuda,AC,Harvest,0,0
2025,25,Antigua and Barbuda,AC,Fires,0,0
2025,25,Antigua and Barbuda,AC,ExtremeEvents,0,0
