Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,United Arab Emirates,AE,Harvest,0,0
2011,11,United Arab Emirates,AE,Fires,0,0
2011,11,United Arab Emirates,AE,ExtremeEvents,0,0
2012,12,United Arab Emirates,AE,Harvest,0,0
2012,12,United Arab Emirates,AE,Fires,0,0
2012,12,United Arab Emirates,AE,ExtremeEvents,0,0
2013,13,United Arab Emirates,AE,Harvest,0,0
2013,13,United Arab Emirates,AE,Fires,0,0
2013,13,United Arab Emirates,AE,ExtremeEvents,0,0
2014,14,United Arab Emirates,AE,Harvest,0,0
2014,14,United Arab Emirates,AE,Fires,0,0
2014,14,United Arab Emirates,AE,ExtremeEvents,0,0
2015,15,United Arab Emirates,AE,Harvest,0,0
2015,15,United Arab Emirates,AE,Fires,0,0
2015,15,United Arab Emirates,AE,ExtremeEvents,0,0
2016,16,United Arab Emirates,AE,Harvest,0,0
2016,16,United Arab Emirates,AE,Fires,0,0
2016,16,United Arab Emirates,AE,ExtremeEvents,0,0
2017,17,United Arab Emirates,AE,Harvest,0,0
2017,17,United Arab Emirates,AE,Fires,0,0
2017,17,United Arab Emirates,AE,ExtremeEvents,0,0
2018,18,United Arab Emirates,AE,Harvest,0,0
2018,18,United Arab Emirates,AE,Fires,0,0
2018,18,United Arab Emirates,AE,ExtremeEvents,0,0
2019,19,United Arab Emirates,AE,Harvest,0,0
2019,19,United Arab Emirates,AE,Fires,0,0
2019,19,United Arab Emirates,AE,ExtremeEvents,0,0
2020,20,United Arab Emirates,AE,Harvest,0,0
2020,20,United Arab Emirates,AE,Fires,0,0
2020,20,United Arab Emirates,AE,ExtremeEvents,0,0
2021,21,United Arab Emirates,AE,Harvest,0,0
2021,21,United Arab Emirates,AE,Fires,0,0
2021,21,United Arab Emirates,AE,ExtremeEvents,0,0
2022,22,United Arab Emirates,AE,Harvest,0,0
2022,22,United Arab Emirates,AE,Fires,0,0
2022,22,United Arab Emirates,AE,ExtremeEvents,0,0
2023,23,United Arab Emirates,AE,Harvest,0,0
2023,23,United Arab Emirates,AE,Fires,0,0
2023,23,United Arab Emirates,AE,ExtremeEvents,0,0
2024,24,United Arab Emirates,AE,Harvest,0,0
2024,24,United Arab Emirates,AE,Fires,0,0
2024,24,United Arab Emirates,AE,ExtremeEvents,0,0
2025,25,United Arab Emirates,AE,Harvest,0,0
2025,25,United Arab Emirates,AE,Fires,0,0
2025,25,United Arab Emirates,AE,ExtremeEvents,0,0
