Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Algeria,AG,Harvest,9568640.90694221,0.956864090694221
2011,11,Algeria,AG,Fires,11185160.219629625,1.1185160219629624
2011,11,Algeria,AG,ExtremeEvents,28088.909912109375,0.0028088909912109376
2012,12,Algeria,AG,Harvest,6995186.86792016,0.699518686792016
2012,12,Algeria,AG,Fires,19538287.77678845,1.953828777678845
2012,12,Algeria,AG,ExtremeEvents,0,0
2013,13,Algeria,AG,Harvest,7205174.734095672,0.7205174734095672
2013,13,Algeria,AG,Fires,10595308.929471364,1.0595308929471363
2013,13,Algeria,AG,ExtremeEvents,4320.53662109375,4.32053662109375e-4
2014,14,Algeria,AG,Harvest,7759517.466383509,0.775951746638351
2014,14,Algeria,AG,Fires,22467336.806371354,2.2467336806371354
2014,14,Algeria,AG,ExtremeEvents,3600.4202880859375,3.6004202880859373e-4
2015,15,Algeria,AG,Harvest,8101682.300730029,0.8101682300730029
2015,15,Algeria,AG,Fires,8900357.9879373,0.89003579879373
2015,15,Algeria,AG,ExtremeEvents,1440.4039306640625,1.4404039306640626e-4
2016,16,Algeria,AG,Harvest,7001998.930276066,0.7001998930276067
2016,16,Algeria,AG,Fires,18232924.30746257,1.823292430746257
2016,16,Algeria,AG,ExtremeEvents,0,0
2017,17,Algeria,AG,Harvest,11846014.02927199,1.184601402927199
2017,17,Algeria,AG,Fires,102809764.9779905,10.280976497799049
2017,17,Algeria,AG,ExtremeEvents,720.11138916015625,7.201113891601563e-5
2018,18,Algeria,AG,Harvest,6744456.103996009,0.6744456103996008
2018,18,Algeria,AG,Fires,8217903.255890012,0.8217903255890012
2018,18,Algeria,AG,ExtremeEvents,0,0
2019,19,Algeria,AG,Harvest,8540844.300933478,0.8540844300933479
2019,19,Algeria,AG,Fires,8690601.849359011,0.8690601849359011
2019,19,Algeria,AG,ExtremeEvents,0,0
2020,20,Algeria,AG,Harvest,7414754.634619616,0.7414754634619616
2020,20,Algeria,AG,Fires,35113276.703679584,3.5113276703679586
2020,20,Algeria,AG,ExtremeEvents,0,0
2021,21,Algeria,AG,Harvest,5146591.148742676,0.5146591148742676
2021,21,Algeria,AG,Fires,80893960.05241172,8.089396005241172
2021,21,Algeria,AG,ExtremeEvents,0,0
2022,22,Algeria,AG,Harvest,5592113.628948372,0.5592113628948372
2022,22,Algeria,AG,Fires,17686195.38153938,1.7686195381539378
2022,22,Algeria,AG,ExtremeEvents,0,0
2023,23,Algeria,AG,Harvest,8930398.438735306,0.8930398438735306
2023,23,Algeria,AG,Fires,77148681.1550147,7.71486811550147
2023,23,Algeria,AG,ExtremeEvents,0,0
2024,24,Algeria,AG,Harvest,8175131.212194346,0.8175131212194345
2024,24,Algeria,AG,Fires,7326425.193429984,0.7326425193429984
2024,24,Algeria,AG,ExtremeEvents,0,0
2025,25,Algeria,AG,Harvest,15369313.542570949,1.5369313542570948
2025,25,Algeria,AG,Fires,13893356.609985352,1.3893356609985352
2025,25,Algeria,AG,ExtremeEvents,0,0
