Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Azerbaijan,AJ,Harvest,1161241.654026166,0.11612416540261661
2011,11,Azerbaijan,AJ,Fires,191789.23315429688,0.019178923315429686
2011,11,Azerbaijan,AJ,ExtremeEvents,0,0
2012,12,Azerbaijan,AJ,Harvest,4826790.876062011,0.48267908760620115
2012,12,Azerbaijan,AJ,Fires,340369.13287353516,0.03403691328735352
2012,12,Azerbaijan,AJ,ExtremeEvents,0,0
2013,13,Azerbaijan,AJ,Harvest,1021739.6077306408,0.10217396077306408
2013,13,Azerbaijan,AJ,Fires,246975.97332763672,0.024697597332763672
2013,13,Azerbaijan,AJ,ExtremeEvents,0,0
2014,14,Azerbaijan,AJ,Harvest,1026036.0710083009,0.1026036071008301
2014,14,Azerbaijan,AJ,Fires,1875787.7807006836,0.18757877807006837
2014,14,Azerbaijan,AJ,ExtremeEvents,0,0
2015,15,Azerbaijan,AJ,Harvest,42708.008056640596,0.00427080080566406
2015,15,Azerbaijan,AJ,Fires,207768.6077270508,0.02077686077270508
2015,15,Azerbaijan,AJ,ExtremeEvents,0,0
2016,16,Azerbaijan,AJ,Harvest,175480.55877685544,0.017548055877685546
2016,16,Azerbaijan,AJ,Fires,72273.6206665039,0.00722736206665039
2016,16,Azerbaijan,AJ,ExtremeEvents,0,0
2017,17,Azerbaijan,AJ,Harvest,412318.96252441406,0.041231896252441405
2017,17,Azerbaijan,AJ,Fires,215153.8923339844,0.02151538923339844
2017,17,Azerbaijan,AJ,ExtremeEvents,0,0
2018,18,Azerbaijan,AJ,Harvest,513814.3887939453,0.05138143887939453
2018,18,Azerbaijan,AJ,Fires,104450.43908691406,0.010445043908691406
2018,18,Azerbaijan,AJ,ExtremeEvents,0,0
2019,19,Azerbaijan,AJ,Harvest,93718.129150390625,0.009371812915039062
2019,19,Azerbaijan,AJ,Fires,17729.67791748047,0.001772967791748047
2019,19,Azerbaijan,AJ,ExtremeEvents,0,0
2020,20,Azerbaijan,AJ,Harvest,166757.9228515625,0.01667579228515625
2020,20,Azerbaijan,AJ,Fires,4820.835754394531,4.820835754394531e-4
2020,20,Azerbaijan,AJ,ExtremeEvents,0,0
2021,21,Azerbaijan,AJ,Harvest,716447.0051879883,0.07164470051879883
2021,21,Azerbaijan,AJ,Fires,28124.84649658203,0.002812484649658203
2021,21,Azerbaijan,AJ,ExtremeEvents,0,0
2022,22,Azerbaijan,AJ,Harvest,1430110.070028866,0.1430110070028866
2022,22,Azerbaijan,AJ,Fires,33725.968811035156,0.0033725968811035155
2022,22,Azerbaijan,AJ,ExtremeEvents,0,0
2023,23,Azerbaijan,AJ,Harvest,3257991.2393188477,0.32579912393188476
2023,23,Azerbaijan,AJ,Fires,945987.181274414,0.09459871812744139
2023,23,Azerbaijan,AJ,ExtremeEvents,0,0
2024,24,Azerbaijan,AJ,Harvest,1547029.7690288469,0.15470297690288468
2024,24,Azerbaijan,AJ,Fires,103069.37097167967,0.010306937097167967
2024,24,Azerbaijan,AJ,ExtremeEvents,0,0
2025,25,Azerbaijan,AJ,Harvest,1130300.7280883787,0.11303007280883787
2025,25,Azerbaijan,AJ,Fires,80940.40344238281,0.00809404034423828
2025,25,Azerbaijan,AJ,ExtremeEvents,0,0
