Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Albania,AL,Harvest,5743966.924684771,0.5743966924684771
2011,11,Albania,AL,Fires,6928474.069607365,0.6928474069607365
2011,11,Albania,AL,ExtremeEvents,0,0
2012,12,Albania,AL,Harvest,28994349.53001445,2.899434953001445
2012,12,Albania,AL,Fires,26758493.732854385,2.6758493732854385
2012,12,Albania,AL,ExtremeEvents,0,0
2013,13,Albania,AL,Harvest,12689489.468002263,1.2689489468002264
2013,13,Albania,AL,Fires,14928024.471546128,1.4928024471546129
2013,13,Albania,AL,ExtremeEvents,0,0
2014,14,Albania,AL,Harvest,8800025.735336486,0.8800025735336486
2014,14,Albania,AL,Fires,2769032.3493652344,0.2769032349365234
2014,14,Albania,AL,ExtremeEvents,0,0
2015,15,Albania,AL,Harvest,2819778.2187179266,0.28197782187179266
2015,15,Albania,AL,Fires,394058.4293823242,0.03940584293823242
2015,15,Albania,AL,ExtremeEvents,0,0
2016,16,Albania,AL,Harvest,7149604.795090621,0.7149604795090622
2016,16,Albania,AL,Fires,3526529.488861203,0.3526529488861203
2016,16,Albania,AL,ExtremeEvents,0,0
2017,17,Albania,AL,Harvest,7561418.83624794,0.756141883624794
2017,17,Albania,AL,Fires,12188427.583240945,1.2188427583240944
2017,17,Albania,AL,ExtremeEvents,0,0
2018,18,Albania,AL,Harvest,14167668.33274189,1.416766833274189
2018,18,Albania,AL,Fires,7754904.789722878,0.7754904789722877
2018,18,Albania,AL,ExtremeEvents,0,0
2019,19,Albania,AL,Harvest,8245039.005202827,0.8245039005202827
2019,19,Albania,AL,Fires,3978145.942575493,0.3978145942575493
2019,19,Albania,AL,ExtremeEvents,0,0
2020,20,Albania,AL,Harvest,7342001.245970005,0.7342001245970006
2020,20,Albania,AL,Fires,5223539.087056717,0.5223539087056717
2020,20,Albania,AL,ExtremeEvents,0,0
2021,21,Albania,AL,Harvest,8008159.6623535175,0.8008159662353518
2021,21,Albania,AL,Fires,11186669.287737915,1.1186669287737916
2021,21,Albania,AL,ExtremeEvents,0,0
2022,22,Albania,AL,Harvest,9217962.468184646,0.9217962468184646
2022,22,Albania,AL,Fires,13959932.383102115,1.3959932383102116
2022,22,Albania,AL,ExtremeEvents,0,0
2023,23,Albania,AL,Harvest,15056036.867199227,1.5056036867199227
2023,23,Albania,AL,Fires,11936143.510986328,1.1936143510986328
2023,23,Albania,AL,ExtremeEvents,0,0
2024,24,Albania,AL,Harvest,5041557.905768421,0.504155790576842
2024,24,Albania,AL,Fires,5266093.795302926,0.5266093795302925
2024,24,Albania,AL,ExtremeEvents,0,0
2025,25,Albania,AL,Harvest,11545864.884648822,1.1545864884648822
2025,25,Albania,AL,Fires,35380701.26745007,3.538070126745007
2025,25,Albania,AL,ExtremeEvents,0,0
