Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Armenia,AM,Harvest,1585044.6810913086,0.15850446810913085
2011,11,Armenia,AM,Fires,140594.24963378906,0.014059424963378907
2011,11,Armenia,AM,ExtremeEvents,0,0
2012,12,Armenia,AM,Harvest,1613097.5619449394,0.16130975619449395
2012,12,Armenia,AM,Fires,298649.64416503906,0.029864964416503905
2012,12,Armenia,AM,ExtremeEvents,0,0
2013,13,Armenia,AM,Harvest,381892.0412597656,0.03818920412597656
2013,13,Armenia,AM,Fires,22470.767700195312,0.0022470767700195314
2013,13,Armenia,AM,ExtremeEvents,0,0
2014,14,Armenia,AM,Harvest,324910.9169921875,0.03249109169921875
2014,14,Armenia,AM,Fires,50212.46295166016,0.005021246295166017
2014,14,Armenia,AM,ExtremeEvents,0,0
2015,15,Armenia,AM,Harvest,17699.474487304688,0.0017699474487304688
2015,15,Armenia,AM,Fires,1355.596923828125,1.355596923828125e-4
2015,15,Armenia,AM,ExtremeEvents,0,0
2016,16,Armenia,AM,Harvest,280417.80822753906,0.028041780822753905
2016,16,Armenia,AM,Fires,27203.955932617188,0.002720395593261719
2016,16,Armenia,AM,ExtremeEvents,0,0
2017,17,Armenia,AM,Harvest,247008.1923828125,0.02470081923828125
2017,17,Armenia,AM,Fires,164070.79266357422,0.01640707926635742
2017,17,Armenia,AM,ExtremeEvents,0,0
2018,18,Armenia,AM,Harvest,48194.20153808594,0.004819420153808594
2018,18,Armenia,AM,Fires,8848.1685791015625,8.848168579101563e-4
2018,18,Armenia,AM,ExtremeEvents,0,0
2019,19,Armenia,AM,Harvest,5438.357971191406,5.438357971191407e-4
2019,19,Armenia,AM,Fires,1394.3629150390625,1.3943629150390624e-4
2019,19,Armenia,AM,ExtremeEvents,0,0
2020,20,Armenia,AM,Harvest,177348.43658447266,0.017734843658447266
2020,20,Armenia,AM,Fires,11509.51708984375,0.001150951708984375
2020,20,Armenia,AM,ExtremeEvents,0,0
2021,21,Armenia,AM,Harvest,46830.10021972656,0.004683010021972656
2021,21,Armenia,AM,Fires,1354.9617919921875,1.3549617919921876e-4
2021,21,Armenia,AM,ExtremeEvents,0,0
2022,22,Armenia,AM,Harvest,74915.03729248047,0.0074915037292480465
2022,22,Armenia,AM,Fires,0,0
2022,22,Armenia,AM,ExtremeEvents,0,0
2023,23,Armenia,AM,Harvest,769957.1759033203,0.07699571759033202
2023,23,Armenia,AM,Fires,73074.923583984375,0.007307492358398437
2023,23,Armenia,AM,ExtremeEvents,0,0
2024,24,Armenia,AM,Harvest,257731.57495117188,0.025773157495117188
2024,24,Armenia,AM,Fires,30584.71795654297,0.003058471795654297
2024,24,Armenia,AM,ExtremeEvents,0,0
2025,25,Armenia,AM,Harvest,365517.4655761719,0.036551746557617185
2025,25,Armenia,AM,Fires,10341.48583984375,0.001034148583984375
2025,25,Armenia,AM,ExtremeEvents,0,0
