Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Angola,AO,Harvest,4550532.526672363,0.45505325266723634
2011,11,Angola,AO,Fires,2621.555908203125,2.621555908203125e-4
2011,11,Angola,AO,ExtremeEvents,807438.2646484375,0.08074382646484375
2012,12,Angola,AO,Harvest,8992688.087219238,0.8992688087219238
2012,12,Angola,AO,Fires,17484.867431640625,0.0017484867431640625
2012,12,Angola,AO,ExtremeEvents,1379425.5010375977,0.13794255010375978
2013,13,Angola,AO,Harvest,2615675.574890137,0.2615675574890137
2013,13,Angola,AO,Fires,16602.234741210938,0.0016602234741210937
2013,13,Angola,AO,ExtremeEvents,996617.949645996,0.09966179496459959
2014,14,Angola,AO,Harvest,5169890.340332031,0.5169890340332032
2014,14,Angola,AO,Fires,29709.94171142578,0.002970994171142578
2014,14,Angola,AO,ExtremeEvents,1089035.3086547852,0.10890353086547852
2015,15,Angola,AO,Harvest,2214549.07232666,0.221454907232666
2015,15,Angola,AO,Fires,52430.70153808594,0.005243070153808594
2015,15,Angola,AO,ExtremeEvents,901561.8057861328,0.09015618057861328
2016,16,Angola,AO,Harvest,4033677.703857422,0.4033677703857422
2016,16,Angola,AO,Fires,64660.72912597656,0.006466072912597656
2016,16,Angola,AO,ExtremeEvents,970422.0805053712,0.09704220805053712
2017,17,Angola,AO,Harvest,5351576.995483398,0.5351576995483398
2017,17,Angola,AO,Fires,485816.14276123047,0.04858161427612305
2017,17,Angola,AO,ExtremeEvents,679213.8142089844,0.06792138142089844
2018,18,Angola,AO,Harvest,3133172.096801758,0.3133172096801758
2018,18,Angola,AO,Fires,179126.50384521484,0.017912650384521483
2018,18,Angola,AO,ExtremeEvents,709704.0474243164,0.07097040474243164
2019,19,Angola,AO,Harvest,2254268.1049804688,0.2254268104980469
2019,19,Angola,AO,Fires,38447.94970703125,0.003844794970703125
2019,19,Angola,AO,ExtremeEvents,310377.03302001953,0.031037703302001955
2020,20,Angola,AO,Harvest,4206108.498046875,0.4206108498046875
2020,20,Angola,AO,Fires,49807.17175292969,0.0049807171752929685
2020,20,Angola,AO,ExtremeEvents,440296.8115234375,0.04402968115234375
2021,21,Angola,AO,Harvest,2959931.231994629,0.2959931231994629
2021,21,Angola,AO,Fires,0,0
2021,21,Angola,AO,ExtremeEvents,173511.98217773438,0.017351198217773436
2022,22,Angola,AO,Harvest,3011019.0068969727,0.3011019006896973
2022,22,Angola,AO,Fires,58545.25244140625,0.005854525244140625
2022,22,Angola,AO,ExtremeEvents,122938.51892089844,0.012293851892089844
2023,23,Angola,AO,Harvest,2434256.9512939453,0.24342569512939452
2023,23,Angola,AO,Fires,21845.978759765625,0.0021845978759765625
2023,23,Angola,AO,ExtremeEvents,50571.444091796875,0.005057144409179688
2024,24,Angola,AO,Harvest,2402498.3569335938,0.24024983569335936
2024,24,Angola,AO,Fires,195741.00848388672,0.019574100848388672
2024,24,Angola,AO,ExtremeEvents,20055.397033691406,0.0020055397033691405
2025,25,Angola,AO,Harvest,2514184.5040283203,0.251418450402832
2025,25,Angola,AO,Fires,40193.00860595703,0.004019300860595703
2025,25,Angola,AO,ExtremeEvents,125554.24353027344,0.012555424353027344
