Year,name,value,ISO3,Country,value_kha
2011,Harvest,391973144.3472011,AQ,American Samoa,39.19731443472011
2011,Fires,307753226.6202526,AQ,American Samoa,30.77532266202526
2011,ExtremeEvents,341894514.80804205,AQ,American Samoa,34.1894514808042
2012,Harvest,483668036.37480986,AQ,American Samoa,48.366803637480984
2012,Fires,481982552.11022574,AQ,American Samoa,48.19825521102258
2012,ExtremeEvents,341410625.68002546,AQ,American Samoa,34.141062568002546
2013,Harvest,506265010.08227575,AQ,American Samoa,50.62650100822758
2013,Fires,1159744322.780031,AQ,American Samoa,115.97443227800309
2013,ExtremeEvents,594058339.8011931,AQ,American Samoa,59.40583398011931
2014,Harvest,544871984.1831012,AQ,American Samoa,54.487198418310115
2014,Fires,1245186060.524487,AQ,American Samoa,124.5186060524487
2014,ExtremeEvents,788754188.4477468,AQ,American Samoa,78.87541884477467
2015,Harvest,513229546.3655823,AQ,American Samoa,51.32295463655823
2015,Fires,1657808996.754526,AQ,American Samoa,165.7808996754526
2015,ExtremeEvents,388581242.6053929,AQ,American Samoa,38.858124260539284
2016,Harvest,771951976.4171474,AQ,American Samoa,77.19519764171474
2016,Fires,2387962627.417215,AQ,American Samoa,238.79626274172148
2016,ExtremeEvents,1308369960.050104,AQ,American Samoa,130.83699600501038
2017,Harvest,649595055.6251308,AQ,American Samoa,64.95950556251307
2017,Fires,788531355.7724103,AQ,American Samoa,78.85313557724103
2017,ExtremeEvents,598604720.8849214,AQ,American Samoa,59.860472088492145
2018,Harvest,624419342.4864285,AQ,American Samoa,62.44193424864285
2018,Fires,1501148474.899399,AQ,American Samoa,150.1148474899399
2018,ExtremeEvents,630559910.4834142,AQ,American Samoa,63.05599104834142
2019,Harvest,785286107.5235128,AQ,American Samoa,78.52861075235128
2019,Fires,8982895292.035006,AQ,American Samoa,898.2895292035006
2019,ExtremeEvents,3814651597.869769,AQ,American Samoa,381.4651597869769
2020,Harvest,823751179.6200352,AQ,American Samoa,82.37511796200351
2020,Fires,8681248268.095707,AQ,American Samoa,868.1248268095707
2020,ExtremeEvents,15601335891.381456,AQ,American Samoa,1560.1335891381457
2021,Harvest,530213981.98861617,AQ,American Samoa,53.02139819886162
2021,Fires,719776683.9673302,AQ,American Samoa,71.97766839673302
2021,ExtremeEvents,466129595.7599259,AQ,American Samoa,46.61295957599259
2022,Harvest,407543439.5175377,AQ,American Samoa,40.75434395175377
2022,Fires,555653441.6784508,AQ,American Samoa,55.56534416784508
2022,ExtremeEvents,207246035.20820865,AQ,American Samoa,20.724603520820864
2023,Harvest,318320630.55146277,AQ,American Samoa,31.83206305514628
2023,Fires,1067838039.0491824,AQ,American Samoa,106.78380390491824
2023,ExtremeEvents,203586065.97054157,AQ,American Samoa,20.358606597054155
2024,Harvest,351216911.0883593,AQ,American Samoa,35.12169110883593
2024,Fires,945436926.7065088,AQ,American Samoa,94.54369267065087
2024,ExtremeEvents,439614541.89994305,AQ,American Samoa,43.961454189994306
2025,Harvest,355372659.7270181,AQ,American Samoa,35.53726597270181
2025,Fires,1583842132.4187272,AQ,American Samoa,158.38421324187271
2025,ExtremeEvents,1289473692.0734558,AQ,American Samoa,128.9473692073456
