Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Austria,AU,Harvest,157918182.85736033,15.791818285736033
2011,11,Austria,AU,Fires,1033157.9841308594,0.10331579841308594
2011,11,Austria,AU,ExtremeEvents,19957942.43920946,1.9957942439209462
2012,12,Austria,AU,Harvest,97880993.47766018,9.788099347766018
2012,12,Austria,AU,Fires,1162333.2030902938,0.11623332030902939
2012,12,Austria,AU,ExtremeEvents,11069497.462882008,1.1069497462882008
2013,13,Austria,AU,Harvest,66756672.1423055,6.67566721423055
2013,13,Austria,AU,Fires,219176.6470336914,0.02191766470336914
2013,13,Austria,AU,ExtremeEvents,7370225.968492934,0.7370225968492934
2014,14,Austria,AU,Harvest,83759091.4608614,8.37590914608614
2014,14,Austria,AU,Fires,381497.1881713867,0.038149718817138675
2014,14,Austria,AU,ExtremeEvents,12085102.75033318,1.208510275033318
2015,15,Austria,AU,Harvest,72613570.16133913,7.261357016133913
2015,15,Austria,AU,Fires,34769.308532714844,0.0034769308532714843
2015,15,Austria,AU,ExtremeEvents,5474223.300926538,0.5474223300926538
2016,16,Austria,AU,Harvest,149705213.01705247,14.970521301705247
2016,16,Austria,AU,Fires,420842.73724365234,0.04208427372436523
2016,16,Austria,AU,ExtremeEvents,19386132.26151865,1.938613226151865
2017,17,Austria,AU,Harvest,156288342.0939477,15.628834209394771
2017,17,Austria,AU,Fires,485528.1295776367,0.048552812957763675
2017,17,Austria,AU,ExtremeEvents,24842746.506334253,2.4842746506334255
2018,18,Austria,AU,Harvest,173928963.59028846,17.392896359028846
2018,18,Austria,AU,Fires,132739.3387451172,0.013273933874511718
2018,18,Austria,AU,ExtremeEvents,85259236.88834251,8.52592368883425
2019,19,Austria,AU,Harvest,211597704.48453277,21.159770448453276
2019,19,Austria,AU,Fires,226860.93572998047,0.022686093572998046
2019,19,Austria,AU,ExtremeEvents,118172548.76942426,11.817254876942426
2020,20,Austria,AU,Harvest,170651506.20164144,17.065150620164143
2020,20,Austria,AU,Fires,996206.2098999023,0.09962062098999024
2020,20,Austria,AU,ExtremeEvents,84195257.64349845,8.419525764349846
2021,21,Austria,AU,Harvest,136133475.50692424,13.613347550692424
2021,21,Austria,AU,Fires,726222.1687789618,0.07262221687789618
2021,21,Austria,AU,ExtremeEvents,26783307.33044314,2.678330733044314
2022,22,Austria,AU,Harvest,162975913.3999375,16.29759133999375
2022,22,Austria,AU,Fires,172594.41943359375,0.017259441943359374
2022,22,Austria,AU,ExtremeEvents,31593972.559005197,3.1593972559005197
2023,23,Austria,AU,Harvest,204118212.85018098,20.4118212850181
2023,23,Austria,AU,Fires,221696.3218994141,0.022169632189941408
2023,23,Austria,AU,ExtremeEvents,56463658.64091701,5.646365864091701
2024,24,Austria,AU,Harvest,231618469.34489146,23.161846934489144
2024,24,Austria,AU,Fires,790522.2737426758,0.07905222737426758
2024,24,Austria,AU,ExtremeEvents,38167503.208245255,3.8167503208245255
2025,25,Austria,AU,Harvest,228884436.1265415,22.88844361265415
2025,25,Austria,AU,Fires,483138.77490234375,0.04831387749023437
2025,25,Austria,AU,ExtremeEvents,41829502.86641103,4.182950286641103
