Year,name,value,ISO3,Country,value_kha
2011,Harvest,166166.36433967168,AF,Afghanistan,0.01661663643396717
2011,Fires,1001554.159871898,AF,Afghanistan,0.1001554159871898
2011,ExtremeEvents,0,AF,Afghanistan,0
2012,Harvest,184830.67116364127,AF,Afghanistan,0.018483067116364126
2012,Fires,221691.76837158203,AF,Afghanistan,0.022169176837158203
2012,ExtremeEvents,0,AF,Afghanistan,0
2013,Harvest,8856.351121371401,AF,Afghanistan,8.856351121371401e-4
2013,Fires,14057.102111816406,AF,Afghanistan,0.0014057102111816407
2013,ExtremeEvents,0,AF,Afghanistan,0
2014,Harvest,27199.521850585938,AF,Afghanistan,0.0027199521850585938
2014,Fires,8068.380310058594,AF,Afghanistan,8.068380310058594e-4
2014,ExtremeEvents,0,AF,Afghanistan,0
2018,Harvest,69503.74108886719,AF,Afghanistan,0.006950374108886719
2018,Fires,207565.52276611328,AF,Afghanistan,0.02075655227661133
2018,ExtremeEvents,0,AF,Afghanistan,0
2019,Harvest,61963.88317871097,AF,Afghanistan,0.006196388317871096
2019,Fires,136893.4100341797,AF,Afghanistan,0.013689341003417968
2019,ExtremeEvents,0,AF,Afghanistan,0
2020,Harvest,227273.62127685547,AF,Afghanistan,0.022727362127685547
2020,Fires,174350.80987548828,AF,Afghanistan,0.01743508098754883
2020,ExtremeEvents,0,AF,Afghanistan,0
2021,Harvest,178995.78540039062,AF,Afghanistan,0.01789957854003906
2021,Fires,175209.53582763672,AF,Afghanistan,0.017520953582763673
2021,ExtremeEvents,0,AF,Afghanistan,0
2022,Harvest,56613.74871826172,AF,Afghanistan,0.005661374871826172
2022,Fires,34807.310546875,AF,Afghanistan,0.0034807310546875
2022,ExtremeEvents,0,AF,Afghanistan,0
2023,Harvest,7403.6533203125,AF,Afghanistan,7.4036533203125e-4
2023,Fires,136808.2573852539,AF,Afghanistan,0.01368082573852539
2023,ExtremeEvents,0,AF,Afghanistan,0
2024,Harvest,46110.4970703125,AF,Afghanistan,0.00461104970703125
2024,Fires,160059.7681274414,AF,Afghanistan,0.01600597681274414
2024,ExtremeEvents,0,AF,Afghanistan,0
2025,Harvest,19912.48406982422,AF,Afghanistan,0.001991248406982422
2025,Fires,86777.366455078125,AF,Afghanistan,0.008677736645507812
2025,ExtremeEvents,0,AF,Afghanistan,0
2011,Harvest,5743966.924684771,AL,Albania,0.5743966924684771
2011,Fires,6928474.069607365,AL,Albania,0.6928474069607365
2011,ExtremeEvents,0,AL,Albania,0
2012,Harvest,28994349.53001445,AL,Albania,2.899434953001445
2012,Fires,26758493.732854385,AL,Albania,2.6758493732854385
2012,ExtremeEvents,0,AL,Albania,0
2013,Harvest,12689489.468002263,AL,Albania,1.2689489468002264
2013,Fires,14928024.471546128,AL,Albania,1.4928024471546129
2013,ExtremeEvents,0,AL,Albania,0
2014,Harvest,8800025.735336486,AL,Albania,0.8800025735336486
2014,Fires,2769032.3493652344,AL,Albania,0.2769032349365234
2014,ExtremeEvents,0,AL,Albania,0
2015,Harvest,2819778.2187179266,AL,Albania,0.28197782187179266
2015,Fires,394058.4293823242,AL,Albania,0.03940584293823242
2015,ExtremeEvents,0,AL,Albania,0
2016,Harvest,7149604.795090621,AL,Albania,0.7149604795090622
2016,Fires,3526529.488861203,AL,Albania,0.3526529488861203
2016,ExtremeEvents,0,AL,Albania,0
2017,Harvest,7561418.83624794,AL,Albania,0.756141883624794
2017,Fires,12188427.583240945,AL,Albania,1.2188427583240944
2017,ExtremeEvents,0,AL,Albania,0
2018,Harvest,14167668.33274189,AL,Albania,1.416766833274189
2018,Fires,7754904.789722878,AL,Albania,0.7754904789722877
2018,ExtremeEvents,0,AL,Albania,0
2019,Harvest,8245039.005202827,AL,Albania,0.8245039005202827
2019,Fires,3978145.942575493,AL,Albania,0.3978145942575493
2019,ExtremeEvents,0,AL,Albania,0
2020,Harvest,7342001.245970005,AL,Albania,0.7342001245970006
2020,Fires,5223539.087056717,AL,Albania,0.5223539087056717
2020,ExtremeEvents,0,AL,Albania,0
2021,Harvest,8008159.6623535175,AL,Albania,0.8008159662353518
2021,Fires,11186669.287737915,AL,Albania,1.1186669287737916
2021,ExtremeEvents,0,AL,Albania,0
2022,Harvest,9217962.468184646,AL,Albania,0.9217962468184646
2022,Fires,13959932.383102115,AL,Albania,1.3959932383102116
2022,ExtremeEvents,0,AL,Albania,0
2023,Harvest,15056036.867199227,AL,Albania,1.5056036867199227
2023,Fires,11936143.510986328,AL,Albania,1.1936143510986328
2023,ExtremeEvents,0,AL,Albania,0
2024,Harvest,5041557.905768421,AL,Albania,0.504155790576842
2024,Fires,5266093.795302926,AL,Albania,0.5266093795302925
2024,ExtremeEvents,0,AL,Albania,0
2025,Harvest,11545864.884648822,AL,Albania,1.1545864884648822
2025,Fires,35380701.26745007,AL,Albania,3.538070126745007
2025,ExtremeEvents,0,AL,Albania,0
2011,Harvest,391973144.3472011,AQ,American Samoa,39.19731443472011
2011,Fires,307753226.6202526,AQ,American Samoa,30.77532266202526
2011,ExtremeEvents,341894514.80804205,AQ,American Samoa,34.1894514808042
2012,Harvest,483668036.37480986,AQ,American Samoa,48.366803637480984
2012,Fires,481982552.11022574,AQ,American Samoa,48.19825521102258
2012,ExtremeEvents,341410625.68002546,AQ,American Samoa,34.141062568002546
2013,Harvest,506265010.08227575,AQ,American Samoa,50.62650100822758
2013,Fires,1159744322.780031,AQ,American Samoa,115.97443227800309
2013,ExtremeEvents,594058339.8011931,AQ,American Samoa,59.40583398011931
2014,Harvest,544871984.1831012,AQ,American Samoa,54.487198418310115
2014,Fires,1245186060.524487,AQ,American Samoa,124.5186060524487
2014,ExtremeEvents,788754188.4477468,AQ,American Samoa,78.87541884477467
2015,Harvest,513229546.3655823,AQ,American Samoa,51.32295463655823
2015,Fires,1657808996.754526,AQ,American Samoa,165.7808996754526
2015,ExtremeEvents,388581242.6053929,AQ,American Samoa,38.858124260539284
2016,Harvest,771951976.4171474,AQ,American Samoa,77.19519764171474
2016,Fires,2387962627.417215,AQ,American Samoa,238.79626274172148
2016,ExtremeEvents,1308369960.050104,AQ,American Samoa,130.83699600501038
2017,Harvest,649595055.6251308,AQ,American Samoa,64.95950556251307
2017,Fires,788531355.7724103,AQ,American Samoa,78.85313557724103
