Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Bahrain,BA,Harvest,0,0
2011,11,Bahrain,BA,Fires,0,0
2011,11,Bahrain,BA,ExtremeEvents,0,0
2012,12,Bahrain,BA,Harvest,0,0
2012,12,Bahrain,BA,Fires,0,0
2012,12,Bahrain,BA,ExtremeEvents,0,0
2013,13,Bahrain,BA,Harvest,0,0
2013,13,Bahrain,BA,Fires,0,0
2013,13,Bahrain,BA,ExtremeEvents,0,0
2014,14,Bahrain,BA,Harvest,0,0
2014,14,Bahrain,BA,Fires,0,0
2014,14,Bahrain,BA,ExtremeEvents,0,0
2015,15,Bahrain,BA,Harvest,0,0
2015,15,Bahrain,BA,Fires,0,0
2015,15,Bahrain,BA,ExtremeEvents,0,0
2016,16,Bahrain,BA,Harvest,0,0
2016,16,Bahrain,BA,Fires,0,0
2016,16,Bahrain,BA,ExtremeEvents,0,0
2017,17,Bahrain,BA,Harvest,0,0
2017,17,Bahrain,BA,Fires,0,0
2017,17,Bahrain,BA,ExtremeEvents,0,0
2018,18,Bahrain,BA,Harvest,0,0
2018,18,Bahrain,BA,Fires,0,0
2018,18,Bahrain,BA,ExtremeEvents,0,0
2019,19,Bahrain,BA,Harvest,0,0
2019,19,Bahrain,BA,Fires,0,0
2019,19,Bahrain,BA,ExtremeEvents,0,0
2020,20,Bahrain,BA,Harvest,0,0
2020,20,Bahrain,BA,Fires,0,0
2020,20,Bahrain,BA,ExtremeEvents,0,0
2021,21,Bahrain,BA,Harvest,0,0
2021,21,Bahrain,BA,Fires,0,0
2021,21,Bahrain,BA,ExtremeEvents,0,0
2022,22,Bahrain,BA,Harvest,0,0
2022,22,Bahrain,BA,Fires,0,0
2022,22,Bahrain,BA,ExtremeEvents,0,0
2023,23,Bahrain,BA,Harvest,0,0
2023,23,Bahrain,BA,Fires,0,0
2023,23,Bahrain,BA,ExtremeEvents,0,0
2024,24,Bahrain,BA,Harvest,0,0
2024,24,Bahrain,BA,Fires,0,0
2024,24,Bahrain,BA,ExtremeEvents,0,0
2025,25,Bahrain,BA,Harvest,0,0
2025,25,Bahrain,BA,Fires,0,0
2025,25,Bahrain,BA,ExtremeEvents,0,0
