Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Bermuda,BD,Harvest,0,0
2011,11,Bermuda,BD,Fires,0,0
2011,11,Bermuda,BD,ExtremeEvents,0,0
2012,12,Bermuda,BD,Harvest,0,0
2012,12,Bermuda,BD,Fires,0,0
2012,12,Bermuda,BD,ExtremeEvents,0,0
2013,13,Bermuda,BD,Harvest,0,0
2013,13,Bermuda,BD,Fires,0,0
2013,13,Bermuda,BD,ExtremeEvents,0,0
2014,14,Bermuda,BD,Harvest,0,0
2014,14,Bermuda,BD,Fires,0,0
2014,14,Bermuda,BD,ExtremeEvents,0,0
2015,15,Bermuda,BD,Harvest,0,0
2015,15,Bermuda,BD,Fires,0,0
2015,15,Bermuda,BD,ExtremeEvents,0,0
2016,16,Bermuda,BD,Harvest,0,0
2016,16,Bermuda,BD,Fires,0,0
2016,16,Bermuda,BD,ExtremeEvents,0,0
2017,17,Bermuda,BD,Harvest,0,0
2017,17,Bermuda,BD,Fires,0,0
2017,17,Bermuda,BD,ExtremeEvents,0,0
2018,18,Bermuda,BD,Harvest,0,0
2018,18,Bermuda,BD,Fires,0,0
2018,18,Bermuda,BD,ExtremeEvents,0,0
2019,19,Bermuda,BD,Harvest,0,0
2019,19,Bermuda,BD,Fires,0,0
2019,19,Bermuda,BD,ExtremeEvents,0,0
2020,20,Bermuda,BD,Harvest,0,0
2020,20,Bermuda,BD,Fires,0,0
2020,20,Bermuda,BD,ExtremeEvents,0,0
2021,21,Bermuda,BD,Harvest,0,0
2021,21,Bermuda,BD,Fires,0,0
2021,21,Bermuda,BD,ExtremeEvents,0,0
2022,22,Bermuda,BD,Harvest,0,0
2022,22,Bermuda,BD,Fires,0,0
2022,22,Bermuda,BD,ExtremeEvents,0,0
2023,23,Bermuda,BD,Harvest,0,0
2023,23,Bermuda,BD,Fires,0,0
2023,23,Bermuda,BD,ExtremeEvents,0,0
2024,24,Bermuda,BD,Harvest,0,0
2024,24,Bermuda,BD,Fires,0,0
2024,24,Bermuda,BD,ExtremeEvents,0,0
2025,25,Bermuda,BD,Harvest,0,0
2025,25,Bermuda,BD,Fires,0,0
2025,25,Bermuda,BD,ExtremeEvents,0,0
