Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Bahamas,BF,Harvest,100074.941939051,0.0100074941939051
2011,11,Bahamas,BF,Fires,75696.494873046875,0.007569649487304687
2011,11,Bahamas,BF,ExtremeEvents,53699.19305419922,0.005369919305419922
2012,12,Bahamas,BF,Harvest,211850.17501436122,0.021185017501436122
2012,12,Bahamas,BF,Fires,306807.5405144187,0.03068075405144187
2012,12,Bahamas,BF,ExtremeEvents,151408.23040771484,0.015140823040771485
2013,13,Bahamas,BF,Harvest,605887.4630950335,0.06058874630950335
2013,13,Bahamas,BF,Fires,1266553.17983183,0.126655317983183
2013,13,Bahamas,BF,ExtremeEvents,546391.5552830116,0.05463915552830116
2014,14,Bahamas,BF,Harvest,51561.09228515625,0.005156109228515625
2014,14,Bahamas,BF,Fires,21751.21039057713,0.0021751210390577127
2014,14,Bahamas,BF,ExtremeEvents,996530.1271838618,0.09965301271838618
2015,15,Bahamas,BF,Harvest,140981.99523925758,0.014098199523925757
2015,15,Bahamas,BF,Fires,167219.4711303711,0.01672194711303711
2015,15,Bahamas,BF,ExtremeEvents,1042448.7678222656,0.10424487678222656
2016,16,Bahamas,BF,Harvest,501046.2370921415,0.050104623709214154
2016,16,Bahamas,BF,Fires,460232.3587646485,0.04602323587646485
2016,16,Bahamas,BF,ExtremeEvents,855674.2157592773,0.08556742157592774
2017,17,Bahamas,BF,Harvest,3023801.290790871,0.30238012907908707
2017,17,Bahamas,BF,Fires,4307384.289143163,0.4307384289143163
2017,17,Bahamas,BF,ExtremeEvents,2867664.983154536,0.28676649831545364
2018,18,Bahamas,BF,Harvest,197144.23009128962,0.019714423009128963
2018,18,Bahamas,BF,Fires,1169865.8040161133,0.11698658040161133
2018,18,Bahamas,BF,ExtremeEvents,2822725.93560791,0.28227259356079104
2019,19,Bahamas,BF,Harvest,762511.426414581,0.0762511426414581
2019,19,Bahamas,BF,Fires,352849.45459846046,0.03528494545984605
2019,19,Bahamas,BF,ExtremeEvents,8306901.453092687,0.8306901453092687
2020,20,Bahamas,BF,Harvest,2859408.440141028,0.2859408440141028
2020,20,Bahamas,BF,Fires,2979214.757843376,0.2979214757843376
2020,20,Bahamas,BF,ExtremeEvents,9828597.528071864,0.9828597528071864
2021,21,Bahamas,BF,Harvest,422322.84849805664,0.042232284849805665
2021,21,Bahamas,BF,Fires,1041444.0552978516,0.10414440552978516
2021,21,Bahamas,BF,ExtremeEvents,4058075.0959472656,0.40580750959472656
2022,22,Bahamas,BF,Harvest,342541.09656647337,0.03425410965664734
2022,22,Bahamas,BF,Fires,870724.4587402344,0.08707244587402344
2022,22,Bahamas,BF,ExtremeEvents,654490.3973388672,0.06544903973388672
2023,23,Bahamas,BF,Harvest,434991.9081858917,0.04349919081858917
2023,23,Bahamas,BF,Fires,792273.2960427677,0.07922732960427677
2023,23,Bahamas,BF,ExtremeEvents,132298.0863647461,0.01322980863647461
2024,24,Bahamas,BF,Harvest,222514.8441937617,0.02225148441937617
2024,24,Bahamas,BF,Fires,313243.29509540636,0.03132432950954064
2024,24,Bahamas,BF,ExtremeEvents,1427679.5921702664,0.14276795921702665
2025,25,Bahamas,BF,Harvest,2053896.643795956,0.2053896643795956
2025,25,Bahamas,BF,Fires,2668918.1446504476,0.2668918144650448
2025,25,Bahamas,BF,ExtremeEvents,10797132.788339172,1.0797132788339172
