Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Bangladesh,BG,Harvest,35647098.63773456,3.564709863773456
2011,11,Bangladesh,BG,Fires,494774.7805786133,0.049477478057861325
2011,11,Bangladesh,BG,ExtremeEvents,1539483.7732543943,0.15394837732543942
2012,12,Bangladesh,BG,Harvest,47259043.47543466,4.725904347543466
2012,12,Bangladesh,BG,Fires,345090.0640940947,0.034509006409409466
2012,12,Bangladesh,BG,ExtremeEvents,692438.9468383789,0.06924389468383789
2013,13,Bangladesh,BG,Harvest,52378640.8914692,5.23786408914692
2013,13,Bangladesh,BG,Fires,34722.28448486328,0.0034722284484863283
2013,13,Bangladesh,BG,ExtremeEvents,746674.0790405273,0.07466740790405274
2014,14,Bangladesh,BG,Harvest,102352883.80896664,10.235288380896664
2014,14,Bangladesh,BG,Fires,64496.40887451172,0.006449640887451172
2014,14,Bangladesh,BG,ExtremeEvents,539566.0115356445,0.05395660115356445
2015,15,Bangladesh,BG,Harvest,106656206.38616227,10.665620638616227
2015,15,Bangladesh,BG,Fires,68715.607666015625,0.006871560766601562
2015,15,Bangladesh,BG,ExtremeEvents,569600.4510498047,0.05696004510498047
2016,16,Bangladesh,BG,Harvest,183241577.7584566,18.32415777584566
2016,16,Bangladesh,BG,Fires,157781.4627685547,0.01577814627685547
2016,16,Bangladesh,BG,ExtremeEvents,782522.3219604492,0.07825223219604492
2017,17,Bangladesh,BG,Harvest,235951764.82479706,23.595176482479708
2017,17,Bangladesh,BG,Fires,354348.15588378906,0.03543481558837891
2017,17,Bangladesh,BG,ExtremeEvents,3114565.803744447,0.3114565803744447
2018,18,Bangladesh,BG,Harvest,158843105.55391988,15.884310555391988
2018,18,Bangladesh,BG,Fires,184068.32543945312,0.018406832543945314
2018,18,Bangladesh,BG,ExtremeEvents,3306742.826660156,0.33067428266601556
2019,19,Bangladesh,BG,Harvest,187086350.04596832,18.708635004596832
2019,19,Bangladesh,BG,Fires,214698.86083984375,0.021469886083984376
2019,19,Bangladesh,BG,ExtremeEvents,379622.012357824,0.0379622012357824
2020,20,Bangladesh,BG,Harvest,178125822.04336202,17.812582204336202
2020,20,Bangladesh,BG,Fires,487444.1782836914,0.04874441782836914
2020,20,Bangladesh,BG,ExtremeEvents,680998.3891161152,0.06809983891161152
2021,21,Bangladesh,BG,Harvest,145929253.0542576,14.59292530542576
2021,21,Bangladesh,BG,Fires,216602.8465576172,0.021660284655761718
2021,21,Bangladesh,BG,ExtremeEvents,460626.38109250535,0.046062638109250535
2022,22,Bangladesh,BG,Harvest,112930255.44785446,11.293025544785445
2022,22,Bangladesh,BG,Fires,234211.34161376953,0.023421134161376953
2022,22,Bangladesh,BG,ExtremeEvents,339127.8698120117,0.03391278698120117
2023,23,Bangladesh,BG,Harvest,142517065.06126276,14.251706506126276
2023,23,Bangladesh,BG,Fires,609257.0453608495,0.060925704536084944
2023,23,Bangladesh,BG,ExtremeEvents,274191.42883683747,0.027419142883683748
2024,24,Bangladesh,BG,Harvest,128649092.48218466,12.864909248218467
2024,24,Bangladesh,BG,Fires,344199.12158203125,0.03441991215820313
2024,24,Bangladesh,BG,ExtremeEvents,479455.884557148,0.0479455884557148
2025,25,Bangladesh,BG,Harvest,109085042.16567168,10.908504216567168
2025,25,Bangladesh,BG,Fires,260967.48107910156,0.026096748107910156
2025,25,Bangladesh,BG,ExtremeEvents,486344.7617422067,0.04863447617422067
