Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Belize,BH,Harvest,0,0
2011,11,Belize,BH,Fires,0,0
2011,11,Belize,BH,ExtremeEvents,0,0
2012,12,Belize,BH,Harvest,0,0
2012,12,Belize,BH,Fires,0,0
2012,12,Belize,BH,ExtremeEvents,0,0
2013,13,Belize,BH,Harvest,0,0
2013,13,Belize,BH,Fires,0,0
2013,13,Belize,BH,ExtremeEvents,0,0
2014,14,Belize,BH,Harvest,0,0
2014,14,Belize,BH,Fires,0,0
2014,14,Belize,BH,ExtremeEvents,0,0
2015,15,Belize,BH,Harvest,0,0
2015,15,Belize,BH,Fires,0,0
2015,15,Belize,BH,ExtremeEvents,0,0
2016,16,Belize,BH,Harvest,0,0
2016,16,Belize,BH,Fires,0,0
2016,16,Belize,BH,ExtremeEvents,0,0
2017,17,Belize,BH,Harvest,0,0
2017,17,Belize,BH,Fires,0,0
2017,17,Belize,BH,ExtremeEvents,0,0
2018,18,Belize,BH,Harvest,0,0
2018,18,Belize,BH,Fires,0,0
2018,18,Belize,BH,ExtremeEvents,0,0
2019,19,Belize,BH,Harvest,0,0
2019,19,Belize,BH,Fires,0,0
2019,19,Belize,BH,ExtremeEvents,0,0
2020,20,Belize,BH,Harvest,0,0
2020,20,Belize,BH,Fires,0,0
2020,20,Belize,BH,ExtremeEvents,0,0
2021,21,Belize,BH,Harvest,0,0
2021,21,Belize,BH,Fires,0,0
2021,21,Belize,BH,ExtremeEvents,0,0
2022,22,Belize,BH,Harvest,0,0
2022,22,Belize,BH,Fires,0,0
2022,22,Belize,BH,ExtremeEvents,0,0
2023,23,Belize,BH,Harvest,0,0
2023,23,Belize,BH,Fires,0,0
2023,23,Belize,BH,ExtremeEvents,0,0
2024,24,Belize,BH,Harvest,0,0
2024,24,Belize,BH,Fires,0,0
2024,24,Belize,BH,ExtremeEvents,0,0
2025,25,Belize,BH,Harvest,0,0
2025,25,Belize,BH,Fires,0,0
2025,25,Belize,BH,ExtremeEvents,0,0
