Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Myanmar,BM,Harvest,380505216.26464266,38.05052162646427
2011,11,Myanmar,BM,Fires,4871501.190325808,0.48715011903258076
2011,11,Myanmar,BM,ExtremeEvents,15642642.797221106,1.5642642797221105
2012,12,Myanmar,BM,Harvest,617689854.3536773,61.768985435367725
2012,12,Myanmar,BM,Fires,12516392.195955643,1.2516392195955643
2012,12,Myanmar,BM,ExtremeEvents,25262038.84977549,2.5262038849775488
2013,13,Myanmar,BM,Harvest,819489513.6317599,81.948951363176
2013,13,Myanmar,BM,Fires,5618050.8439331055,0.5618050843933106
2013,13,Myanmar,BM,ExtremeEvents,33201020.84757032,3.320102084757032
2014,14,Myanmar,BM,Harvest,1037079590.6120467,103.70795906120468
2014,14,Myanmar,BM,Fires,5887779.517085296,0.5887779517085296
2014,14,Myanmar,BM,ExtremeEvents,67943574.93213752,6.794357493213752
2015,15,Myanmar,BM,Harvest,1029497554.7231507,102.94975547231508
2015,15,Myanmar,BM,Fires,5041076.832549451,0.504107683254945
2015,15,Myanmar,BM,ExtremeEvents,56353939.608207434,5.6353939608207435
2016,16,Myanmar,BM,Harvest,1291543298.23384,129.154329823384
2016,16,Myanmar,BM,Fires,6736179.345601878,0.6736179345601878
2016,16,Myanmar,BM,ExtremeEvents,47295054.181507066,4.729505418150707
2017,17,Myanmar,BM,Harvest,1254641098.8484507,125.46410988484507
2017,17,Myanmar,BM,Fires,8639717.7358116,0.8639717735811601
2017,17,Myanmar,BM,ExtremeEvents,29343511.875736013,2.9343511875736015
2018,18,Myanmar,BM,Harvest,966792763.028575,96.67927630285749
2018,18,Myanmar,BM,Fires,2972060.580871582,0.2972060580871582
2018,18,Myanmar,BM,ExtremeEvents,29353903.42214188,2.935390342214188
2019,19,Myanmar,BM,Harvest,1016287870.61244,101.628787061244
2019,19,Myanmar,BM,Fires,4063101.285514084,0.4063101285514084
2019,19,Myanmar,BM,ExtremeEvents,30414665.168033134,3.0414665168033133
2020,20,Myanmar,BM,Harvest,1061852558.3056716,106.18525583056716
2020,20,Myanmar,BM,Fires,5386534.2386649335,0.5386534238664934
2020,20,Myanmar,BM,ExtremeEvents,32171173.84952608,3.217117384952608
2021,21,Myanmar,BM,Harvest,1007693688.5040145,100.76936885040145
2021,21,Myanmar,BM,Fires,5504380.122103582,0.5504380122103583
2021,21,Myanmar,BM,ExtremeEvents,27607064.268519506,2.7607064268519506
2022,22,Myanmar,BM,Harvest,938209066.516627,93.8209066516627
2022,22,Myanmar,BM,Fires,4224298.440672631,0.42242984406726314
2022,22,Myanmar,BM,ExtremeEvents,18449927.49039881,1.844992749039881
2023,23,Myanmar,BM,Harvest,1050833723.8491023,105.08337238491022
2023,23,Myanmar,BM,Fires,8661251.782520726,0.8661251782520726
2023,23,Myanmar,BM,ExtremeEvents,24244709.853271484,2.424470985327148
2024,24,Myanmar,BM,Harvest,1064838439.543582,106.48384395435819
2024,24,Myanmar,BM,Fires,10366891.32311844,1.0366891323118441
2024,24,Myanmar,BM,ExtremeEvents,19639097.65015127,1.9639097650151272
2025,25,Myanmar,BM,Harvest,887558949.5468303,88.75589495468303
2025,25,Myanmar,BM,Fires,7955678.641485715,0.7955678641485715
2025,25,Myanmar,BM,ExtremeEvents,18287375.68610744,1.828737568610744
