Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Belarus,BO,Harvest,341939250.52346987,34.193925052346984
2011,11,Belarus,BO,Fires,6898188.146565755,0.6898188146565755
2011,11,Belarus,BO,ExtremeEvents,103448798.03437048,10.344879803437049
2012,12,Belarus,BO,Harvest,317813354.28262657,31.781335428262658
2012,12,Belarus,BO,Fires,8435752.231023092,0.8435752231023091
2012,12,Belarus,BO,ExtremeEvents,69775182.65727012,6.977518265727012
2013,13,Belarus,BO,Harvest,227781066.7133513,22.77810667133513
2013,13,Belarus,BO,Fires,1628419.1923281201,0.16284191923281202
2013,13,Belarus,BO,ExtremeEvents,49983881.07522451,4.998388107522451
2014,14,Belarus,BO,Harvest,269205983.31201744,26.920598331201745
2014,14,Belarus,BO,Fires,1417540.2885508817,0.14175402885508817
2014,14,Belarus,BO,ExtremeEvents,64255086.84881784,6.425508684881784
2015,15,Belarus,BO,Harvest,271759138.0128731,27.17591380128731
2015,15,Belarus,BO,Fires,10045642.161175776,1.0045642161175776
2015,15,Belarus,BO,ExtremeEvents,54511167.45580935,5.451116745580935
2016,16,Belarus,BO,Harvest,607218153.6884153,60.721815368841526
2016,16,Belarus,BO,Fires,29133422.14350287,2.913342214350287
2016,16,Belarus,BO,ExtremeEvents,254599150.06772345,25.459915006772345
2017,17,Belarus,BO,Harvest,581560828.1888901,58.15608281888901
2017,17,Belarus,BO,Fires,5270474.076103779,0.5270474076103778
2017,17,Belarus,BO,ExtremeEvents,194561849.37893513,19.456184937893514
2018,18,Belarus,BO,Harvest,668602123.6273227,66.86021236273227
2018,18,Belarus,BO,Fires,5804360.646646537,0.5804360646646537
2018,18,Belarus,BO,ExtremeEvents,191903835.1488432,19.19038351488432
2019,19,Belarus,BO,Harvest,598740079.5864034,59.874007958640334
2019,19,Belarus,BO,Fires,9219299.976954203,0.9219299976954203
2019,19,Belarus,BO,ExtremeEvents,136430117.04797748,13.643011704797749
2020,20,Belarus,BO,Harvest,569297076.5111195,56.92970765111195
2020,20,Belarus,BO,Fires,6227274.279663804,0.6227274279663804
2020,20,Belarus,BO,ExtremeEvents,111554726.64734297,11.155472664734296
2021,21,Belarus,BO,Harvest,540220564.210186,54.0220564210186
2021,21,Belarus,BO,Fires,3275741.9616023046,0.3275741961602305
2021,21,Belarus,BO,ExtremeEvents,88761588.70847623,8.876158870847624
2022,22,Belarus,BO,Harvest,515006892.6539359,51.50068926539359
2022,22,Belarus,BO,Fires,2829384.3531188965,0.28293843531188967
2022,22,Belarus,BO,ExtremeEvents,127870745.7843951,12.78707457843951
2023,23,Belarus,BO,Harvest,497699687.7938957,49.76996877938957
2023,23,Belarus,BO,Fires,3051926.8670270136,0.30519268670270133
2023,23,Belarus,BO,ExtremeEvents,88960577.21227883,8.896057721227884
2024,24,Belarus,BO,Harvest,506304349.1736375,50.63043491736375
2024,24,Belarus,BO,Fires,5119150.690830486,0.5119150690830486
2024,24,Belarus,BO,ExtremeEvents,195827619.40910956,19.582761940910956
2025,25,Belarus,BO,Harvest,555786641.9325883,55.57866419325883
2025,25,Belarus,BO,Fires,8466148.29032856,0.846614829032856
2025,25,Belarus,BO,ExtremeEvents,218111018.53014684,21.811101853014684
