Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Solomon Islands,BP,Harvest,3920660.6245909454,0.39206606245909453
2011,11,Solomon Islands,BP,Fires,11500.7607421875,0.00115007607421875
2011,11,Solomon Islands,BP,ExtremeEvents,788943.1742721258,0.07889431742721258
2012,12,Solomon Islands,BP,Harvest,2736407.5427246094,0.27364075427246093
2012,12,Solomon Islands,BP,Fires,9731.7200927734375,9.731720092773438e-4
2012,12,Solomon Islands,BP,ExtremeEvents,527185.2882080078,0.05271852882080078
2013,13,Solomon Islands,BP,Harvest,2389902.7180295456,0.23899027180295457
2013,13,Solomon Islands,BP,Fires,26542.835510253903,0.00265428355102539
2013,13,Solomon Islands,BP,ExtremeEvents,717678.2947883157,0.07176782947883156
2014,14,Solomon Islands,BP,Harvest,4529026.244899376,0.4529026244899376
2014,14,Solomon Islands,BP,Fires,69763.40032240923,0.006976340032240923
2014,14,Solomon Islands,BP,ExtremeEvents,796429.8692141066,0.07964298692141066
2015,15,Solomon Islands,BP,Harvest,2880903.626777918,0.2880903626777918
2015,15,Solomon Islands,BP,Fires,68101.0425415039,0.006810104254150391
2015,15,Solomon Islands,BP,ExtremeEvents,2049230.6128729123,0.20492306128729124
2016,16,Solomon Islands,BP,Harvest,10242969.009861605,1.0242969009861604
2016,16,Solomon Islands,BP,Fires,585420.9719238281,0.05854209719238281
2016,16,Solomon Islands,BP,ExtremeEvents,4073509.4821351296,0.407350948213513
2017,17,Solomon Islands,BP,Harvest,5249273.267873963,0.5249273267873963
2017,17,Solomon Islands,BP,Fires,574866.5289005055,0.05748665289005055
2017,17,Solomon Islands,BP,ExtremeEvents,5165733.393530274,0.5165733393530274
2018,18,Solomon Islands,BP,Harvest,5189579.459350587,0.5189579459350587
2018,18,Solomon Islands,BP,Fires,53888.03155517578,0.005388803155517578
2018,18,Solomon Islands,BP,ExtremeEvents,3578461.0529306447,0.3578461052930645
2019,19,Solomon Islands,BP,Harvest,4569886.128034524,0.4569886128034524
2019,19,Solomon Islands,BP,Fires,68027.3168334961,0.00680273168334961
2019,19,Solomon Islands,BP,ExtremeEvents,2013213.3236083984,0.20132133236083985
2020,20,Solomon Islands,BP,Harvest,6011398.270935057,0.6011398270935057
2020,20,Solomon Islands,BP,Fires,144753.38012695312,0.014475338012695313
2020,20,Solomon Islands,BP,ExtremeEvents,4738524.5332253855,0.47385245332253856
2021,21,Solomon Islands,BP,Harvest,2026489.4169311523,0.20264894169311523
2021,21,Solomon Islands,BP,Fires,72416.60333251953,0.007241660333251953
2021,21,Solomon Islands,BP,ExtremeEvents,5300404.030212402,0.5300404030212402
2022,22,Solomon Islands,BP,Harvest,1495910.5032958984,0.14959105032958983
2022,22,Solomon Islands,BP,Fires,66263.67297363281,0.006626367297363281
2022,22,Solomon Islands,BP,ExtremeEvents,7971908.151245117,0.7971908151245117
2023,23,Solomon Islands,BP,Harvest,3188743.8775735293,0.31887438775735294
2023,23,Solomon Islands,BP,Fires,180045.3256002987,0.01800453256002987
2023,23,Solomon Islands,BP,ExtremeEvents,1729206.3679134594,0.17292063679134595
2024,24,Solomon Islands,BP,Harvest,3046731.7331370628,0.3046731733137063
2024,24,Solomon Islands,BP,Fires,122060.25421142578,0.012206025421142578
2024,24,Solomon Islands,BP,ExtremeEvents,2045809.9618132943,0.20458099618132944
2025,25,Solomon Islands,BP,Harvest,2561172.0598144536,0.2561172059814454
2025,25,Solomon Islands,BP,Fires,94561.45623779295,0.009456145623779295
2025,25,Solomon Islands,BP,ExtremeEvents,3201051.4215121395,0.32010514215121394
