Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Bulgaria,BU,Harvest,31914390.96827919,3.191439096827919
2011,11,Bulgaria,BU,Fires,572240.2387084961,0.05722402387084961
2011,11,Bulgaria,BU,ExtremeEvents,559830.4368896484,0.05598304368896485
2012,12,Bulgaria,BU,Harvest,91636106.58014108,9.163610658014107
2012,12,Bulgaria,BU,Fires,3502003.302292529,0.3502003302292529
2012,12,Bulgaria,BU,ExtremeEvents,1876359.6570563824,0.18763596570563823
2013,13,Bulgaria,BU,Harvest,33945131.54898251,3.394513154898251
2013,13,Bulgaria,BU,Fires,1804602.804342352,0.1804602804342352
2013,13,Bulgaria,BU,ExtremeEvents,33566.48400878906,0.0033566484008789063
2014,14,Bulgaria,BU,Harvest,64336018.39231794,6.433601839231795
2014,14,Bulgaria,BU,Fires,715691.5958991556,0.07156915958991555
2014,14,Bulgaria,BU,ExtremeEvents,398890.9072265625,0.03988909072265625
2015,15,Bulgaria,BU,Harvest,62581671.215058684,6.258167121505869
2015,15,Bulgaria,BU,Fires,280468.0391845703,0.02804680391845703
2015,15,Bulgaria,BU,ExtremeEvents,7948311.90637207,0.7948311906372071
2016,16,Bulgaria,BU,Harvest,67717254.60651663,6.771725460651663
2016,16,Bulgaria,BU,Fires,1300718.45703125,0.130071845703125
2016,16,Bulgaria,BU,ExtremeEvents,2070246.690979004,0.2070246690979004
2017,17,Bulgaria,BU,Harvest,66962315.87346001,6.696231587346001
2017,17,Bulgaria,BU,Fires,2429781.8631591797,0.24297818631591797
2017,17,Bulgaria,BU,ExtremeEvents,2743784.3123779297,0.274378431237793
2018,18,Bulgaria,BU,Harvest,90327636.22725901,9.0327636227259
2018,18,Bulgaria,BU,Fires,1097366.2887573242,0.10973662887573242
2018,18,Bulgaria,BU,ExtremeEvents,2151561.5888061523,0.21515615888061523
2019,19,Bulgaria,BU,Harvest,39732914.1415075,3.97329141415075
2019,19,Bulgaria,BU,Fires,341701.3978881836,0.03417013978881836
2019,19,Bulgaria,BU,ExtremeEvents,661306.6586303711,0.0661306658630371
2020,20,Bulgaria,BU,Harvest,44372305.07059662,4.437230507059662
2020,20,Bulgaria,BU,Fires,1174592.8412786743,0.11745928412786744
2020,20,Bulgaria,BU,ExtremeEvents,601645.223449707,0.0601645223449707
2021,21,Bulgaria,BU,Harvest,48964848.52293581,4.896484852293581
2021,21,Bulgaria,BU,Fires,1516510.2974243164,0.15165102974243164
2021,21,Bulgaria,BU,ExtremeEvents,14559121.351538086,1.4559121351538087
2022,22,Bulgaria,BU,Harvest,37103745.578175984,3.7103745578175986
2022,22,Bulgaria,BU,Fires,2348586.8174438477,0.23485868174438476
2022,22,Bulgaria,BU,ExtremeEvents,268587.75604248047,0.026858775604248045
2023,23,Bulgaria,BU,Harvest,52912281.65282461,5.291228165282461
2023,23,Bulgaria,BU,Fires,1172273.2423591164,0.11722732423591165
2023,23,Bulgaria,BU,ExtremeEvents,232068.2905883789,0.02320682905883789
2024,24,Bulgaria,BU,Harvest,38721164.58834563,3.8721164588345633
2024,24,Bulgaria,BU,Fires,10166682.307563333,1.0166682307563333
2024,24,Bulgaria,BU,ExtremeEvents,278013.2526245117,0.02780132526245117
2025,25,Bulgaria,BU,Harvest,60732878.756872565,6.073287875687257
2025,25,Bulgaria,BU,Fires,8087801.573968626,0.8087801573968626
2025,25,Bulgaria,BU,ExtremeEvents,17224613.36779785,1.7224613367797852
