Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Canada,CA,Harvest,5241263031.532298,524.1263031532299
2011,11,Canada,CA,Fires,8453820140.074746,845.3820140074746
2011,11,Canada,CA,ExtremeEvents,3346226703.2560253,334.62267032560254
2012,12,Canada,CA,Harvest,6691677446.45886,669.167744645886
2012,12,Canada,CA,Fires,8429585602.483758,842.9585602483758
2012,12,Canada,CA,ExtremeEvents,5382090937.237932,538.2090937237932
2013,13,Canada,CA,Harvest,5374239804.729965,537.4239804729965
2013,13,Canada,CA,Fires,11382725793.55928,1138.272579355928
2013,13,Canada,CA,ExtremeEvents,4181309854.239224,418.13098542392237
2014,14,Canada,CA,Harvest,5719943253.99071,571.994325399071
2014,14,Canada,CA,Fires,7376023100.083004,737.6023100083004
2014,14,Canada,CA,ExtremeEvents,3724929152.5955324,372.49291525955323
2015,15,Canada,CA,Harvest,5647380781.356383,564.7380781356384
2015,15,Canada,CA,Fires,12333633571.248343,1233.3633571248342
2015,15,Canada,CA,ExtremeEvents,3686844011.233039,368.68440112330387
2016,16,Canada,CA,Harvest,6728404386.208137,672.8404386208136
2016,16,Canada,CA,Fires,6090698881.8877945,609.0698881887795
2016,16,Canada,CA,ExtremeEvents,4899542101.965669,489.95421019656686
2017,17,Canada,CA,Harvest,7023422162.159841,702.3422162159841
2017,17,Canada,CA,Fires,6192689275.285561,619.2689275285561
2017,17,Canada,CA,ExtremeEvents,5180630125.238437,518.0630125238437
2018,18,Canada,CA,Harvest,6609866151.870528,660.9866151870528
2018,18,Canada,CA,Fires,7403580964.762083,740.3580964762083
2018,18,Canada,CA,ExtremeEvents,4381650164.077838,438.1650164077838
2019,19,Canada,CA,Harvest,6320681708.351301,632.0681708351301
2019,19,Canada,CA,Fires,6996395784.295375,699.6395784295374
2019,19,Canada,CA,ExtremeEvents,6033915431.169283,603.3915431169283
2020,20,Canada,CA,Harvest,5729292361.087254,572.9292361087254
2020,20,Canada,CA,Fires,1762012412.034708,176.2012412034708
2020,20,Canada,CA,ExtremeEvents,3320201586.2191696,332.02015862191695
2021,21,Canada,CA,Harvest,6214606945.431613,621.4606945431613
2021,21,Canada,CA,Fires,9683321086.12621,968.3321086126209
2021,21,Canada,CA,ExtremeEvents,4759729864.943902,475.9729864943902
2022,22,Canada,CA,Harvest,6008475351.500583,600.8475351500583
2022,22,Canada,CA,Fires,8047788211.691352,804.7788211691352
2022,22,Canada,CA,ExtremeEvents,3961807552.108323,396.18075521083233
2023,23,Canada,CA,Harvest,5156111366.259512,515.6111366259512
2023,23,Canada,CA,Fires,41886136462.79757,4188.613646279757
2023,23,Canada,CA,ExtremeEvents,14268816179.365412,1426.8816179365413
2024,24,Canada,CA,Harvest,5263216789.550211,526.3216789550211
2024,24,Canada,CA,Fires,21478251753.08952,2147.825175308952
2024,24,Canada,CA,ExtremeEvents,9698224493.115595,969.8224493115595
2025,25,Canada,CA,Harvest,5728081017.564718,572.8081017564718
2025,25,Canada,CA,Fires,29403653002.247555,2940.3653002247556
2025,25,Canada,CA,ExtremeEvents,14958116463.920439,1495.811646392044
