Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Cambodia,CB,Harvest,26246990.09335219,2.624699009335219
2011,11,Cambodia,CB,Fires,943626.6373291016,0.09436266373291016
2011,11,Cambodia,CB,ExtremeEvents,8320558.245984605,0.8320558245984605
2012,12,Cambodia,CB,Harvest,53583473.77441574,5.358347377441574
2012,12,Cambodia,CB,Fires,4774754.702453613,0.47747547024536136
2012,12,Cambodia,CB,ExtremeEvents,11551591.16263404,1.1551591162634038
2013,13,Cambodia,CB,Harvest,28076420.32964968,2.807642032964968
2013,13,Cambodia,CB,Fires,420240.3055419922,0.04202403055419922
2013,13,Cambodia,CB,ExtremeEvents,11761199.654066617,1.1761199654066616
2014,14,Cambodia,CB,Harvest,43474123.50435384,4.347412350435384
2014,14,Cambodia,CB,Fires,560681.4782714844,0.05606814782714844
2014,14,Cambodia,CB,ExtremeEvents,18857687.319943897,1.8857687319943897
2015,15,Cambodia,CB,Harvest,37841462.90766267,3.784146290766267
2015,15,Cambodia,CB,Fires,194569.48315429688,0.019456948315429688
2015,15,Cambodia,CB,ExtremeEvents,16546769.375442805,1.6546769375442805
2016,16,Cambodia,CB,Harvest,61726506.48973124,6.172650648973124
2016,16,Cambodia,CB,Fires,1503512.7419433594,0.15035127419433594
2016,16,Cambodia,CB,ExtremeEvents,30240659.89154364,3.024065989154364
2017,17,Cambodia,CB,Harvest,53521379.30590292,5.352137930590292
2017,17,Cambodia,CB,Fires,2164442.9220581055,0.21644429220581055
2017,17,Cambodia,CB,ExtremeEvents,31298774.47439348,3.129877447439348
2018,18,Cambodia,CB,Harvest,38363081.59076287,3.8363081590762866
2018,18,Cambodia,CB,Fires,206869.4826660156,0.02068694826660156
2018,18,Cambodia,CB,ExtremeEvents,31470369.425842285,3.1470369425842284
2019,19,Cambodia,CB,Harvest,56592326.52173905,5.659232652173905
2019,19,Cambodia,CB,Fires,942293.5120753868,0.09422935120753868
2019,19,Cambodia,CB,ExtremeEvents,49856789.25112903,4.985678925112903
2020,20,Cambodia,CB,Harvest,63164760.45171067,6.3164760451710675
2020,20,Cambodia,CB,Fires,1225336.232055664,0.1225336232055664
2020,20,Cambodia,CB,ExtremeEvents,39055681.68817617,3.905568168817617
2021,21,Cambodia,CB,Harvest,70371531.53261214,7.037153153261214
2021,21,Cambodia,CB,Fires,1081222.6329956057,0.10812226329956057
2021,21,Cambodia,CB,ExtremeEvents,37421143.02038,3.742114302038
2022,22,Cambodia,CB,Harvest,53414694.74039905,5.341469474039905
2022,22,Cambodia,CB,Fires,949573.2822875977,0.09495732822875977
2022,22,Cambodia,CB,ExtremeEvents,30295111.175312355,3.0295111175312357
2023,23,Cambodia,CB,Harvest,68624059.81811474,6.862405981811475
2023,23,Cambodia,CB,Fires,1141563.9387207031,0.11415639387207031
2023,23,Cambodia,CB,ExtremeEvents,29132656.04686375,2.9132656046863747
2024,24,Cambodia,CB,Harvest,58899989.096493945,5.889998909649394
2024,24,Cambodia,CB,Fires,1034612.8103027344,0.10346128103027344
2024,24,Cambodia,CB,ExtremeEvents,22010243.619109508,2.201024361910951
2025,25,Cambodia,CB,Harvest,44887281.30237176,4.488728130237177
2025,25,Cambodia,CB,Fires,1174620.25967491,0.117462025967491
2025,25,Cambodia,CB,ExtremeEvents,16739241.01027473,1.673924101027473
