Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Chad,CD,Harvest,10590.035583496094,0.0010590035583496094
2011,11,Chad,CD,Fires,0,0
2011,11,Chad,CD,ExtremeEvents,0,0
2012,12,Chad,CD,Harvest,323972.80352783203,0.032397280352783206
2012,12,Chad,CD,Fires,0,0
2012,12,Chad,CD,ExtremeEvents,0,0
2013,13,Chad,CD,Harvest,22970.830993652344,0.0022970830993652345
2013,13,Chad,CD,Fires,0,0
2013,13,Chad,CD,ExtremeEvents,0,0
2014,14,Chad,CD,Harvest,41503.68127441406,0.004150368127441406
2014,14,Chad,CD,Fires,0,0
2014,14,Chad,CD,ExtremeEvents,0,0
2015,15,Chad,CD,Harvest,39724.484130859375,0.003972448413085938
2015,15,Chad,CD,Fires,0,0
2015,15,Chad,CD,ExtremeEvents,0,0
2016,16,Chad,CD,Harvest,8832.351867675781,8.832351867675781e-4
2016,16,Chad,CD,Fires,0,0
2016,16,Chad,CD,ExtremeEvents,0,0
2017,17,Chad,CD,Harvest,111248.02545166016,0.011124802545166016
2017,17,Chad,CD,Fires,0,0
2017,17,Chad,CD,ExtremeEvents,0,0
2018,18,Chad,CD,Harvest,3532.901123046875,3.532901123046875e-4
2018,18,Chad,CD,Fires,0,0
2018,18,Chad,CD,ExtremeEvents,0,0
2019,19,Chad,CD,Harvest,22948.176208496097,0.0022948176208496098
2019,19,Chad,CD,Fires,0,0
2019,19,Chad,CD,ExtremeEvents,0,0
2020,20,Chad,CD,Harvest,3531.54541015625,3.53154541015625e-4
2020,20,Chad,CD,Fires,0,0
2020,20,Chad,CD,ExtremeEvents,0,0
2021,21,Chad,CD,Harvest,0,0
2021,21,Chad,CD,Fires,0,0
2021,21,Chad,CD,ExtremeEvents,0,0
2022,22,Chad,CD,Harvest,6181.326599121094,6.181326599121094e-4
2022,22,Chad,CD,Fires,0,0
2022,22,Chad,CD,ExtremeEvents,0,0
2023,23,Chad,CD,Harvest,61772.285705566406,0.006177228570556641
2023,23,Chad,CD,Fires,0,0
2023,23,Chad,CD,ExtremeEvents,0,0
2024,24,Chad,CD,Harvest,90013.41900634766,0.009001341900634766
2024,24,Chad,CD,Fires,0,0
2024,24,Chad,CD,ExtremeEvents,0,0
2025,25,Chad,CD,Harvest,19414.352783203125,0.0019414352783203126
2025,25,Chad,CD,Fires,0,0
2025,25,Chad,CD,ExtremeEvents,0,0
