Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Sri Lanka,CE,Harvest,95291812.05418652,9.529181205418652
2011,11,Sri Lanka,CE,Fires,907646.17529296875,0.09076461752929688
2011,11,Sri Lanka,CE,ExtremeEvents,8620749.606506348,0.8620749606506347
2012,12,Sri Lanka,CE,Harvest,97475924.09376867,9.747592409376868
2012,12,Sri Lanka,CE,Fires,1237099.2583618164,0.12370992583618164
2012,12,Sri Lanka,CE,ExtremeEvents,16519673.069885254,1.6519673069885255
2013,13,Sri Lanka,CE,Harvest,51441663.40020752,5.144166340020752
2013,13,Sri Lanka,CE,Fires,536986.8095703125,0.05369868095703125
2013,13,Sri Lanka,CE,ExtremeEvents,2423863.945678711,0.2423863945678711
2014,14,Sri Lanka,CE,Harvest,86709481.24191895,8.670948124191895
2014,14,Sri Lanka,CE,Fires,664960.4781494141,0.06649604781494141
2014,14,Sri Lanka,CE,ExtremeEvents,3110169.2731933594,0.31101692731933595
2015,15,Sri Lanka,CE,Harvest,52340056.90349145,5.234005690349146
2015,15,Sri Lanka,CE,Fires,265267.4613647461,0.02652674613647461
2015,15,Sri Lanka,CE,ExtremeEvents,1384471.760559082,0.1384471760559082
2016,16,Sri Lanka,CE,Harvest,127034670.85837162,12.703467085837161
2016,16,Sri Lanka,CE,Fires,1756572.685913086,0.1756572685913086
2016,16,Sri Lanka,CE,ExtremeEvents,6055219.023864746,0.6055219023864746
2017,17,Sri Lanka,CE,Harvest,101153568.09726849,10.11535680972685
2017,17,Sri Lanka,CE,Fires,333144.2331542969,0.033314423315429685
2017,17,Sri Lanka,CE,ExtremeEvents,2035341.1896362305,0.20353411896362306
2018,18,Sri Lanka,CE,Harvest,97113998.04213414,9.711399804213414
2018,18,Sri Lanka,CE,Fires,1494979.8947753906,0.14949798947753906
2018,18,Sri Lanka,CE,ExtremeEvents,2833796.1088867188,0.28337961088867186
2019,19,Sri Lanka,CE,Harvest,74514345.66423985,7.451434566423985
2019,19,Sri Lanka,CE,Fires,695865.9111328125,0.06958659111328125
2019,19,Sri Lanka,CE,ExtremeEvents,2664498.922973633,0.26644989229736327
2020,20,Sri Lanka,CE,Harvest,80007344.8397085,8.00073448397085
2020,20,Sri Lanka,CE,Fires,566354.4270629883,0.056635442706298826
2020,20,Sri Lanka,CE,ExtremeEvents,3771300.5021362305,0.37713005021362306
2021,21,Sri Lanka,CE,Harvest,92997751.67659624,9.299775167659623
2021,21,Sri Lanka,CE,Fires,576055.69970703125,0.057605569970703124
2021,21,Sri Lanka,CE,ExtremeEvents,10984711.061462402,1.0984711061462402
2022,22,Sri Lanka,CE,Harvest,59462037.9213185,5.9462037921318505
2022,22,Sri Lanka,CE,Fires,555287.640316952,0.0555287640316952
2022,22,Sri Lanka,CE,ExtremeEvents,3841541.036743164,0.3841541036743164
2023,23,Sri Lanka,CE,Harvest,78291212.5500268,7.82912125500268
2023,23,Sri Lanka,CE,Fires,1481036.1246948242,0.14810361246948242
2023,23,Sri Lanka,CE,ExtremeEvents,5754277.101257324,0.5754277101257325
2024,24,Sri Lanka,CE,Harvest,82094835.76220703,8.209483576220704
2024,24,Sri Lanka,CE,Fires,797195.3023071289,0.07971953023071289
2024,24,Sri Lanka,CE,ExtremeEvents,3365013.707885742,0.33650137078857423
2025,25,Sri Lanka,CE,Harvest,103077545.3383789,10.30775453383789
2025,25,Sri Lanka,CE,Fires,1010752.418395996,0.1010752418395996
2025,25,Sri Lanka,CE,ExtremeEvents,6383092.196166992,0.6383092196166992
