Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Chile,CI,Harvest,391498563.10636413,39.149856310636416
2011,11,Chile,CI,Fires,11568536.039681228,1.1568536039681228
2011,11,Chile,CI,ExtremeEvents,430781245.2471789,43.07812452471789
2012,12,Chile,CI,Harvest,512369746.4188149,51.23697464188149
2012,12,Chile,CI,Fires,36077895.50460996,3.607789550460996
2012,12,Chile,CI,ExtremeEvents,654744344.8709385,65.47443448709386
2013,13,Chile,CI,Harvest,444838083.0097371,44.483808300973706
2013,13,Chile,CI,Fires,10940525.131498449,1.0940525131498449
2013,13,Chile,CI,ExtremeEvents,462939360.45707387,46.29393604570738
2014,14,Chile,CI,Harvest,491842170.3877474,49.18421703877474
2014,14,Chile,CI,Fires,42182833.01662957,4.218283301662957
2014,14,Chile,CI,ExtremeEvents,502070813.8809494,50.207081388094934
2015,15,Chile,CI,Harvest,461410837.3269835,46.14108373269835
2015,15,Chile,CI,Fires,64429737.302001715,6.442973730200172
2015,15,Chile,CI,ExtremeEvents,410784095.4568276,41.07840954568276
2016,16,Chile,CI,Harvest,541893314.9601445,54.189331496014454
2016,16,Chile,CI,Fires,32275500.51914422,3.227550051914422
2016,16,Chile,CI,ExtremeEvents,462481688.44890255,46.24816884489025
2017,17,Chile,CI,Harvest,608563437.3128474,60.85634373128474
2017,17,Chile,CI,Fires,235139380.2923512,23.513938029235117
2017,17,Chile,CI,ExtremeEvents,1132286361.9796553,113.22863619796553
2018,18,Chile,CI,Harvest,418896325.2612443,41.88963252612443
2018,18,Chile,CI,Fires,24222711.589686017,2.4222711589686017
2018,18,Chile,CI,ExtremeEvents,277917787.42995155,27.791778742995156
2019,19,Chile,CI,Harvest,418702890.6690184,41.87028906690184
2019,19,Chile,CI,Fires,26758406.590990014,2.6758406590990016
2019,19,Chile,CI,ExtremeEvents,270474094.0949975,27.047409409499753
2020,20,Chile,CI,Harvest,317883999.10097593,31.788399910097592
2020,20,Chile,CI,Fires,107911804.31008682,10.791180431008682
2020,20,Chile,CI,ExtremeEvents,217806452.36955827,21.780645236955827
2021,21,Chile,CI,Harvest,361799194.73664665,36.17991947366467
2021,21,Chile,CI,Fires,33894943.38764003,3.389494338764003
2021,21,Chile,CI,ExtremeEvents,257281625.34515905,25.728162534515906
2022,22,Chile,CI,Harvest,328169056.42208064,32.81690564220806
2022,22,Chile,CI,Fires,48908659.65349098,4.890865965349098
2022,22,Chile,CI,ExtremeEvents,243762700.69376817,24.37627006937682
2023,23,Chile,CI,Harvest,322898493.15838516,32.28984931583852
2023,23,Chile,CI,Fires,163482295.18893397,16.348229518893397
2023,23,Chile,CI,ExtremeEvents,505207969.4309273,50.520796943092726
2024,24,Chile,CI,Harvest,239647280.6928572,23.96472806928572
2024,24,Chile,CI,Fires,44598416.28483815,4.459841628483815
2024,24,Chile,CI,ExtremeEvents,151557275.1415075,15.155727514150751
2025,25,Chile,CI,Harvest,183026905.9421772,18.302690594217722
2025,25,Chile,CI,Fires,25771234.51937447,2.5771234519374473
2025,25,Chile,CI,ExtremeEvents,150424988.01207563,15.042498801207563
