Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Cameroon,CM,Harvest,6094994.002990723,0.6094994002990722
2011,11,Cameroon,CM,Fires,8026.929748535156,8.026929748535157e-4
2011,11,Cameroon,CM,ExtremeEvents,1950391.3755493164,0.19503913755493163
2012,12,Cameroon,CM,Harvest,9148317.821105957,0.9148317821105957
2012,12,Cameroon,CM,Fires,32118.03790283203,0.003211803790283203
2012,12,Cameroon,CM,ExtremeEvents,896590.3818969727,0.08965903818969727
2013,13,Cameroon,CM,Harvest,11662514.18963623,1.166251418963623
2013,13,Cameroon,CM,Fires,12490.494506835938,0.0012490494506835936
2013,13,Cameroon,CM,ExtremeEvents,1838721.0619506836,0.18387210619506836
2014,14,Cameroon,CM,Harvest,11417713.6461792,1.14177136461792
2014,14,Cameroon,CM,Fires,25866.568420410156,0.0025866568420410156
2014,14,Cameroon,CM,ExtremeEvents,6764621.208679199,0.6764621208679199
2015,15,Cameroon,CM,Harvest,6066560.042541504,0.6066560042541503
2015,15,Cameroon,CM,Fires,7138.434997558594,7.138434997558593e-4
2015,15,Cameroon,CM,ExtremeEvents,1297588.9401245115,0.12975889401245114
2016,16,Cameroon,CM,Harvest,6703897.156188965,0.6703897156188965
2016,16,Cameroon,CM,Fires,5353.4444580078125,5.353444458007813e-4
2016,16,Cameroon,CM,ExtremeEvents,2721111.624267578,0.2721111624267578
2017,17,Cameroon,CM,Harvest,6930604.403625488,0.6930604403625489
2017,17,Cameroon,CM,Fires,8029.984375,8.029984375e-4
2017,17,Cameroon,CM,ExtremeEvents,8755408.440185547,0.8755408440185547
2018,18,Cameroon,CM,Harvest,5666357.667480469,0.5666357667480468
2018,18,Cameroon,CM,Fires,1783.6400756835938,1.7836400756835938e-4
2018,18,Cameroon,CM,ExtremeEvents,8191882.954162598,0.8191882954162598
2019,19,Cameroon,CM,Harvest,6555894.594055176,0.6555894594055176
2019,19,Cameroon,CM,Fires,12493.788879394531,0.001249378887939453
2019,19,Cameroon,CM,ExtremeEvents,3155079.061645508,0.31550790616455077
2020,20,Cameroon,CM,Harvest,7986972.969787598,0.7986972969787598
2020,20,Cameroon,CM,Fires,29443.37091064453,0.0029443370910644533
2020,20,Cameroon,CM,ExtremeEvents,2422765.6731567383,0.24227656731567382
2021,21,Cameroon,CM,Harvest,11593440.40234375,1.159344040234375
2021,21,Cameroon,CM,Fires,59775.336364746094,0.005977533636474609
2021,21,Cameroon,CM,ExtremeEvents,6518196.163696289,0.6518196163696289
2022,22,Cameroon,CM,Harvest,13359540.468078613,1.3359540468078612
2022,22,Cameroon,CM,Fires,29443.30407714844,0.0029443304077148443
2022,22,Cameroon,CM,ExtremeEvents,1961980.2150878904,0.19619802150878904
2023,23,Cameroon,CM,Harvest,14213849.873168945,1.4213849873168944
2023,23,Cameroon,CM,Fires,64211.1943359375,0.00642111943359375
2023,23,Cameroon,CM,ExtremeEvents,3699710.914428711,0.3699710914428711
2024,24,Cameroon,CM,Harvest,11450317.331115723,1.1450317331115722
2024,24,Cameroon,CM,Fires,18744.1396484375,0.00187441396484375
2024,24,Cameroon,CM,ExtremeEvents,4996441.509399414,0.4996441509399414
2025,25,Cameroon,CM,Harvest,14200336.537780762,1.4200336537780762
2025,25,Cameroon,CM,Fires,110630.9566040039,0.01106309566040039
2025,25,Cameroon,CM,ExtremeEvents,2161170.5756835938,0.2161170575683594
