Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Colombia,CO,Harvest,74037677.16626886,7.403767716626885
2011,11,Colombia,CO,Fires,1977270.9036369773,0.19772709036369773
2011,11,Colombia,CO,ExtremeEvents,11731634.262451172,1.1731634262451172
2012,12,Colombia,CO,Harvest,86123053.52477165,8.612305352477165
2012,12,Colombia,CO,Fires,2862288.1173095703,0.28622881173095704
2012,12,Colombia,CO,ExtremeEvents,16666142.47607422,1.6666142476074222
2013,13,Colombia,CO,Harvest,49992760.35978549,4.999276035978549
2013,13,Colombia,CO,Fires,1035081.3547973632,0.10350813547973632
2013,13,Colombia,CO,ExtremeEvents,12893582.254760742,1.2893582254760743
2014,14,Colombia,CO,Harvest,65909315.45643669,6.590931545643669
2014,14,Colombia,CO,Fires,3481673.2251586914,0.3481673225158691
2014,14,Colombia,CO,ExtremeEvents,16698331.1696167,1.66983311696167
2015,15,Colombia,CO,Harvest,48635762.80493164,4.863576280493164
2015,15,Colombia,CO,Fires,2333856.446838379,0.23338564468383788
2015,15,Colombia,CO,ExtremeEvents,15834006.496154783,1.5834006496154784
2016,16,Colombia,CO,Harvest,64739812.07950796,6.473981207950796
2016,16,Colombia,CO,Fires,4627668.8163990695,0.4627668816399069
2016,16,Colombia,CO,ExtremeEvents,33015807.34417725,3.301580734417725
2017,17,Colombia,CO,Harvest,96378989.38654691,9.637898938654692
2017,17,Colombia,CO,Fires,5453305.95892334,0.545330595892334
2017,17,Colombia,CO,ExtremeEvents,33488953.595825195,3.3488953595825195
2018,18,Colombia,CO,Harvest,72418163.63056521,7.241816363056521
2018,18,Colombia,CO,Fires,4111228.4052124023,0.4111228405212402
2018,18,Colombia,CO,ExtremeEvents,24245078.13531494,2.4245078135314944
2019,19,Colombia,CO,Harvest,76355509.12668051,7.635550912668051
2019,19,Colombia,CO,Fires,5308645.520385742,0.5308645520385742
2019,19,Colombia,CO,ExtremeEvents,22427042.195129395,2.2427042195129396
2020,20,Colombia,CO,Harvest,70718075.15476936,7.071807515476936
2020,20,Colombia,CO,Fires,4092822.7578900503,0.40928227578900506
2020,20,Colombia,CO,ExtremeEvents,27327023.40765381,2.732702340765381
2021,21,Colombia,CO,Harvest,63666435.38274717,6.366643538274717
2021,21,Colombia,CO,Fires,3132464.2028808594,0.3132464202880859
2021,21,Colombia,CO,ExtremeEvents,30659378.054260258,3.065937805426026
2022,22,Colombia,CO,Harvest,65538609.304622635,6.553860930462264
2022,22,Colombia,CO,Fires,3282367.766357422,0.3282367766357422
2022,22,Colombia,CO,ExtremeEvents,43389711.82885742,4.338971182885742
2023,23,Colombia,CO,Harvest,66882551.698791504,6.688255169879151
2023,23,Colombia,CO,Fires,3082592.851867676,0.3082592851867676
2023,23,Colombia,CO,ExtremeEvents,43879507.630371094,4.387950763037109
2024,24,Colombia,CO,Harvest,55529304.342794016,5.552930434279402
2024,24,Colombia,CO,Fires,2788418.4130859375,0.27884184130859374
2024,24,Colombia,CO,ExtremeEvents,42505997.78704834,4.250599778704834
2025,25,Colombia,CO,Harvest,52565192.375149116,5.256519237514912
2025,25,Colombia,CO,Fires,2503311.5220336914,0.25033115220336916
2025,25,Colombia,CO,ExtremeEvents,25263632.05493164,2.526363205493164
