Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Northern Mariana Islands,CQ,Harvest,0,0
2011,11,Northern Mariana Islands,CQ,Fires,0,0
2011,11,Northern Mariana Islands,CQ,ExtremeEvents,0,0
2012,12,Northern Mariana Islands,CQ,Harvest,0,0
2012,12,Northern Mariana Islands,CQ,Fires,0,0
2012,12,Northern Mariana Islands,CQ,ExtremeEvents,0,0
2013,13,Northern Mariana Islands,CQ,Harvest,0,0
2013,13,Northern Mariana Islands,CQ,Fires,0,0
2013,13,Northern Mariana Islands,CQ,ExtremeEvents,0,0
2014,14,Northern Mariana Islands,CQ,Harvest,0,0
2014,14,Northern Mariana Islands,CQ,Fires,0,0
2014,14,Northern Mariana Islands,CQ,ExtremeEvents,0,0
2015,15,Northern Mariana Islands,CQ,Harvest,0,0
2015,15,Northern Mariana Islands,CQ,Fires,0,0
2015,15,Northern Mariana Islands,CQ,ExtremeEvents,0,0
2016,16,Northern Mariana Islands,CQ,Harvest,0,0
2016,16,Northern Mariana Islands,CQ,Fires,0,0
2016,16,Northern Mariana Islands,CQ,ExtremeEvents,0,0
2017,17,Northern Mariana Islands,CQ,Harvest,0,0
2017,17,Northern Mariana Islands,CQ,Fires,0,0
2017,17,Northern Mariana Islands,CQ,ExtremeEvents,0,0
2018,18,Northern Mariana Islands,CQ,Harvest,0,0
2018,18,Northern Mariana Islands,CQ,Fires,0,0
2018,18,Northern Mariana Islands,CQ,ExtremeEvents,0,0
2019,19,Northern Mariana Islands,CQ,Harvest,0,0
2019,19,Northern Mariana Islands,CQ,Fires,0,0
2019,19,Northern Mariana Islands,CQ,ExtremeEvents,0,0
2020,20,Northern Mariana Islands,CQ,Harvest,0,0
2020,20,Northern Mariana Islands,CQ,Fires,0,0
2020,20,Northern Mariana Islands,CQ,ExtremeEvents,0,0
2021,21,Northern Mariana Islands,CQ,Harvest,0,0
2021,21,Northern Mariana Islands,CQ,Fires,0,0
2021,21,Northern Mariana Islands,CQ,ExtremeEvents,0,0
2022,22,Northern Mariana Islands,CQ,Harvest,0,0
2022,22,Northern Mariana Islands,CQ,Fires,0,0
2022,22,Northern Mariana Islands,CQ,ExtremeEvents,0,0
2023,23,Northern Mariana Islands,CQ,Harvest,0,0
2023,23,Northern Mariana Islands,CQ,Fires,0,0
2023,23,Northern Mariana Islands,CQ,ExtremeEvents,0,0
2024,24,Northern Mariana Islands,CQ,Harvest,0,0
2024,24,Northern Mariana Islands,CQ,Fires,0,0
2024,24,Northern Mariana Islands,CQ,ExtremeEvents,0,0
2025,25,Northern Mariana Islands,CQ,Harvest,0,0
2025,25,Northern Mariana Islands,CQ,Fires,0,0
2025,25,Northern Mariana Islands,CQ,ExtremeEvents,0,0
