Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Central African Republic,CT,Harvest,849689.6141967773,0.08496896141967773
2011,11,Central African Republic,CT,Fires,31206.62127685547,0.0031206621276855468
2011,11,Central African Republic,CT,ExtremeEvents,0,0
2012,12,Central African Republic,CT,Harvest,5953249.2705078125,0.5953249270507812
2012,12,Central African Republic,CT,Fires,10698.901977539062,0.0010698901977539063
2012,12,Central African Republic,CT,ExtremeEvents,0,0
2013,13,Central African Republic,CT,Harvest,658896.614074707,0.0658896614074707
2013,13,Central African Republic,CT,Fires,0,0
2013,13,Central African Republic,CT,ExtremeEvents,0,0
2014,14,Central African Republic,CT,Harvest,1016415.0041503906,0.10164150041503907
2014,14,Central African Republic,CT,Fires,1783.1217041015625,1.7831217041015625e-4
2014,14,Central African Republic,CT,ExtremeEvents,0,0
2015,15,Central African Republic,CT,Harvest,468974.2863769531,0.04689742863769531
2015,15,Central African Republic,CT,Fires,16939.89862060547,0.0016939898620605468
2015,15,Central African Republic,CT,ExtremeEvents,0,0
2016,16,Central African Republic,CT,Harvest,1387315.7675170898,0.138731576751709
2016,16,Central African Republic,CT,Fires,768567.9077758789,0.07685679077758789
2016,16,Central African Republic,CT,ExtremeEvents,0,0
2017,17,Central African Republic,CT,Harvest,1202755.2013549805,0.12027552013549804
2017,17,Central African Republic,CT,Fires,23180.968383789062,0.002318096838378906
2017,17,Central African Republic,CT,ExtremeEvents,0,0
2018,18,Central African Republic,CT,Harvest,547441.4608764648,0.05474414608764649
2018,18,Central African Republic,CT,Fires,11590.662658691406,0.0011590662658691406
2018,18,Central African Republic,CT,ExtremeEvents,0,0
2019,19,Central African Republic,CT,Harvest,1817954.7286987305,0.18179547286987305
2019,19,Central African Republic,CT,Fires,48145.43615722656,0.004814543615722656
2019,19,Central African Republic,CT,ExtremeEvents,0,0
2020,20,Central African Republic,CT,Harvest,1576321.4321899414,0.15763214321899413
2020,20,Central African Republic,CT,Fires,33880.232482910156,0.0033880232482910158
2020,20,Central African Republic,CT,ExtremeEvents,0,0
2021,21,Central African Republic,CT,Harvest,1128760.373046875,0.1128760373046875
2021,21,Central African Republic,CT,Fires,134630.07818603516,0.013463007818603516
2021,21,Central African Republic,CT,ExtremeEvents,0,0
2022,22,Central African Republic,CT,Harvest,1289237.064819336,0.1289237064819336
2022,22,Central African Republic,CT,Fires,115013.57415771484,0.011501357415771485
2022,22,Central African Republic,CT,ExtremeEvents,0,0
2023,23,Central African Republic,CT,Harvest,1531755.6465454102,0.15317556465454102
2023,23,Central African Republic,CT,Fires,84700.852783203125,0.008470085278320312
2023,23,Central African Republic,CT,ExtremeEvents,0,0
2024,24,Central African Republic,CT,Harvest,1267847.9934082031,0.12678479934082032
2024,24,Central African Republic,CT,Fires,48146.577209472656,0.004814657720947265
2024,24,Central African Republic,CT,ExtremeEvents,0,0
2025,25,Central African Republic,CT,Harvest,1438152.3984375002,0.14381523984375003
2025,25,Central African Republic,CT,Fires,24073.278076171875,0.0024073278076171874
2025,25,Central African Republic,CT,ExtremeEvents,0,0
