Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Cuba,CU,Harvest,41397662.332453705,4.13976623324537
2011,11,Cuba,CU,Fires,4096824.5424804688,0.4096824542480469
2011,11,Cuba,CU,ExtremeEvents,648673.0955810547,0.06486730955810546
2012,12,Cuba,CU,Harvest,15570144.576377958,1.5570144576377958
2012,12,Cuba,CU,Fires,1009163.035888672,0.1009163035888672
2012,12,Cuba,CU,ExtremeEvents,160789.8936767578,0.01607898936767578
2013,13,Cuba,CU,Harvest,16501239.200199619,1.650123920019962
2013,13,Cuba,CU,Fires,437903.5513916016,0.04379035513916016
2013,13,Cuba,CU,ExtremeEvents,151067.27490234375,0.015106727490234374
2014,14,Cuba,CU,Harvest,19688458.088328164,1.9688458088328165
2014,14,Cuba,CU,Fires,486085.9114379883,0.04860859114379883
2014,14,Cuba,CU,ExtremeEvents,113808.08123779295,0.011380808123779295
2015,15,Cuba,CU,Harvest,21573837.11271853,2.157383711271853
2015,15,Cuba,CU,Fires,2090896.0918579104,0.20908960918579103
2015,15,Cuba,CU,ExtremeEvents,375586.44958496094,0.0375586449584961
2016,16,Cuba,CU,Harvest,28391651.096990608,2.839165109699061
2016,16,Cuba,CU,Fires,1553625.9566423006,0.15536259566423005
2016,16,Cuba,CU,ExtremeEvents,199410.4337158203,0.01994104337158203
2017,17,Cuba,CU,Harvest,47890450.61080178,4.789045061080178
2017,17,Cuba,CU,Fires,26715401.808981024,2.6715401808981025
2017,17,Cuba,CU,ExtremeEvents,15801247.264343262,1.580124726434326
2018,18,Cuba,CU,Harvest,20953335.178879198,2.0953335178879198
2018,18,Cuba,CU,Fires,5521175.907828058,0.5521175907828059
2018,18,Cuba,CU,ExtremeEvents,152056.57684326172,0.015205657684326171
2019,19,Cuba,CU,Harvest,21228033.472961426,2.1228033472961427
2019,19,Cuba,CU,Fires,589034.6525878906,0.05890346525878906
2019,19,Cuba,CU,ExtremeEvents,136553.1123046875,0.01365531123046875
2020,20,Cuba,CU,Harvest,29898930.090361472,2.9898930090361473
2020,20,Cuba,CU,Fires,12941895.133279,1.2941895133279
2020,20,Cuba,CU,ExtremeEvents,189471.50018310547,0.018947150018310547
2021,21,Cuba,CU,Harvest,18440133.762467448,1.8440133762467448
2021,21,Cuba,CU,Fires,4611620.66027832,0.46116206602783205
2021,21,Cuba,CU,ExtremeEvents,153511.92193603516,0.015351192193603515
2022,22,Cuba,CU,Harvest,10684198.585632326,1.0684198585632325
2022,22,Cuba,CU,Fires,3346175.398173014,0.3346175398173014
2022,22,Cuba,CU,ExtremeEvents,106417.68908691406,0.010641768908691406
2023,23,Cuba,CU,Harvest,26021558.74953063,2.6021558749530627
2023,23,Cuba,CU,Fires,10639856.362693876,1.0639856362693876
2023,23,Cuba,CU,ExtremeEvents,1283468.920288086,0.12834689202880858
2024,24,Cuba,CU,Harvest,12747571.930260513,1.2747571930260513
2024,24,Cuba,CU,Fires,6846101.965137437,0.6846101965137437
2024,24,Cuba,CU,ExtremeEvents,2495975.244525745,0.2495975244525745
2025,25,Cuba,CU,Harvest,13970388.198080147,1.3970388198080146
2025,25,Cuba,CU,Fires,16236962.276245115,1.6236962276245115
2025,25,Cuba,CU,ExtremeEvents,496104.4883422851,0.04961044883422851
