Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Djibouti,DJ,Harvest,0,0
2011,11,Djibouti,DJ,Fires,0,0
2011,11,Djibouti,DJ,ExtremeEvents,0,0
2012,12,Djibouti,DJ,Harvest,0,0
2012,12,Djibouti,DJ,Fires,0,0
2012,12,Djibouti,DJ,ExtremeEvents,0,0
2013,13,Djibouti,DJ,Harvest,0,0
2013,13,Djibouti,DJ,Fires,0,0
2013,13,Djibouti,DJ,ExtremeEvents,0,0
2014,14,Djibouti,DJ,Harvest,0,0
2014,14,Djibouti,DJ,Fires,0,0
2014,14,Djibouti,DJ,ExtremeEvents,0,0
2015,15,Djibouti,DJ,Harvest,0,0
2015,15,Djibouti,DJ,Fires,0,0
2015,15,Djibouti,DJ,ExtremeEvents,0,0
2016,16,Djibouti,DJ,Harvest,0,0
2016,16,Djibouti,DJ,Fires,0,0
2016,16,Djibouti,DJ,ExtremeEvents,0,0
2017,17,Djibouti,DJ,Harvest,0,0
2017,17,Djibouti,DJ,Fires,0,0
2017,17,Djibouti,DJ,ExtremeEvents,0,0
2018,18,Djibouti,DJ,Harvest,0,0
2018,18,Djibouti,DJ,Fires,0,0
2018,18,Djibouti,DJ,ExtremeEvents,0,0
2019,19,Djibouti,DJ,Harvest,0,0
2019,19,Djibouti,DJ,Fires,0,0
2019,19,Djibouti,DJ,ExtremeEvents,0,0
2020,20,Djibouti,DJ,Harvest,0,0
2020,20,Djibouti,DJ,Fires,0,0
2020,20,Djibouti,DJ,ExtremeEvents,0,0
2021,21,Djibouti,DJ,Harvest,0,0
2021,21,Djibouti,DJ,Fires,0,0
2021,21,Djibouti,DJ,ExtremeEvents,0,0
2022,22,Djibouti,DJ,Harvest,0,0
2022,22,Djibouti,DJ,Fires,0,0
2022,22,Djibouti,DJ,ExtremeEvents,0,0
2023,23,Djibouti,DJ,Harvest,0,0
2023,23,Djibouti,DJ,Fires,0,0
2023,23,Djibouti,DJ,ExtremeEvents,0,0
2024,24,Djibouti,DJ,Harvest,0,0
2024,24,Djibouti,DJ,Fires,0,0
2024,24,Djibouti,DJ,ExtremeEvents,0,0
2025,25,Djibouti,DJ,Harvest,0,0
2025,25,Djibouti,DJ,Fires,0,0
2025,25,Djibouti,DJ,ExtremeEvents,0,0
