Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Ecuador,EC,Harvest,13894508.104923742,1.3894508104923742
2011,11,Ecuador,EC,Fires,250247.0966796875,0.02502470966796875
2011,11,Ecuador,EC,ExtremeEvents,0,0
2012,12,Ecuador,EC,Harvest,20692157.724999763,2.0692157724999762
2012,12,Ecuador,EC,Fires,492522.3494873047,0.04925223494873047
2012,12,Ecuador,EC,ExtremeEvents,0,0
2013,13,Ecuador,EC,Harvest,14106656.247043505,1.4106656247043505
2013,13,Ecuador,EC,Fires,186805.8667602539,0.01868058667602539
2013,13,Ecuador,EC,ExtremeEvents,0,0
2014,14,Ecuador,EC,Harvest,10879672.620699055,1.0879672620699055
2014,14,Ecuador,EC,Fires,109034.6255493164,0.010903462554931641
2014,14,Ecuador,EC,ExtremeEvents,0,0
2015,15,Ecuador,EC,Harvest,4286280.458217487,0.4286280458217487
2015,15,Ecuador,EC,Fires,146572.31787109375,0.014657231787109376
2015,15,Ecuador,EC,ExtremeEvents,0,0
2016,16,Ecuador,EC,Harvest,10235083.888162293,1.0235083888162293
2016,16,Ecuador,EC,Fires,118842.58978271484,0.011884258978271485
2016,16,Ecuador,EC,ExtremeEvents,0,0
2017,17,Ecuador,EC,Harvest,14340671.833241899,1.4340671833241898
2017,17,Ecuador,EC,Fires,419221.85845947266,0.041922185845947264
2017,17,Ecuador,EC,ExtremeEvents,0,0
2018,18,Ecuador,EC,Harvest,3680266.284137801,0.3680266284137801
2018,18,Ecuador,EC,Fires,98487.74715408625,0.009848774715408624
2018,18,Ecuador,EC,ExtremeEvents,0,0
2019,19,Ecuador,EC,Harvest,5782010.907800054,0.5782010907800054
2019,19,Ecuador,EC,Fires,96190.5920087029,0.00961905920087029
2019,19,Ecuador,EC,ExtremeEvents,0,0
2020,20,Ecuador,EC,Harvest,5225840.032925474,0.5225840032925474
2020,20,Ecuador,EC,Fires,273572.46656063304,0.027357246656063303
2020,20,Ecuador,EC,ExtremeEvents,0,0
2021,21,Ecuador,EC,Harvest,4822392.443980019,0.48223924439800187
2021,21,Ecuador,EC,Fires,199350.42999339383,0.019935042999339382
2021,21,Ecuador,EC,ExtremeEvents,0,0
2022,22,Ecuador,EC,Harvest,5669741.791018737,0.5669741791018736
2022,22,Ecuador,EC,Fires,257450.69413009344,0.025745069413009344
2022,22,Ecuador,EC,ExtremeEvents,0,0
2023,23,Ecuador,EC,Harvest,8162831.4398279525,0.8162831439827952
2023,23,Ecuador,EC,Fires,199334.23846435547,0.019933423846435545
2023,23,Ecuador,EC,ExtremeEvents,0,0
2024,24,Ecuador,EC,Harvest,5428260.345275879,0.5428260345275879
2024,24,Ecuador,EC,Fires,218994.11395263672,0.021899411395263673
2024,24,Ecuador,EC,ExtremeEvents,0,0
2025,25,Ecuador,EC,Harvest,7826141.923020546,0.7826141923020546
2025,25,Ecuador,EC,Fires,343237.9196777344,0.03432379196777344
2025,25,Ecuador,EC,ExtremeEvents,0,0
