Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Egypt,EG,Harvest,618134.0856933594,0.06181340856933594
2011,11,Egypt,EG,Fires,234158.09399414065,0.023415809399414067
2011,11,Egypt,EG,ExtremeEvents,0,0
2012,12,Egypt,EG,Harvest,2589303.2467651367,0.25893032467651367
2012,12,Egypt,EG,Fires,1005239.9594116212,0.10052399594116213
2012,12,Egypt,EG,ExtremeEvents,0,0
2013,13,Egypt,EG,Harvest,446218.05273437506,0.04462180527343751
2013,13,Egypt,EG,Fires,22238.53369140625,0.002223853369140625
2013,13,Egypt,EG,ExtremeEvents,0,0
2014,14,Egypt,EG,Harvest,526658.42041015625,0.052665842041015626
2014,14,Egypt,EG,Fires,45253.18670654297,0.004525318670654297
2014,14,Egypt,EG,ExtremeEvents,0,0
2015,15,Egypt,EG,Harvest,198403.58837890625,0.019840358837890624
2015,15,Egypt,EG,Fires,13020.60479736328,0.001302060479736328
2015,15,Egypt,EG,ExtremeEvents,0,0
2016,16,Egypt,EG,Harvest,245918.75555419922,0.02459187555541992
2016,16,Egypt,EG,Fires,4596.902587890625,4.596902587890625e-4
2016,16,Egypt,EG,ExtremeEvents,0,0
2017,17,Egypt,EG,Harvest,372394.4856567383,0.03723944856567383
2017,17,Egypt,EG,Fires,3084.736572265625,3.084736572265625e-4
2017,17,Egypt,EG,ExtremeEvents,0,0
2018,18,Egypt,EG,Harvest,369575.4914550781,0.03695754914550781
2018,18,Egypt,EG,Fires,9205.1749267578125,9.205174926757813e-4
2018,18,Egypt,EG,ExtremeEvents,0,0
2019,19,Egypt,EG,Harvest,118725.48970037722,0.011872548970037722
2019,19,Egypt,EG,Fires,8434.9495849609375,8.434949584960938e-4
2019,19,Egypt,EG,ExtremeEvents,0,0
2020,20,Egypt,EG,Harvest,107306.17230224611,0.010730617230224612
2020,20,Egypt,EG,Fires,1533.9411010742188,1.5339411010742188e-4
2020,20,Egypt,EG,ExtremeEvents,0,0
2021,21,Egypt,EG,Harvest,113453.17010498048,0.011345317010498047
2021,21,Egypt,EG,Fires,0,0
2021,21,Egypt,EG,ExtremeEvents,0,0
2022,22,Egypt,EG,Harvest,68230.41247558594,0.006823041247558594
2022,22,Egypt,EG,Fires,0,0
2022,22,Egypt,EG,ExtremeEvents,0,0
2023,23,Egypt,EG,Harvest,171741.41174316406,0.017174141174316405
2023,23,Egypt,EG,Fires,44593.7177734375,0.00445937177734375
2023,23,Egypt,EG,ExtremeEvents,0,0
2024,24,Egypt,EG,Harvest,198698.45153808594,0.019869845153808595
2024,24,Egypt,EG,Fires,13055.482666015623,0.0013055482666015623
2024,24,Egypt,EG,ExtremeEvents,0,0
2025,25,Egypt,EG,Harvest,121130.17657470703,0.012113017657470703
2025,25,Egypt,EG,Fires,7683.605285644531,7.683605285644531e-4
2025,25,Egypt,EG,ExtremeEvents,0,0
