Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Ireland,EI,Harvest,25642652.737690285,2.5642652737690286
2011,11,Ireland,EI,Fires,789068.6636352539,0.0789068663635254
2011,11,Ireland,EI,ExtremeEvents,3866668.784057617,0.3866668784057617
2012,12,Ireland,EI,Harvest,48665017.43564405,4.866501743564405
2012,12,Ireland,EI,Fires,1837372.6511991613,0.18373726511991614
2012,12,Ireland,EI,ExtremeEvents,7355905.473815918,0.7355905473815918
2013,13,Ireland,EI,Harvest,38981680.68358178,3.898168068358178
2013,13,Ireland,EI,Fires,769279.3498817594,0.07692793498817593
2013,13,Ireland,EI,ExtremeEvents,6951566.010925293,0.6951566010925293
2014,14,Ireland,EI,Harvest,44534907.19329834,4.453490719329834
2014,14,Ireland,EI,Fires,273001.1551513672,0.027300115515136718
2014,14,Ireland,EI,ExtremeEvents,11585384.367797852,1.158538436779785
2015,15,Ireland,EI,Harvest,31497314.514038324,3.1497314514038326
2015,15,Ireland,EI,Fires,158923.4461669922,0.01589234461669922
2015,15,Ireland,EI,ExtremeEvents,12931152.486816406,1.2931152486816406
2016,16,Ireland,EI,Harvest,70862267.94631346,7.0862267946313455
2016,16,Ireland,EI,Fires,532101.0306396484,0.05321010306396484
2016,16,Ireland,EI,ExtremeEvents,20846335.266967773,2.0846335266967775
2017,17,Ireland,EI,Harvest,47298040.20143828,4.729804020143828
2017,17,Ireland,EI,Fires,562380.1935053807,0.056238019350538064
2017,17,Ireland,EI,ExtremeEvents,11992192.356262209,1.1992192356262208
2018,18,Ireland,EI,Harvest,64864285.84322031,6.486428584322031
2018,18,Ireland,EI,Fires,197457.65576171875,0.019745765576171876
2018,18,Ireland,EI,ExtremeEvents,16751012.379699709,1.6751012379699708
2019,19,Ireland,EI,Harvest,79526422.68461627,7.952642268461627
2019,19,Ireland,EI,Fires,274227.7366333008,0.02742277366333008
2019,19,Ireland,EI,ExtremeEvents,21508960.80395508,2.1508960803955084
2020,20,Ireland,EI,Harvest,48195531.13380773,4.819553113380773
2020,20,Ireland,EI,Fires,164416.60607910156,0.016441660607910157
2020,20,Ireland,EI,ExtremeEvents,12088556.25152588,1.2088556251525882
2021,21,Ireland,EI,Harvest,67651311.83856273,6.765131183856273
2021,21,Ireland,EI,Fires,544707.1016785864,0.05447071016785864
2021,21,Ireland,EI,ExtremeEvents,17362685.655700684,1.7362685655700683
2022,22,Ireland,EI,Harvest,52236101.93471321,5.223610193471321
2022,22,Ireland,EI,Fires,105991.58892822266,0.010599158892822265
2022,22,Ireland,EI,ExtremeEvents,13040900.237182615,1.3040900237182615
2023,23,Ireland,EI,Harvest,52624460.33124354,5.262446033124354
2023,23,Ireland,EI,Fires,122823.2797241211,0.01228232797241211
2023,23,Ireland,EI,ExtremeEvents,13065570.17919108,1.3065570179191082
2024,24,Ireland,EI,Harvest,53991282.34476796,5.3991282344767955
2024,24,Ireland,EI,Fires,89918.55072021484,0.008991855072021484
2024,24,Ireland,EI,ExtremeEvents,16238894.508178713,1.6238894508178712
2025,25,Ireland,EI,Harvest,71445718.24238831,7.144571824238831
2025,25,Ireland,EI,Fires,213200.9166855756,0.02132009166855756
2025,25,Ireland,EI,ExtremeEvents,40625985.209982,4.0625985209982
