Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Estonia,EN,Harvest,245374762.26323366,24.537476226323367
2011,11,Estonia,EN,Fires,832942.2136448281,0.0832942213644828
2011,11,Estonia,EN,ExtremeEvents,24721081.15596158,2.472108115596158
2012,12,Estonia,EN,Harvest,164083232.63396728,16.408323263396728
2012,12,Estonia,EN,Fires,2091799.1913769292,0.2091799191376929
2012,12,Estonia,EN,ExtremeEvents,9549615.222057387,0.9549615222057387
2013,13,Estonia,EN,Harvest,157963318.1910294,15.79633181910294
2013,13,Estonia,EN,Fires,361481.9015197754,0.03614819015197754
2013,13,Estonia,EN,ExtremeEvents,10018450.015172742,1.0018450015172742
2014,14,Estonia,EN,Harvest,217984532.84836966,21.798453284836967
2014,14,Estonia,EN,Fires,376695.1288452149,0.03766951288452149
2014,14,Estonia,EN,ExtremeEvents,13612729.121095784,1.3612729121095783
2015,15,Estonia,EN,Harvest,236219462.66547227,23.621946266547226
2015,15,Estonia,EN,Fires,232796.6473083496,0.02327966473083496
2015,15,Estonia,EN,ExtremeEvents,12722181.988809625,1.2722181988809624
2016,16,Estonia,EN,Harvest,326896140.17135143,32.68961401713514
2016,16,Estonia,EN,Fires,890602.8379211426,0.08906028379211425
2016,16,Estonia,EN,ExtremeEvents,27621026.04788591,2.762102604788591
2017,17,Estonia,EN,Harvest,351785342.09279233,35.178534209279235
2017,17,Estonia,EN,Fires,1440295.285262643,0.1440295285262643
2017,17,Estonia,EN,ExtremeEvents,27071858.58532308,2.707185858532308
2018,18,Estonia,EN,Harvest,371697911.22092503,37.169791122092505
2018,18,Estonia,EN,Fires,1196288.0795593262,0.11962880795593261
2018,18,Estonia,EN,ExtremeEvents,20447964.533457197,2.04479645334572
2019,19,Estonia,EN,Harvest,422801492.98598367,42.28014929859837
2019,19,Estonia,EN,Fires,1113527.7169548485,0.11135277169548485
2019,19,Estonia,EN,ExtremeEvents,25631387.2904772,2.5631387290477203
2020,20,Estonia,EN,Harvest,336226919.2241881,33.62269192241881
2020,20,Estonia,EN,Fires,1286133.376953125,0.1286133376953125
2020,20,Estonia,EN,ExtremeEvents,22483557.33164745,2.248355733164745
2021,21,Estonia,EN,Harvest,314490715.4088081,31.449071540880812
2021,21,Estonia,EN,Fires,1164755.4653709263,0.11647554653709263
2021,21,Estonia,EN,ExtremeEvents,17916910.523334697,1.7916910523334697
2022,22,Estonia,EN,Harvest,362876155.35983837,36.28761553598384
2022,22,Estonia,EN,Fires,1006346.4584350586,0.10063464584350586
2022,22,Estonia,EN,ExtremeEvents,20476658.60858872,2.047665860858872
2023,23,Estonia,EN,Harvest,331711278.269248,33.1711278269248
2023,23,Estonia,EN,Fires,492627.3100624234,0.049262731006242344
2023,23,Estonia,EN,ExtremeEvents,21314958.576818608,2.131495857681861
2024,24,Estonia,EN,Harvest,321871669.78038627,32.187166978038626
2024,24,Estonia,EN,Fires,579666.9176635742,0.05796669176635742
2024,24,Estonia,EN,ExtremeEvents,20468380.198547363,2.0468380198547362
2025,25,Estonia,EN,Harvest,284464208.3226903,28.44642083226903
2025,25,Estonia,EN,Fires,1757611.6780016134,0.17576116780016132
2025,25,Estonia,EN,ExtremeEvents,17471311.164181698,1.7471311164181698
