Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,El Salvador,ES,Harvest,124195.29779052734,0.012419529779052734
2011,11,El Salvador,ES,Fires,1736.0830078125,1.7360830078125e-4
2011,11,El Salvador,ES,ExtremeEvents,0,0
2012,12,El Salvador,ES,Harvest,48645.55047607422,0.004864555047607422
2012,12,El Salvador,ES,Fires,0,0
2012,12,El Salvador,ES,ExtremeEvents,0,0
2013,13,El Salvador,ES,Harvest,53891.297119140625,0.005389129711914063
2013,13,El Salvador,ES,Fires,3476.79248046875,3.47679248046875e-4
2013,13,El Salvador,ES,ExtremeEvents,0,0
2014,14,El Salvador,ES,Harvest,13010.9423828125,0.00130109423828125
2014,14,El Salvador,ES,Fires,869.17626953125,8.6917626953125e-5
2014,14,El Salvador,ES,ExtremeEvents,0,0
2015,15,El Salvador,ES,Harvest,63441.23126220703,0.006344123126220703
2015,15,El Salvador,ES,Fires,869.47369384765625,8.694736938476562e-5
2015,15,El Salvador,ES,ExtremeEvents,0,0
2016,16,El Salvador,ES,Harvest,145111.880859375,0.0145111880859375
2016,16,El Salvador,ES,Fires,866.764404296875,8.66764404296875e-5
2016,16,El Salvador,ES,ExtremeEvents,0,0
2017,17,El Salvador,ES,Harvest,154629.90454101562,0.015462990454101563
2017,17,El Salvador,ES,Fires,3472.537841796875,3.472537841796875e-4
2017,17,El Salvador,ES,ExtremeEvents,0,0
2018,18,El Salvador,ES,Harvest,62591.53771972656,0.006259153771972656
2018,18,El Salvador,ES,Fires,3477.4134521484375,3.4774134521484373e-4
2018,18,El Salvador,ES,ExtremeEvents,0,0
2019,19,El Salvador,ES,Harvest,44341.38018798828,0.004434138018798828
2019,19,El Salvador,ES,Fires,2608.447204589844,2.608447204589844e-4
2019,19,El Salvador,ES,ExtremeEvents,0,0
2020,20,El Salvador,ES,Harvest,69537.1176147461,0.0069537117614746095
2020,20,El Salvador,ES,Fires,1738.9696044921875,1.7389696044921876e-4
2020,20,El Salvador,ES,ExtremeEvents,0,0
2021,21,El Salvador,ES,Harvest,22605.68505859375,0.002260568505859375
2021,21,El Salvador,ES,Fires,0,0
2021,21,El Salvador,ES,ExtremeEvents,0,0
2022,22,El Salvador,ES,Harvest,19968.53741455078,0.001996853741455078
2022,22,El Salvador,ES,Fires,0,0
2022,22,El Salvador,ES,ExtremeEvents,0,0
2023,23,El Salvador,ES,Harvest,9548.893127441406,9.548893127441406e-4
2023,23,El Salvador,ES,Fires,0,0
2023,23,El Salvador,ES,ExtremeEvents,0,0
2024,24,El Salvador,ES,Harvest,6934.470153808594,6.934470153808594e-4
2024,24,El Salvador,ES,Fires,0,0
2024,24,El Salvador,ES,ExtremeEvents,0,0
2025,25,El Salvador,ES,Harvest,8678.440246582031,8.678440246582031e-4
2025,25,El Salvador,ES,Fires,1733.5725708007812,1.7335725708007813e-4
2025,25,El Salvador,ES,ExtremeEvents,0,0
