Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Czech Republic,EZ,Harvest,119636942.20312306,11.963694220312306
2011,11,Czech Republic,EZ,Fires,309829.05450439453,0.030982905450439455
2011,11,Czech Republic,EZ,ExtremeEvents,96326042.7867707,9.63260427867707
2012,12,Czech Republic,EZ,Harvest,75378752.75459507,7.537875275459507
2012,12,Czech Republic,EZ,Fires,496891.29610523896,0.049689129610523894
2012,12,Czech Republic,EZ,ExtremeEvents,62543725.739735804,6.254372573973581
2013,13,Czech Republic,EZ,Harvest,43881171.96936993,4.388117196936993
2013,13,Czech Republic,EZ,Fires,26770.430603027344,0.002677043060302734
2013,13,Czech Republic,EZ,ExtremeEvents,30446371.14954116,3.044637114954116
2014,14,Czech Republic,EZ,Harvest,70317675.22265793,7.031767522265794
2014,14,Czech Republic,EZ,Fires,241457.9017944336,0.02414579017944336
2014,14,Czech Republic,EZ,ExtremeEvents,64954003.573199585,6.495400357319959
2015,15,Czech Republic,EZ,Harvest,42698772.14606503,4.2698772146065025
2015,15,Czech Republic,EZ,Fires,9792.468933105469,9.792468933105469e-4
2015,15,Czech Republic,EZ,ExtremeEvents,36131018.48846626,3.613101848846626
2016,16,Czech Republic,EZ,Harvest,100229366.91910326,10.022936691910326
2016,16,Czech Republic,EZ,Fires,303044.6368803136,0.03030446368803136
2016,16,Czech Republic,EZ,ExtremeEvents,125183761.68725562,12.518376168725561
2017,17,Czech Republic,EZ,Harvest,95323999.82884306,9.532399982884305
2017,17,Czech Republic,EZ,Fires,100929.9234008789,0.01009299234008789
2017,17,Czech Republic,EZ,ExtremeEvents,164532056.67746007,16.45320566774601
2018,18,Czech Republic,EZ,Harvest,99782980.93431169,9.97829809343117
2018,18,Czech Republic,EZ,Fires,36322.69610595703,0.003632269610595703
2018,18,Czech Republic,EZ,ExtremeEvents,286809608.9799383,28.68096089799383
2019,19,Czech Republic,EZ,Harvest,175676595.1210574,17.567659512105738
2019,19,Czech Republic,EZ,Fires,207015.74713134769,0.020701574713134767
2019,19,Czech Republic,EZ,ExtremeEvents,548086801.1776259,54.80868011776259
2020,20,Czech Republic,EZ,Harvest,244163759.10616815,24.416375910616814
2020,20,Czech Republic,EZ,Fires,207555.1918334961,0.02075551918334961
2020,20,Czech Republic,EZ,ExtremeEvents,745681325.7410873,74.56813257410873
2021,21,Czech Republic,EZ,Harvest,188605045.4469456,18.86050454469456
2021,21,Czech Republic,EZ,Fires,609008.839050293,0.0609008839050293
2021,21,Czech Republic,EZ,ExtremeEvents,369639424.61872417,36.96394246187241
2022,22,Czech Republic,EZ,Harvest,126416983.63093123,12.641698363093123
2022,22,Czech Republic,EZ,Fires,44399.57751464844,0.004439957751464844
2022,22,Czech Republic,EZ,ExtremeEvents,216410324.20590225,21.641032420590225
2023,23,Czech Republic,EZ,Harvest,127412715.7496733,12.74127157496733
2023,23,Czech Republic,EZ,Fires,59121.62243652344,0.005912162243652343
2023,23,Czech Republic,EZ,ExtremeEvents,112687074.28309566,11.268707428309567
2024,24,Czech Republic,EZ,Harvest,125276415.70164257,12.527641570164258
2024,24,Czech Republic,EZ,Fires,386829.4426879883,0.03868294426879883
2024,24,Czech Republic,EZ,ExtremeEvents,65360324.17355599,6.5360324173555995
2025,25,Czech Republic,EZ,Harvest,108620759.84181556,10.862075984181557
2025,25,Czech Republic,EZ,Fires,57893.623596191406,0.005789362359619141
2025,25,Czech Republic,EZ,ExtremeEvents,48961752.877389945,4.896175287738995
