Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,French Guiana,FG,Harvest,0,0
2011,11,French Guiana,FG,Fires,0,0
2011,11,French Guiana,FG,ExtremeEvents,0,0
2012,12,French Guiana,FG,Harvest,0,0
2012,12,French Guiana,FG,Fires,0,0
2012,12,French Guiana,FG,ExtremeEvents,0,0
2013,13,French Guiana,FG,Harvest,0,0
2013,13,French Guiana,FG,Fires,0,0
2013,13,French Guiana,FG,ExtremeEvents,0,0
2014,14,French Guiana,FG,Harvest,0,0
2014,14,French Guiana,FG,Fires,0,0
2014,14,French Guiana,FG,ExtremeEvents,0,0
2015,15,French Guiana,FG,Harvest,0,0
2015,15,French Guiana,FG,Fires,0,0
2015,15,French Guiana,FG,ExtremeEvents,0,0
2016,16,French Guiana,FG,Harvest,0,0
2016,16,French Guiana,FG,Fires,0,0
2016,16,French Guiana,FG,ExtremeEvents,0,0
2017,17,French Guiana,FG,Harvest,0,0
2017,17,French Guiana,FG,Fires,0,0
2017,17,French Guiana,FG,ExtremeEvents,0,0
2018,18,French Guiana,FG,Harvest,0,0
2018,18,French Guiana,FG,Fires,0,0
2018,18,French Guiana,FG,ExtremeEvents,0,0
2019,19,French Guiana,FG,Harvest,0,0
2019,19,French Guiana,FG,Fires,0,0
2019,19,French Guiana,FG,ExtremeEvents,0,0
2020,20,French Guiana,FG,Harvest,0,0
2020,20,French Guiana,FG,Fires,0,0
2020,20,French Guiana,FG,ExtremeEvents,0,0
2021,21,French Guiana,FG,Harvest,0,0
2021,21,French Guiana,FG,Fires,0,0
2021,21,French Guiana,FG,ExtremeEvents,0,0
2022,22,French Guiana,FG,Harvest,0,0
2022,22,French Guiana,FG,Fires,0,0
2022,22,French Guiana,FG,ExtremeEvents,0,0
2023,23,French Guiana,FG,Harvest,0,0
2023,23,French Guiana,FG,Fires,0,0
2023,23,French Guiana,FG,ExtremeEvents,0,0
2024,24,French Guiana,FG,Harvest,0,0
2024,24,French Guiana,FG,Fires,0,0
2024,24,French Guiana,FG,ExtremeEvents,0,0
2025,25,French Guiana,FG,Harvest,0,0
2025,25,French Guiana,FG,Fires,0,0
2025,25,French Guiana,FG,ExtremeEvents,0,0
