Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Finland,FI,Harvest,1306887676.7514496,130.68876767514496
2011,11,Finland,FI,Fires,26627516.210521504,2.6627516210521502
2011,11,Finland,FI,ExtremeEvents,260697704.44604743,26.069770444604742
2012,12,Finland,FI,Harvest,1416994750.8706434,141.69947508706434
2012,12,Finland,FI,Fires,28096249.71171743,2.809624971171743
2012,12,Finland,FI,ExtremeEvents,157648222.64532256,15.764822264532256
2013,13,Finland,FI,Harvest,1331283759.7367077,133.12837597367076
2013,13,Finland,FI,Fires,9441513.93547124,0.9441513935471241
2013,13,Finland,FI,ExtremeEvents,153496231.9943873,15.34962319943873
2014,14,Finland,FI,Harvest,1677170547.0094736,167.71705470094736
2014,14,Finland,FI,Fires,11860753.80323247,1.186075380323247
2014,14,Finland,FI,ExtremeEvents,184662771.87885576,18.466277187885577
2015,15,Finland,FI,Harvest,1547551710.1242461,154.75517101242463
2015,15,Finland,FI,Fires,5568397.96108219,0.556839796108219
2015,15,Finland,FI,ExtremeEvents,177106345.96970642,17.710634596970642
2016,16,Finland,FI,Harvest,2163746191.3782725,216.37461913782727
2016,16,Finland,FI,Fires,18021014.408436377,1.8021014408436378
2016,16,Finland,FI,ExtremeEvents,236202755.39291897,23.620275539291896
2017,17,Finland,FI,Harvest,2929078362.047326,292.90783620473263
2017,17,Finland,FI,Fires,24028165.218247715,2.4028165218247715
2017,17,Finland,FI,ExtremeEvents,433074352.54368687,43.307435254368684
2018,18,Finland,FI,Harvest,2396379891.6046977,239.63798916046977
2018,18,Finland,FI,Fires,4585115.634026741,0.45851156340267407
2018,18,Finland,FI,ExtremeEvents,313652588.0835168,31.365258808351676
2019,19,Finland,FI,Harvest,2601704660.1469793,260.1704660146979
2019,19,Finland,FI,Fires,6277644.12146762,0.627764412146762
2019,19,Finland,FI,ExtremeEvents,315974021.9868107,31.597402198681067
2020,20,Finland,FI,Harvest,2310521561.480763,231.0521561480763
2020,20,Finland,FI,Fires,6336205.425720215,0.6336205425720215
2020,20,Finland,FI,ExtremeEvents,243973755.96065083,24.397375596065082
2021,21,Finland,FI,Harvest,2374298834.9865866,237.42988349865865
2021,21,Finland,FI,Fires,7732869.564945116,0.7732869564945116
2021,21,Finland,FI,ExtremeEvents,305144951.37234116,30.514495137234114
2022,22,Finland,FI,Harvest,2269969990.183144,226.9969990183144
2022,22,Finland,FI,Fires,5602550.778101184,0.5602550778101184
2022,22,Finland,FI,ExtremeEvents,306272084.23039657,30.627208423039658
2023,23,Finland,FI,Harvest,2187844042.0706115,218.78440420706116
2023,23,Finland,FI,Fires,4400122.699936811,0.4400122699936811
2023,23,Finland,FI,ExtremeEvents,246829055.2451327,24.68290552451327
2024,24,Finland,FI,Harvest,2138052745.6232762,213.8052745623276
2024,24,Finland,FI,Fires,3962917.677362778,0.39629176773627783
2024,24,Finland,FI,ExtremeEvents,216194546.5602917,21.61945465602917
2025,25,Finland,FI,Harvest,2170341294.531041,217.03412945310413
2025,25,Finland,FI,Fires,5235138.329186174,0.5235138329186174
2025,25,Finland,FI,ExtremeEvents,229946033.23993567,22.994603323993566
