Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Faroe Islands,FO,Harvest,0,0
2011,11,Faroe Islands,FO,Fires,0,0
2011,11,Faroe Islands,FO,ExtremeEvents,0,0
2012,12,Faroe Islands,FO,Harvest,0,0
2012,12,Faroe Islands,FO,Fires,0,0
2012,12,Faroe Islands,FO,ExtremeEvents,0,0
2013,13,Faroe Islands,FO,Harvest,0,0
2013,13,Faroe Islands,FO,Fires,0,0
2013,13,Faroe Islands,FO,ExtremeEvents,0,0
2014,14,Faroe Islands,FO,Harvest,0,0
2014,14,Faroe Islands,FO,Fires,0,0
2014,14,Faroe Islands,FO,ExtremeEvents,0,0
2015,15,Faroe Islands,FO,Harvest,0,0
2015,15,Faroe Islands,FO,Fires,0,0
2015,15,Faroe Islands,FO,ExtremeEvents,0,0
2016,16,Faroe Islands,FO,Harvest,0,0
2016,16,Faroe Islands,FO,Fires,0,0
2016,16,Faroe Islands,FO,ExtremeEvents,0,0
2017,17,Faroe Islands,FO,Harvest,0,0
2017,17,Faroe Islands,FO,Fires,0,0
2017,17,Faroe Islands,FO,ExtremeEvents,0,0
2018,18,Faroe Islands,FO,Harvest,0,0
2018,18,Faroe Islands,FO,Fires,0,0
2018,18,Faroe Islands,FO,ExtremeEvents,0,0
2019,19,Faroe Islands,FO,Harvest,0,0
2019,19,Faroe Islands,FO,Fires,0,0
2019,19,Faroe Islands,FO,ExtremeEvents,0,0
2020,20,Faroe Islands,FO,Harvest,0,0
2020,20,Faroe Islands,FO,Fires,0,0
2020,20,Faroe Islands,FO,ExtremeEvents,0,0
2021,21,Faroe Islands,FO,Harvest,0,0
2021,21,Faroe Islands,FO,Fires,0,0
2021,21,Faroe Islands,FO,ExtremeEvents,0,0
2022,22,Faroe Islands,FO,Harvest,0,0
2022,22,Faroe Islands,FO,Fires,0,0
2022,22,Faroe Islands,FO,ExtremeEvents,0,0
2023,23,Faroe Islands,FO,Harvest,0,0
2023,23,Faroe Islands,FO,Fires,0,0
2023,23,Faroe Islands,FO,ExtremeEvents,0,0
2024,24,Faroe Islands,FO,Harvest,0,0
2024,24,Faroe Islands,FO,Fires,0,0
2024,24,Faroe Islands,FO,ExtremeEvents,0,0
2025,25,Faroe Islands,FO,Harvest,0,0
2025,25,Faroe Islands,FO,Fires,0,0
2025,25,Faroe Islands,FO,ExtremeEvents,0,0
