Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,French Polynesia,FP,Harvest,0,0
2011,11,French Polynesia,FP,Fires,0,0
2011,11,French Polynesia,FP,ExtremeEvents,0,0
2012,12,French Polynesia,FP,Harvest,0,0
2012,12,French Polynesia,FP,Fires,0,0
2012,12,French Polynesia,FP,ExtremeEvents,0,0
2013,13,French Polynesia,FP,Harvest,0,0
2013,13,French Polynesia,FP,Fires,0,0
2013,13,French Polynesia,FP,ExtremeEvents,0,0
2014,14,French Polynesia,FP,Harvest,0,0
2014,14,French Polynesia,FP,Fires,0,0
2014,14,French Polynesia,FP,ExtremeEvents,0,0
2015,15,French Polynesia,FP,Harvest,0,0
2015,15,French Polynesia,FP,Fires,0,0
2015,15,French Polynesia,FP,ExtremeEvents,0,0
2016,16,French Polynesia,FP,Harvest,0,0
2016,16,French Polynesia,FP,Fires,0,0
2016,16,French Polynesia,FP,ExtremeEvents,0,0
2017,17,French Polynesia,FP,Harvest,0,0
2017,17,French Polynesia,FP,Fires,0,0
2017,17,French Polynesia,FP,ExtremeEvents,0,0
2018,18,French Polynesia,FP,Harvest,0,0
2018,18,French Polynesia,FP,Fires,0,0
2018,18,French Polynesia,FP,ExtremeEvents,0,0
2019,19,French Polynesia,FP,Harvest,0,0
2019,19,French Polynesia,FP,Fires,0,0
2019,19,French Polynesia,FP,ExtremeEvents,0,0
2020,20,French Polynesia,FP,Harvest,0,0
2020,20,French Polynesia,FP,Fires,0,0
2020,20,French Polynesia,FP,ExtremeEvents,0,0
2021,21,French Polynesia,FP,Harvest,0,0
2021,21,French Polynesia,FP,Fires,0,0
2021,21,French Polynesia,FP,ExtremeEvents,0,0
2022,22,French Polynesia,FP,Harvest,0,0
2022,22,French Polynesia,FP,Fires,0,0
2022,22,French Polynesia,FP,ExtremeEvents,0,0
2023,23,French Polynesia,FP,Harvest,0,0
2023,23,French Polynesia,FP,Fires,0,0
2023,23,French Polynesia,FP,ExtremeEvents,0,0
2024,24,French Polynesia,FP,Harvest,0,0
2024,24,French Polynesia,FP,Fires,0,0
2024,24,French Polynesia,FP,ExtremeEvents,0,0
2025,25,French Polynesia,FP,Harvest,0,0
2025,25,French Polynesia,FP,Fires,0,0
2025,25,French Polynesia,FP,ExtremeEvents,0,0
