Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,France,FR,Harvest,388418483.7830399,38.84184837830399
2011,11,France,FR,Fires,9104995.386655085,0.9104995386655085
2011,11,France,FR,ExtremeEvents,244253834.81781724,24.425383481781726
2012,12,France,FR,Harvest,457052025.0498313,45.70520250498313
2012,12,France,FR,Fires,19830356.25140309,1.983035625140309
2012,12,France,FR,ExtremeEvents,196257499.2385254,19.62574992385254
2013,13,France,FR,Harvest,245221403.64323872,24.52214036432387
2013,13,France,FR,Fires,2677466.6751098633,0.2677466675109863
2013,13,France,FR,ExtremeEvents,62023405.15519254,6.2023405155192535
2014,14,France,FR,Harvest,356434527.78321856,35.64345277832186
2014,14,France,FR,Fires,6051992.176294664,0.6051992176294664
2014,14,France,FR,ExtremeEvents,88747719.17004395,8.874771917004395
2015,15,France,FR,Harvest,289926899.7863952,28.99268997863952
2015,15,France,FR,Fires,4157023.11340332,0.415702311340332
2015,15,France,FR,ExtremeEvents,86629655.9176528,8.66296559176528
2016,16,France,FR,Harvest,454589930.18640983,45.45899301864098
2016,16,France,FR,Fires,24567709.2504215,2.45677092504215
2016,16,France,FR,ExtremeEvents,147375140.89397523,14.737514089397523
2017,17,France,FR,Harvest,516720043.1417675,51.67200431417675
2017,17,France,FR,Fires,49242551.09142756,4.924255109142756
2017,17,France,FR,ExtremeEvents,144355461.47769657,14.435546147769656
2018,18,France,FR,Harvest,556244713.7794001,55.62447137794001
2018,18,France,FR,Fires,27255877.702397604,2.7255877702397604
2018,18,France,FR,ExtremeEvents,125225532.02375367,12.522553202375367
2019,19,France,FR,Harvest,654384521.3102673,65.43845213102674
2019,19,France,FR,Fires,28582837.09784965,2.8582837097849647
2019,19,France,FR,ExtremeEvents,144673526.27876672,14.467352627876672
2020,20,France,FR,Harvest,637646441.5319362,63.764644153193615
2020,20,France,FR,Fires,25660064.084335502,2.5660064084335503
2020,20,France,FR,ExtremeEvents,127242619.62201788,12.724261962201787
2021,21,France,FR,Harvest,908805440.9911468,90.88054409911469
2021,21,France,FR,Fires,35804830.22006142,3.5804830220061423
2021,21,France,FR,ExtremeEvents,197810998.1164644,19.781099811646442
2022,22,France,FR,Harvest,439554651.76531553,43.955465176531554
2022,22,France,FR,Fires,34893964.79995692,3.489396479995692
2022,22,France,FR,ExtremeEvents,129074960.32712856,12.907496032712857
2023,23,France,FR,Harvest,697312563.9732847,69.73125639732847
2023,23,France,FR,Fires,14909265.588819556,1.4909265588819556
2023,23,France,FR,ExtremeEvents,165097177.25403312,16.509717725403313
2024,24,France,FR,Harvest,694798181.4412147,69.47981814412147
2024,24,France,FR,Fires,11790581.737709671,1.1790581737709671
2024,24,France,FR,ExtremeEvents,95755429.76311705,9.575542976311704
2025,25,France,FR,Harvest,515125113.76414216,51.51251137641422
2025,25,France,FR,Fires,85109359.08592865,8.510935908592865
2025,25,France,FR,ExtremeEvents,133246913.92694092,13.324691392694092
