Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Gabon,GB,Harvest,919005.3251953124,0.09190053251953124
2011,11,Gabon,GB,Fires,1787.94921875,1.78794921875e-4
2011,11,Gabon,GB,ExtremeEvents,0,0
2012,12,Gabon,GB,Harvest,252994.63653564453,0.025299463653564454
2012,12,Gabon,GB,Fires,0,0
2012,12,Gabon,GB,ExtremeEvents,0,0
2013,13,Gabon,GB,Harvest,2529052.6423950195,0.25290526423950194
2013,13,Gabon,GB,Fires,6257.8104248046875,6.257810424804687e-4
2013,13,Gabon,GB,ExtremeEvents,0,0
2014,14,Gabon,GB,Harvest,1892543.2371826174,0.18925432371826173
2014,14,Gabon,GB,Fires,5363.845031738281,5.363845031738281e-4
2014,14,Gabon,GB,ExtremeEvents,0,0
2015,15,Gabon,GB,Harvest,531020.4436645508,0.053102044366455076
2015,15,Gabon,GB,Fires,1787.93603515625,1.78793603515625e-4
2015,15,Gabon,GB,ExtremeEvents,0,0
2016,16,Gabon,GB,Harvest,478275.56884765625,0.04782755688476562
2016,16,Gabon,GB,Fires,893.974365234375,8.93974365234375e-5
2016,16,Gabon,GB,ExtremeEvents,0,0
2017,17,Gabon,GB,Harvest,910064.0853271484,0.09100640853271484
2017,17,Gabon,GB,Fires,1787.9356689453125,1.7879356689453124e-4
2017,17,Gabon,GB,ExtremeEvents,0,0
2018,18,Gabon,GB,Harvest,723224.4739990234,0.07232244739990235
2018,18,Gabon,GB,Fires,0,0
2018,18,Gabon,GB,ExtremeEvents,0,0
2019,19,Gabon,GB,Harvest,714979.2613195083,0.07149792613195083
2019,19,Gabon,GB,Fires,4469.870544433594,4.4698705444335936e-4
2019,19,Gabon,GB,ExtremeEvents,0,0
2020,20,Gabon,GB,Harvest,519399.0729370117,0.051939907293701175
2020,20,Gabon,GB,Fires,0,0
2020,20,Gabon,GB,ExtremeEvents,0,0
2021,21,Gabon,GB,Harvest,274450.10333251953,0.027445010333251953
2021,21,Gabon,GB,Fires,893.9637451171875,8.939637451171875e-5
2021,21,Gabon,GB,ExtremeEvents,0,0
2022,22,Gabon,GB,Harvest,330769.9805908203,0.033076998059082034
2022,22,Gabon,GB,Fires,0,0
2022,22,Gabon,GB,ExtremeEvents,0,0
2023,23,Gabon,GB,Harvest,107276.7352294922,0.01072767352294922
2023,23,Gabon,GB,Fires,0,0
2023,23,Gabon,GB,ExtremeEvents,0,0
2024,24,Gabon,GB,Harvest,309315.0491333008,0.030931504913330077
2024,24,Gabon,GB,Fires,893.9747314453125,8.939747314453126e-5
2024,24,Gabon,GB,ExtremeEvents,0,0
2025,25,Gabon,GB,Harvest,122474.41772460938,0.012247441772460937
2025,25,Gabon,GB,Fires,0,0
2025,25,Gabon,GB,ExtremeEvents,0,0
