Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Georgia,GG,Harvest,3288773.505464921,0.3288773505464921
2011,11,Georgia,GG,Fires,1609915.5462036133,0.16099155462036133
2011,11,Georgia,GG,ExtremeEvents,0,0
2012,12,Georgia,GG,Harvest,3952586.065973738,0.39525860659737383
2012,12,Georgia,GG,Fires,283650.0378417969,0.028365003784179686
2012,12,Georgia,GG,ExtremeEvents,0,0
2013,13,Georgia,GG,Harvest,2186907.2005004883,0.21869072005004883
2013,13,Georgia,GG,Fires,92627.0181274414,0.009262701812744141
2013,13,Georgia,GG,ExtremeEvents,0,0
2014,14,Georgia,GG,Harvest,877266.0878906251,0.08772660878906251
2014,14,Georgia,GG,Fires,118872.39099121094,0.011887239099121094
2014,14,Georgia,GG,ExtremeEvents,0,0
2015,15,Georgia,GG,Harvest,408447.3385620118,0.04084473385620118
2015,15,Georgia,GG,Fires,2671.1853637695312,2.671185363769531e-4
2015,15,Georgia,GG,ExtremeEvents,0,0
2016,16,Georgia,GG,Harvest,4548991.81837948,0.45489918183794803
2016,16,Georgia,GG,Fires,329701.64294433594,0.03297016429443359
2016,16,Georgia,GG,ExtremeEvents,0,0
2017,17,Georgia,GG,Harvest,1401745.6566803576,0.14017456566803577
2017,17,Georgia,GG,Fires,464813.84338378906,0.04648138433837891
2017,17,Georgia,GG,ExtremeEvents,0,0
2018,18,Georgia,GG,Harvest,2016959.1700439453,0.20169591700439454
2018,18,Georgia,GG,Fires,829665.8682250977,0.08296658682250976
2018,18,Georgia,GG,ExtremeEvents,0,0
2019,19,Georgia,GG,Harvest,1558074.3533935547,0.15580743533935548
2019,19,Georgia,GG,Fires,13858.273803710938,0.0013858273803710938
2019,19,Georgia,GG,ExtremeEvents,0,0
2020,20,Georgia,GG,Harvest,2007577.2947387695,0.20075772947387696
2020,20,Georgia,GG,Fires,132200.19317626953,0.013220019317626954
2020,20,Georgia,GG,ExtremeEvents,0,0
2021,21,Georgia,GG,Harvest,3881386.5863647456,0.38813865863647457
2021,21,Georgia,GG,Fires,268559.8172607422,0.02685598172607422
2021,21,Georgia,GG,ExtremeEvents,0,0
2022,22,Georgia,GG,Harvest,2603900.857921645,0.2603900857921645
2022,22,Georgia,GG,Fires,168890.89086914062,0.016889089086914062
2022,22,Georgia,GG,ExtremeEvents,0,0
2023,23,Georgia,GG,Harvest,4529344.279528091,0.4529344279528091
2023,23,Georgia,GG,Fires,3028551.9188842773,0.30285519188842774
2023,23,Georgia,GG,ExtremeEvents,0,0
2024,24,Georgia,GG,Harvest,4477510.257667452,0.4477510257667452
2024,24,Georgia,GG,Fires,238119.14935302737,0.023811914935302738
2024,24,Georgia,GG,ExtremeEvents,0,0
2025,25,Georgia,GG,Harvest,5064223.677721929,0.5064223677721928
2025,25,Georgia,GG,Fires,68218.787841796875,0.006821878784179687
2025,25,Georgia,GG,ExtremeEvents,0,0
