Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Gibraltar,GI,Harvest,0,0
2011,11,Gibraltar,GI,Fires,0,0
2011,11,Gibraltar,GI,ExtremeEvents,0,0
2012,12,Gibraltar,GI,Harvest,0,0
2012,12,Gibraltar,GI,Fires,0,0
2012,12,Gibraltar,GI,ExtremeEvents,0,0
2013,13,Gibraltar,GI,Harvest,0,0
2013,13,Gibraltar,GI,Fires,0,0
2013,13,Gibraltar,GI,ExtremeEvents,0,0
2014,14,Gibraltar,GI,Harvest,0,0
2014,14,Gibraltar,GI,Fires,0,0
2014,14,Gibraltar,GI,ExtremeEvents,0,0
2015,15,Gibraltar,GI,Harvest,0,0
2015,15,Gibraltar,GI,Fires,0,0
2015,15,Gibraltar,GI,ExtremeEvents,0,0
2016,16,Gibraltar,GI,Harvest,0,0
2016,16,Gibraltar,GI,Fires,0,0
2016,16,Gibraltar,GI,ExtremeEvents,0,0
2017,17,Gibraltar,GI,Harvest,0,0
2017,17,Gibraltar,GI,Fires,0,0
2017,17,Gibraltar,GI,ExtremeEvents,0,0
2018,18,Gibraltar,GI,Harvest,0,0
2018,18,Gibraltar,GI,Fires,0,0
2018,18,Gibraltar,GI,ExtremeEvents,0,0
2019,19,Gibraltar,GI,Harvest,0,0
2019,19,Gibraltar,GI,Fires,0,0
2019,19,Gibraltar,GI,ExtremeEvents,0,0
2020,20,Gibraltar,GI,Harvest,0,0
2020,20,Gibraltar,GI,Fires,0,0
2020,20,Gibraltar,GI,ExtremeEvents,0,0
2021,21,Gibraltar,GI,Harvest,0,0
2021,21,Gibraltar,GI,Fires,0,0
2021,21,Gibraltar,GI,ExtremeEvents,0,0
2022,22,Gibraltar,GI,Harvest,0,0
2022,22,Gibraltar,GI,Fires,0,0
2022,22,Gibraltar,GI,ExtremeEvents,0,0
2023,23,Gibraltar,GI,Harvest,0,0
2023,23,Gibraltar,GI,Fires,0,0
2023,23,Gibraltar,GI,ExtremeEvents,0,0
2024,24,Gibraltar,GI,Harvest,0,0
2024,24,Gibraltar,GI,Fires,0,0
2024,24,Gibraltar,GI,ExtremeEvents,0,0
2025,25,Gibraltar,GI,Harvest,0,0
2025,25,Gibraltar,GI,Fires,0,0
2025,25,Gibraltar,GI,ExtremeEvents,0,0
