Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Grenada,GJ,Harvest,0,0
2011,11,Grenada,GJ,Fires,0,0
2011,11,Grenada,GJ,ExtremeEvents,0,0
2012,12,Grenada,GJ,Harvest,0,0
2012,12,Grenada,GJ,Fires,0,0
2012,12,Grenada,GJ,ExtremeEvents,0,0
2013,13,Grenada,GJ,Harvest,0,0
2013,13,Grenada,GJ,Fires,0,0
2013,13,Grenada,GJ,ExtremeEvents,0,0
2014,14,Grenada,GJ,Harvest,0,0
2014,14,Grenada,GJ,Fires,0,0
2014,14,Grenada,GJ,ExtremeEvents,0,0
2015,15,Grenada,GJ,Harvest,0,0
2015,15,Grenada,GJ,Fires,0,0
2015,15,Grenada,GJ,ExtremeEvents,0,0
2016,16,Grenada,GJ,Harvest,0,0
2016,16,Grenada,GJ,Fires,0,0
2016,16,Grenada,GJ,ExtremeEvents,0,0
2017,17,Grenada,GJ,Harvest,0,0
2017,17,Grenada,GJ,Fires,0,0
2017,17,Grenada,GJ,ExtremeEvents,0,0
2018,18,Grenada,GJ,Harvest,0,0
2018,18,Grenada,GJ,Fires,0,0
2018,18,Grenada,GJ,ExtremeEvents,0,0
2019,19,Grenada,GJ,Harvest,0,0
2019,19,Grenada,GJ,Fires,0,0
2019,19,Grenada,GJ,ExtremeEvents,0,0
2020,20,Grenada,GJ,Harvest,0,0
2020,20,Grenada,GJ,Fires,0,0
2020,20,Grenada,GJ,ExtremeEvents,0,0
2021,21,Grenada,GJ,Harvest,0,0
2021,21,Grenada,GJ,Fires,0,0
2021,21,Grenada,GJ,ExtremeEvents,0,0
2022,22,Grenada,GJ,Harvest,0,0
2022,22,Grenada,GJ,Fires,0,0
2022,22,Grenada,GJ,ExtremeEvents,0,0
2023,23,Grenada,GJ,Harvest,0,0
2023,23,Grenada,GJ,Fires,0,0
2023,23,Grenada,GJ,ExtremeEvents,0,0
2024,24,Grenada,GJ,Harvest,0,0
2024,24,Grenada,GJ,Fires,0,0
2024,24,Grenada,GJ,ExtremeEvents,0,0
2025,25,Grenada,GJ,Harvest,0,0
2025,25,Grenada,GJ,Fires,0,0
2025,25,Grenada,GJ,ExtremeEvents,0,0
