Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Germany,GM,Harvest,255699565.35578483,25.569956535578484
2011,11,Germany,GM,Fires,2297134.3593718885,0.22971343593718885
2011,11,Germany,GM,ExtremeEvents,78918141.4729083,7.89181414729083
2012,12,Germany,GM,Harvest,188547813.88718003,18.854781388718003
2012,12,Germany,GM,Fires,3509193.154111615,0.3509193154111615
2012,12,Germany,GM,ExtremeEvents,62284180.24778192,6.2284180247781915
2013,13,Germany,GM,Harvest,112310912.4438996,11.23109124438996
2013,13,Germany,GM,Fires,1166778.3163452148,0.11667783163452149
2013,13,Germany,GM,ExtremeEvents,35433734.24794204,3.5433734247942037
2014,14,Germany,GM,Harvest,151376176.8682552,15.13761768682552
2014,14,Germany,GM,Fires,762244.62841796875,0.07622446284179688
2014,14,Germany,GM,ExtremeEvents,51290502.71186595,5.129050271186594
2015,15,Germany,GM,Harvest,97586557.89717779,9.758655789717778
2015,15,Germany,GM,Fires,51731.307556152344,0.005173130755615234
2015,15,Germany,GM,ExtremeEvents,28565943.48203388,2.8565943482033878
2016,16,Germany,GM,Harvest,199881272.01852468,19.988127201852468
2016,16,Germany,GM,Fires,739962.2723388672,0.07399622723388671
2016,16,Germany,GM,ExtremeEvents,60144447.8799886,6.01444478799886
2017,17,Germany,GM,Harvest,239237273.89127922,23.923727389127922
2017,17,Germany,GM,Fires,1255210.1920166016,0.12552101920166014
2017,17,Germany,GM,ExtremeEvents,79697395.54968621,7.969739554968621
2018,18,Germany,GM,Harvest,275168109.8264464,27.516810982644643
2018,18,Germany,GM,Fires,439965.5687866211,0.04399655687866211
2018,18,Germany,GM,ExtremeEvents,235047384.97338745,23.504738497338746
2019,19,Germany,GM,Harvest,484380363.4125054,48.43803634125054
2019,19,Germany,GM,Fires,6931144.94443096,0.693114494443096
2019,19,Germany,GM,ExtremeEvents,570584638.4252049,57.05846384252049
2020,20,Germany,GM,Harvest,592432544.158953,59.243254415895294
2020,20,Germany,GM,Fires,3696795.043884278,0.3696795043884278
2020,20,Germany,GM,ExtremeEvents,1251416557.0253117,125.14165570253117
2021,21,Germany,GM,Harvest,467519242.960382,46.7519242960382
2021,21,Germany,GM,Fires,1683081.2164646524,0.16830812164646525
2021,21,Germany,GM,ExtremeEvents,1530285268.8972044,153.02852688972044
2022,22,Germany,GM,Harvest,332656915.5044404,33.26569155044404
2022,22,Germany,GM,Fires,541949.0651245117,0.05419490651245117
2022,22,Germany,GM,ExtremeEvents,516350066.98589504,51.63500669858951
2023,23,Germany,GM,Harvest,448165983.74528515,44.81659837452852
2023,23,Germany,GM,Fires,1259658.1444702148,0.12596581444702148
2023,23,Germany,GM,ExtremeEvents,760392293.1525437,76.03922931525436
2024,24,Germany,GM,Harvest,471675809.7276326,47.16758097276326
2024,24,Germany,GM,Fires,1106644.1009521484,0.11066441009521484
2024,24,Germany,GM,ExtremeEvents,410069933.4103425,41.00699334103425
2025,25,Germany,GM,Harvest,414123093.5474176,41.41230935474176
2025,25,Germany,GM,Fires,4001799.296388155,0.4001799296388155
2025,25,Germany,GM,ExtremeEvents,129371502.45325236,12.937150245325236
