Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Guam,GQ,Harvest,0,0
2011,11,Guam,GQ,Fires,0,0
2011,11,Guam,GQ,ExtremeEvents,0,0
2012,12,Guam,GQ,Harvest,0,0
2012,12,Guam,GQ,Fires,0,0
2012,12,Guam,GQ,ExtremeEvents,0,0
2013,13,Guam,GQ,Harvest,0,0
2013,13,Guam,GQ,Fires,0,0
2013,13,Guam,GQ,ExtremeEvents,0,0
2014,14,Guam,GQ,Harvest,0,0
2014,14,Guam,GQ,Fires,0,0
2014,14,Guam,GQ,ExtremeEvents,0,0
2015,15,Guam,GQ,Harvest,0,0
2015,15,Guam,GQ,Fires,0,0
2015,15,Guam,GQ,ExtremeEvents,0,0
2016,16,Guam,GQ,Harvest,0,0
2016,16,Guam,GQ,Fires,0,0
2016,16,Guam,GQ,ExtremeEvents,0,0
2017,17,Guam,GQ,Harvest,0,0
2017,17,Guam,GQ,Fires,0,0
2017,17,Guam,GQ,ExtremeEvents,0,0
2018,18,Guam,GQ,Harvest,0,0
2018,18,Guam,GQ,Fires,0,0
2018,18,Guam,GQ,ExtremeEvents,0,0
2019,19,Guam,GQ,Harvest,0,0
2019,19,Guam,GQ,Fires,0,0
2019,19,Guam,GQ,ExtremeEvents,0,0
2020,20,Guam,GQ,Harvest,0,0
2020,20,Guam,GQ,Fires,0,0
2020,20,Guam,GQ,ExtremeEvents,0,0
2021,21,Guam,GQ,Harvest,0,0
2021,21,Guam,GQ,Fires,0,0
2021,21,Guam,GQ,ExtremeEvents,0,0
2022,22,Guam,GQ,Harvest,0,0
2022,22,Guam,GQ,Fires,0,0
2022,22,Guam,GQ,ExtremeEvents,0,0
2023,23,Guam,GQ,Harvest,0,0
2023,23,Guam,GQ,Fires,0,0
2023,23,Guam,GQ,ExtremeEvents,0,0
2024,24,Guam,GQ,Harvest,0,0
2024,24,Guam,GQ,Fires,0,0
2024,24,Guam,GQ,ExtremeEvents,0,0
2025,25,Guam,GQ,Harvest,0,0
2025,25,Guam,GQ,Fires,0,0
2025,25,Guam,GQ,ExtremeEvents,0,0
