Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Greece,GR,Harvest,37569101.31183724,3.7569101311837243
2011,11,Greece,GR,Fires,18450164.64294864,1.8450164642948639
2011,11,Greece,GR,ExtremeEvents,6347308.389766917,0.6347308389766917
2012,12,Greece,GR,Harvest,46372917.348702714,4.637291734870272
2012,12,Greece,GR,Fires,45892760.79541829,4.589276079541829
2012,12,Greece,GR,ExtremeEvents,43573780.180447206,4.357378018044721
2013,13,Greece,GR,Harvest,18047974.63097738,1.8047974630977381
2013,13,Greece,GR,Fires,44933561.56610921,4.493356156610921
2013,13,Greece,GR,ExtremeEvents,10964095.122759651,1.0964095122759652
2014,14,Greece,GR,Harvest,27890936.555070944,2.789093655507094
2014,14,Greece,GR,Fires,15371750.22068613,1.5371750220686131
2014,14,Greece,GR,ExtremeEvents,620550.5438842773,0.06205505438842773
2015,15,Greece,GR,Harvest,23454615.035904475,2.3454615035904474
2015,15,Greece,GR,Fires,18575000.4838276,1.85750004838276
2015,15,Greece,GR,ExtremeEvents,611472.7145996094,0.06114727145996094
2016,16,Greece,GR,Harvest,29709296.13942703,2.970929613942703
2016,16,Greece,GR,Fires,37190545.843666226,3.7190545843666225
2016,16,Greece,GR,ExtremeEvents,4559478.440344477,0.4559478440344477
2017,17,Greece,GR,Harvest,37115814.99208216,3.7115814992082163
2017,17,Greece,GR,Fires,54323950.93851343,5.432395093851343
2017,17,Greece,GR,ExtremeEvents,17362865.215756405,1.7362865215756405
2018,18,Greece,GR,Harvest,40004291.9375038,4.00042919375038
2018,18,Greece,GR,Fires,21026875.87389562,2.102687587389562
2018,18,Greece,GR,ExtremeEvents,23053238.58760723,2.305323858760723
2019,19,Greece,GR,Harvest,45464574.89774674,4.546457489774674
2019,19,Greece,GR,Fires,35884399.36503331,3.5884399365033315
2019,19,Greece,GR,ExtremeEvents,7069733.030395508,0.7069733030395507
2020,20,Greece,GR,Harvest,35609478.74059102,3.560947874059102
2020,20,Greece,GR,Fires,24675626.487714224,2.4675626487714224
2020,20,Greece,GR,ExtremeEvents,1165771.819519043,0.1165771819519043
2021,21,Greece,GR,Harvest,36742845.64945832,3.674284564945832
2021,21,Greece,GR,Fires,244306132.58368137,24.430613258368137
2021,21,Greece,GR,ExtremeEvents,263755027.75774357,26.375502775774358
2022,22,Greece,GR,Harvest,39996913.28958812,3.9996913289588125
2022,22,Greece,GR,Fires,32223319.609617703,3.22233196096177
2022,22,Greece,GR,ExtremeEvents,43585521.0991199,4.35855210991199
2023,23,Greece,GR,Harvest,59606820.96112585,5.960682096112585
2023,23,Greece,GR,Fires,166166276.76999897,16.616627676999897
2023,23,Greece,GR,ExtremeEvents,330487572.6887942,33.04875726887942
2024,24,Greece,GR,Harvest,47434401.501125686,4.743440150112568
2024,24,Greece,GR,Fires,41728169.923961446,4.172816992396145
2024,24,Greece,GR,ExtremeEvents,63147207.51109811,6.314720751109811
2025,25,Greece,GR,Harvest,49669396.97930405,4.966939697930405
2025,25,Greece,GR,Fires,69583892.6254598,6.958389262545981
2025,25,Greece,GR,ExtremeEvents,15970761.08854813,1.5970761088548129
