Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Guatemala,GT,Harvest,38063533.64598197,3.8063533645981966
2011,11,Guatemala,GT,Fires,3071203.3408203125,0.30712033408203127
2011,11,Guatemala,GT,ExtremeEvents,7220678.580192536,0.7220678580192537
2012,12,Guatemala,GT,Harvest,49387413.766363166,4.938741376636317
2012,12,Guatemala,GT,Fires,5520194.317321777,0.5520194317321777
2012,12,Guatemala,GT,ExtremeEvents,32312281.534150727,3.231228153415073
2013,13,Guatemala,GT,Harvest,32167525.666779403,3.21675256667794
2013,13,Guatemala,GT,Fires,1074299.264831543,0.1074299264831543
2013,13,Guatemala,GT,ExtremeEvents,13054991.781963993,1.3054991781963994
2014,14,Guatemala,GT,Harvest,35652078.64069776,3.565207864069776
2014,14,Guatemala,GT,Fires,907107.6326904296,0.09071076326904295
2014,14,Guatemala,GT,ExtremeEvents,12995826.603848329,1.2995826603848328
2015,15,Guatemala,GT,Harvest,38279294.088684805,3.8279294088684805
2015,15,Guatemala,GT,Fires,750858.0242249732,0.07508580242249732
2015,15,Guatemala,GT,ExtremeEvents,15669826.783932911,1.5669826783932912
2016,16,Guatemala,GT,Harvest,80832567.15517029,8.08325671551703
2016,16,Guatemala,GT,Fires,25972841.70374014,2.5972841703740137
2016,16,Guatemala,GT,ExtremeEvents,41270684.70239808,4.1270684702398075
2017,17,Guatemala,GT,Harvest,53669535.86391458,5.366953586391458
2017,17,Guatemala,GT,Fires,5206696.374938965,0.5206696374938965
2017,17,Guatemala,GT,ExtremeEvents,16307612.715855498,1.6307612715855497
2018,18,Guatemala,GT,Harvest,36612968.63560863,3.661296863560863
2018,18,Guatemala,GT,Fires,4076123.0959534887,0.4076123095953489
2018,18,Guatemala,GT,ExtremeEvents,13148420.243998207,1.3148420243998207
2019,19,Guatemala,GT,Harvest,48971625.645375215,4.897162564537521
2019,19,Guatemala,GT,Fires,10785687.82676595,1.078568782676595
2019,19,Guatemala,GT,ExtremeEvents,17721372.00099332,1.7721372000993318
2020,20,Guatemala,GT,Harvest,37960228.61052079,3.7960228610520788
2020,20,Guatemala,GT,Fires,16783424.468832098,1.6783424468832098
2020,20,Guatemala,GT,ExtremeEvents,15274409.42956543,1.527440942956543
2021,21,Guatemala,GT,Harvest,34246217.726405,3.4246217726405
2021,21,Guatemala,GT,Fires,2565041.733186131,0.2565041733186131
2021,21,Guatemala,GT,ExtremeEvents,14862890.618286133,1.4862890618286133
2022,22,Guatemala,GT,Harvest,24673940.91892928,2.467394091892928
2022,22,Guatemala,GT,Fires,1800081.281677246,0.1800081281677246
2022,22,Guatemala,GT,ExtremeEvents,9466717.340270996,0.9466717340270996
2023,23,Guatemala,GT,Harvest,33796905.11035802,3.379690511035802
2023,23,Guatemala,GT,Fires,6761052.505738501,0.6761052505738502
2023,23,Guatemala,GT,ExtremeEvents,12096624.225830078,1.2096624225830077
2024,24,Guatemala,GT,Harvest,36498320.45440507,3.649832045440507
2024,24,Guatemala,GT,Fires,58992347.21787038,5.899234721787038
2024,24,Guatemala,GT,ExtremeEvents,32703196.491210938,3.270319649121094
2025,25,Guatemala,GT,Harvest,26510225.46611471,2.651022546611471
2025,25,Guatemala,GT,Fires,4021219.498114612,0.4021219498114612
2025,25,Guatemala,GT,ExtremeEvents,17306451.738900457,1.7306451738900457
