Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Guinea,GV,Harvest,178944.7413330078,0.01789447413330078
2011,11,Guinea,GV,Fires,882.35791015625,8.8235791015625e-5
2011,11,Guinea,GV,ExtremeEvents,0,0
2012,12,Guinea,GV,Harvest,211633.79669189453,0.021163379669189453
2012,12,Guinea,GV,Fires,0,0
2012,12,Guinea,GV,ExtremeEvents,0,0
2013,13,Guinea,GV,Harvest,592654.3116160673,0.05926543116160673
2013,13,Guinea,GV,Fires,0,0
2013,13,Guinea,GV,ExtremeEvents,0,0
2014,14,Guinea,GV,Harvest,426250.907409668,0.0426250907409668
2014,14,Guinea,GV,Fires,0,0
2014,14,Guinea,GV,ExtremeEvents,0,0
2015,15,Guinea,GV,Harvest,667631.0830276789,0.0667631083027679
2015,15,Guinea,GV,Fires,883.03094482421875,8.830309448242187e-5
2015,15,Guinea,GV,ExtremeEvents,0,0
2016,16,Guinea,GV,Harvest,372787.0743865368,0.03727870743865368
2016,16,Guinea,GV,Fires,0,0
2016,16,Guinea,GV,ExtremeEvents,0,0
2017,17,Guinea,GV,Harvest,381590.7642211914,0.03815907642211914
2017,17,Guinea,GV,Fires,0,0
2017,17,Guinea,GV,ExtremeEvents,0,0
2018,18,Guinea,GV,Harvest,213518.87390256397,0.021351887390256397
2018,18,Guinea,GV,Fires,0,0
2018,18,Guinea,GV,ExtremeEvents,0,0
2019,19,Guinea,GV,Harvest,265349.414113961,0.026534941411396097
2019,19,Guinea,GV,Fires,0,0
2019,19,Guinea,GV,ExtremeEvents,0,0
2020,20,Guinea,GV,Harvest,446940.45263671875,0.04469404526367188
2020,20,Guinea,GV,Fires,882.95184326171875,8.829518432617187e-5
2020,20,Guinea,GV,ExtremeEvents,0,0
2021,21,Guinea,GV,Harvest,581295.5620239258,0.05812955620239258
2021,21,Guinea,GV,Fires,2647.1403198242188,2.6471403198242185e-4
2021,21,Guinea,GV,ExtremeEvents,0,0
2022,22,Guinea,GV,Harvest,338493.9807739258,0.03384939807739258
2022,22,Guinea,GV,Fires,0,0
2022,22,Guinea,GV,ExtremeEvents,0,0
2023,23,Guinea,GV,Harvest,447541.1294555664,0.04475411294555664
2023,23,Guinea,GV,Fires,0,0
2023,23,Guinea,GV,ExtremeEvents,0,0
2024,24,Guinea,GV,Harvest,298282.818359375,0.0298282818359375
2024,24,Guinea,GV,Fires,0,0
2024,24,Guinea,GV,ExtremeEvents,0,0
2025,25,Guinea,GV,Harvest,245231.79791259769,0.02452317979125977
2025,25,Guinea,GV,Fires,0,0
2025,25,Guinea,GV,ExtremeEvents,0,0
