Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Haiti,HA,Harvest,121927.00952148438,0.012192700952148437
2011,11,Haiti,HA,Fires,0,0
2011,11,Haiti,HA,ExtremeEvents,0,0
2012,12,Haiti,HA,Harvest,144813.72283935547,0.014481372283935546
2012,12,Haiti,HA,Fires,846.48004150390625,8.464800415039062e-5
2012,12,Haiti,HA,ExtremeEvents,0,0
2013,13,Haiti,HA,Harvest,18631.39093017578,0.0018631390930175782
2013,13,Haiti,HA,Fires,0,0
2013,13,Haiti,HA,ExtremeEvents,0,0
2014,14,Haiti,HA,Harvest,48271.68670654297,0.004827168670654297
2014,14,Haiti,HA,Fires,846.816650390625,8.46816650390625e-5
2014,14,Haiti,HA,ExtremeEvents,0,0
2015,15,Haiti,HA,Harvest,6774.041076660156,6.774041076660156e-4
2015,15,Haiti,HA,Fires,0,0
2015,15,Haiti,HA,ExtremeEvents,0,0
2016,16,Haiti,HA,Harvest,204943.58264160156,0.020494358264160156
2016,16,Haiti,HA,Fires,4234.587097167969,4.2345870971679687e-4
2016,16,Haiti,HA,ExtremeEvents,0,0
2017,17,Haiti,HA,Harvest,320073.4647216797,0.03200734647216797
2017,17,Haiti,HA,Fires,5080.025451660156,5.080025451660156e-4
2017,17,Haiti,HA,ExtremeEvents,0,0
2018,18,Haiti,HA,Harvest,32176.22381591797,0.003217622381591797
2018,18,Haiti,HA,Fires,0,0
2018,18,Haiti,HA,ExtremeEvents,0,0
2019,19,Haiti,HA,Harvest,34714.504333496094,0.0034714504333496093
2019,19,Haiti,HA,Fires,0,0
2019,19,Haiti,HA,ExtremeEvents,0,0
2020,20,Haiti,HA,Harvest,92315.46453857422,0.009231546453857422
2020,20,Haiti,HA,Fires,0,0
2020,20,Haiti,HA,ExtremeEvents,0,0
2021,21,Haiti,HA,Harvest,72836.76208496094,0.007283676208496094
2021,21,Haiti,HA,Fires,1694.5098876953125,1.6945098876953126e-4
2021,21,Haiti,HA,ExtremeEvents,0,0
2022,22,Haiti,HA,Harvest,26255.982177734375,0.0026255982177734376
2022,22,Haiti,HA,Fires,0,0
2022,22,Haiti,HA,ExtremeEvents,0,0
2023,23,Haiti,HA,Harvest,53346.94909667969,0.005334694909667969
2023,23,Haiti,HA,Fires,0,0
2023,23,Haiti,HA,ExtremeEvents,0,0
2024,24,Haiti,HA,Harvest,191414.03033447266,0.019141403033447267
2024,24,Haiti,HA,Fires,4233.976989746094,4.2339769897460936e-4
2024,24,Haiti,HA,ExtremeEvents,0,0
2025,25,Haiti,HA,Harvest,40656.99853515625,0.004065699853515625
2025,25,Haiti,HA,Fires,3388.480529785156,3.3884805297851556e-4
2025,25,Haiti,HA,ExtremeEvents,0,0
