Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Iceland,IC,Harvest,0,0
2011,11,Iceland,IC,Fires,0,0
2011,11,Iceland,IC,ExtremeEvents,0,0
2012,12,Iceland,IC,Harvest,0,0
2012,12,Iceland,IC,Fires,0,0
2012,12,Iceland,IC,ExtremeEvents,0,0
2013,13,Iceland,IC,Harvest,0,0
2013,13,Iceland,IC,Fires,0,0
2013,13,Iceland,IC,ExtremeEvents,0,0
2014,14,Iceland,IC,Harvest,0,0
2014,14,Iceland,IC,Fires,0,0
2014,14,Iceland,IC,ExtremeEvents,0,0
2015,15,Iceland,IC,Harvest,0,0
2015,15,Iceland,IC,Fires,0,0
2015,15,Iceland,IC,ExtremeEvents,0,0
2016,16,Iceland,IC,Harvest,0,0
2016,16,Iceland,IC,Fires,0,0
2016,16,Iceland,IC,ExtremeEvents,0,0
2017,17,Iceland,IC,Harvest,0,0
2017,17,Iceland,IC,Fires,0,0
2017,17,Iceland,IC,ExtremeEvents,0,0
2018,18,Iceland,IC,Harvest,0,0
2018,18,Iceland,IC,Fires,0,0
2018,18,Iceland,IC,ExtremeEvents,0,0
2019,19,Iceland,IC,Harvest,0,0
2019,19,Iceland,IC,Fires,0,0
2019,19,Iceland,IC,ExtremeEvents,0,0
2020,20,Iceland,IC,Harvest,0,0
2020,20,Iceland,IC,Fires,0,0
2020,20,Iceland,IC,ExtremeEvents,0,0
2021,21,Iceland,IC,Harvest,0,0
2021,21,Iceland,IC,Fires,0,0
2021,21,Iceland,IC,ExtremeEvents,0,0
2022,22,Iceland,IC,Harvest,0,0
2022,22,Iceland,IC,Fires,0,0
2022,22,Iceland,IC,ExtremeEvents,0,0
2023,23,Iceland,IC,Harvest,0,0
2023,23,Iceland,IC,Fires,0,0
2023,23,Iceland,IC,ExtremeEvents,0,0
2024,24,Iceland,IC,Harvest,0,0
2024,24,Iceland,IC,Fires,0,0
2024,24,Iceland,IC,ExtremeEvents,0,0
2025,25,Iceland,IC,Harvest,0,0
2025,25,Iceland,IC,Fires,0,0
2025,25,Iceland,IC,ExtremeEvents,0,0
