Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Indonesia,ID,Harvest,411412963.06332773,41.14129630633277
2011,11,Indonesia,ID,Fires,8873168.285292681,0.8873168285292681
2011,11,Indonesia,ID,ExtremeEvents,147438197.32842535,14.743819732842535
2012,12,Indonesia,ID,Harvest,559960363.166429,55.99603631664291
2012,12,Indonesia,ID,Fires,15082404.497962862,1.5082404497962862
2012,12,Indonesia,ID,ExtremeEvents,289491944.1698349,28.94919441698349
2013,13,Indonesia,ID,Harvest,301916117.76158506,30.191611776158506
2013,13,Indonesia,ID,Fires,5623508.467906757,0.5623508467906757
2013,13,Indonesia,ID,ExtremeEvents,97890894.43377638,9.789089443377637
2014,14,Indonesia,ID,Harvest,583741985.1134201,58.374198511342016
2014,14,Indonesia,ID,Fires,29271470.01285736,2.9271470012857357
2014,14,Indonesia,ID,ExtremeEvents,204725009.02906084,20.472500902906084
2015,15,Indonesia,ID,Harvest,500716466.60941005,50.071646660941006
2015,15,Indonesia,ID,Fires,29406470.8649067,2.94064708649067
2015,15,Indonesia,ID,ExtremeEvents,182607027.05968285,18.260702705968285
2016,16,Indonesia,ID,Harvest,615550466.7302475,61.55504667302475
2016,16,Indonesia,ID,Fires,48578294.57792657,4.857829457792657
2016,16,Indonesia,ID,ExtremeEvents,274136143.70924646,27.413614370924645
2017,17,Indonesia,ID,Harvest,518838251.35467446,51.88382513546745
2017,17,Indonesia,ID,Fires,12626881.34741235,1.2626881347412349
2017,17,Indonesia,ID,ExtremeEvents,151534921.16262376,15.153492116262376
2018,18,Indonesia,ID,Harvest,536493094.9696695,53.64930949696695
2018,18,Indonesia,ID,Fires,14275123.81121156,1.427512381121156
2018,18,Indonesia,ID,ExtremeEvents,176545286.35826367,17.654528635826367
2019,19,Indonesia,ID,Harvest,471048394.3260834,47.104839432608344
2019,19,Indonesia,ID,Fires,28707073.989727903,2.8707073989727903
2019,19,Indonesia,ID,ExtremeEvents,210110319.24152496,21.011031924152498
2020,20,Indonesia,ID,Harvest,408945463.9547978,40.89454639547978
2020,20,Indonesia,ID,Fires,14648704.545503024,1.4648704545503024
2020,20,Indonesia,ID,ExtremeEvents,176586263.19169205,17.658626319169205
2021,21,Indonesia,ID,Harvest,378103832.3855442,37.810383238554415
2021,21,Indonesia,ID,Fires,8777070.804566149,0.8777070804566148
2021,21,Indonesia,ID,ExtremeEvents,93888111.83611368,9.388811183611368
2022,22,Indonesia,ID,Harvest,359938964.0293006,35.993896402930055
2022,22,Indonesia,ID,Fires,8741394.145589912,0.8741394145589912
2022,22,Indonesia,ID,ExtremeEvents,147635404.8157686,14.76354048157686
2023,23,Indonesia,ID,Harvest,564198788.2983913,56.419878829839135
2023,23,Indonesia,ID,Fires,19902154.665882062,1.9902154665882061
2023,23,Indonesia,ID,ExtremeEvents,274467230.94054264,27.446723094054263
2024,24,Indonesia,ID,Harvest,471123767.82509184,47.11237678250918
2024,24,Indonesia,ID,Fires,14375975.849294383,1.4375975849294382
2024,24,Indonesia,ID,ExtremeEvents,172798279.62911665,17.279827962911664
2025,25,Indonesia,ID,Harvest,478955657.8191245,47.89556578191245
2025,25,Indonesia,ID,Fires,12336096.117652562,1.2336096117652562
2025,25,Indonesia,ID,ExtremeEvents,159292565.16600388,15.929256516600388
