Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Isle of Man,IM,Harvest,97677.165283203125,0.009767716528320312
2011,11,Isle of Man,IM,Fires,18997.473388671875,0.0018997473388671876
2011,11,Isle of Man,IM,ExtremeEvents,0,0
2012,12,Isle of Man,IM,Harvest,254617.2625732422,0.025461726257324218
2012,12,Isle of Man,IM,Fires,44830.54211425781,0.004483054211425782
2012,12,Isle of Man,IM,ExtremeEvents,0,0
2013,13,Isle of Man,IM,Harvest,122297.93817138672,0.012229793817138672
2013,13,Isle of Man,IM,Fires,27949.058715820312,0.0027949058715820312
2013,13,Isle of Man,IM,ExtremeEvents,0,0
2014,14,Isle of Man,IM,Harvest,354927.89251708984,0.035492789251708984
2014,14,Isle of Man,IM,Fires,24291.83532714844,0.002429183532714844
2014,14,Isle of Man,IM,ExtremeEvents,0,0
2015,15,Isle of Man,IM,Harvest,102821.9447631836,0.01028219447631836
2015,15,Isle of Man,IM,Fires,2109.9234619140625,2.1099234619140626e-4
2015,15,Isle of Man,IM,ExtremeEvents,0,0
2016,16,Isle of Man,IM,Harvest,162555.0772705078,0.01625550772705078
2016,16,Isle of Man,IM,Fires,1055.002685546875,1.055002685546875e-4
2016,16,Isle of Man,IM,ExtremeEvents,0,0
2017,17,Isle of Man,IM,Harvest,156714.01025390625,0.015671401025390625
2017,17,Isle of Man,IM,Fires,527.2320556640625,5.272320556640625e-5
2017,17,Isle of Man,IM,ExtremeEvents,0,0
2018,18,Isle of Man,IM,Harvest,111720.67883300783,0.011172067883300782
2018,18,Isle of Man,IM,Fires,4220.827880859375,4.220827880859375e-4
2018,18,Isle of Man,IM,ExtremeEvents,0,0
2019,19,Isle of Man,IM,Harvest,173032.39819335938,0.017303239819335937
2019,19,Isle of Man,IM,Fires,23238.824584960938,0.0023238824584960937
2019,19,Isle of Man,IM,ExtremeEvents,0,0
2020,20,Isle of Man,IM,Harvest,56963.74835205078,0.005696374835205078
2020,20,Isle of Man,IM,Fires,14258.138244628906,0.0014258138244628907
2020,20,Isle of Man,IM,ExtremeEvents,0,0
2021,21,Isle of Man,IM,Harvest,122924.55126953125,0.012292455126953126
2021,21,Isle of Man,IM,Fires,3161.7182006835938,3.161718200683594e-4
2021,21,Isle of Man,IM,ExtremeEvents,0,0
2022,22,Isle of Man,IM,Harvest,154049.1212158203,0.01540491212158203
2022,22,Isle of Man,IM,Fires,17936.996520996094,0.0017936996520996093
2022,22,Isle of Man,IM,ExtremeEvents,0,0
2023,23,Isle of Man,IM,Harvest,74878.64080810547,0.007487864080810547
2023,23,Isle of Man,IM,Fires,5263.4700927734375,5.263470092773438e-4
2023,23,Isle of Man,IM,ExtremeEvents,0,0
2024,24,Isle of Man,IM,Harvest,133356.7879638672,0.013335678796386719
2024,24,Isle of Man,IM,Fires,526.2596435546875,5.262596435546875e-5
2024,24,Isle of Man,IM,ExtremeEvents,0,0
2025,25,Isle of Man,IM,Harvest,733692.72509765625,0.07336927250976563
2025,25,Isle of Man,IM,Fires,528.18988037109375,5.281898803710938e-5
2025,25,Isle of Man,IM,ExtremeEvents,0,0
