Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Israel,IS,Harvest,1009909.747314455,0.1009909747314455
2011,11,Israel,IS,Fires,263879.603515625,0.0263879603515625
2011,11,Israel,IS,ExtremeEvents,10243596.983703611,1.0243596983703611
2012,12,Israel,IS,Harvest,520513.4288330078,0.05205134288330078
2012,12,Israel,IS,Fires,79770.60760498047,0.007977060760498048
2012,12,Israel,IS,ExtremeEvents,66476.22772216797,0.006647622772216797
2013,13,Israel,IS,Harvest,584410.1516685337,0.05844101516685337
2013,13,Israel,IS,Fires,94463.6788330078,0.00944636788330078
2013,13,Israel,IS,ExtremeEvents,169914.58233642578,0.01699145823364258
2014,14,Israel,IS,Harvest,1822749.9046384327,0.18227499046384327
2014,14,Israel,IS,Fires,144483.48292643228,0.014448348292643227
2014,14,Israel,IS,ExtremeEvents,219679.5457763672,0.021967954577636718
2015,15,Israel,IS,Harvest,542853.9916381836,0.05428539916381836
2015,15,Israel,IS,Fires,68535.47888183594,0.006853547888183594
2015,15,Israel,IS,ExtremeEvents,200132.38458251953,0.020013238458251953
2016,16,Israel,IS,Harvest,665013.7879638672,0.06650137879638672
2016,16,Israel,IS,Fires,129481.85162353516,0.012948185162353515
2016,16,Israel,IS,ExtremeEvents,168414.4013671875,0.01684144013671875
2017,17,Israel,IS,Harvest,769871.8461167279,0.0769871846116728
2017,17,Israel,IS,Fires,427327.91497802734,0.042732791497802736
2017,17,Israel,IS,ExtremeEvents,474280.6607666016,0.04742806607666016
2018,18,Israel,IS,Harvest,534397.9570922852,0.053439795709228514
2018,18,Israel,IS,Fires,91132.309326171875,0.009113230932617188
2018,18,Israel,IS,ExtremeEvents,755.369384765625,7.55369384765625e-5
2019,19,Israel,IS,Harvest,653744.92626953125,0.06537449262695312
2019,19,Israel,IS,Fires,8376.6806640625,8.3766806640625e-4
2019,19,Israel,IS,ExtremeEvents,117835.27362060548,0.011783527362060548
2020,20,Israel,IS,Harvest,506777.84454345703,0.0506777844543457
2020,20,Israel,IS,Fires,24718.008857996323,0.002471800885799632
2020,20,Israel,IS,ExtremeEvents,133660.26397705078,0.013366026397705079
2021,21,Israel,IS,Harvest,292778.42480253335,0.029277842480253335
2021,21,Israel,IS,Fires,113389.10572078927,0.011338910572078927
2021,21,Israel,IS,ExtremeEvents,92870.2703857422,0.00928702703857422
2022,22,Israel,IS,Harvest,308985.57861328125,0.030898557861328124
2022,22,Israel,IS,Fires,807638.5411987305,0.08076385411987305
2022,22,Israel,IS,ExtremeEvents,37760.761169433594,0.0037760761169433592
2023,23,Israel,IS,Harvest,953365.5171891754,0.09533655171891754
2023,23,Israel,IS,Fires,235434.2165474686,0.02354342165474686
2023,23,Israel,IS,ExtremeEvents,239497.9521484375,0.02394979521484375
2024,24,Israel,IS,Harvest,1231166.7896632773,0.12311667896632773
2024,24,Israel,IS,Fires,320313.25106560206,0.032031325106560204
2024,24,Israel,IS,ExtremeEvents,55118.39367675781,0.0055118393676757815
2025,25,Israel,IS,Harvest,2488981.80774955,0.24889818077495499
2025,25,Israel,IS,Fires,3891530.3665793026,0.3891530366579303
2025,25,Israel,IS,ExtremeEvents,81571.78186035156,0.008157178186035157
