Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Italy,IT,Harvest,101074708.69130859,10.107470869130859
2011,11,Italy,IT,Fires,9585511.548430558,0.9585511548430559
2011,11,Italy,IT,ExtremeEvents,2914631.786743164,0.2914631786743164
2012,12,Italy,IT,Harvest,175851085.03672546,17.585108503672547
2012,12,Italy,IT,Fires,34714368.771554984,3.471436877155498
2012,12,Italy,IT,ExtremeEvents,2936471.8771362305,0.293647187713623
2013,13,Italy,IT,Harvest,126414134.73368421,12.641413473368422
2013,13,Italy,IT,Fires,22141228.744606405,2.2141228744606405
2013,13,Italy,IT,ExtremeEvents,5417805.689147949,0.5417805689147949
2014,14,Italy,IT,Harvest,179275428.95139402,17.927542895139403
2014,14,Italy,IT,Fires,12421482.032568837,1.2421482032568836
2014,14,Italy,IT,ExtremeEvents,6319608.914001465,0.6319608914001464
2015,15,Italy,IT,Harvest,130239153.04336607,13.023915304336608
2015,15,Italy,IT,Fires,6882088.425325282,0.6882088425325282
2015,15,Italy,IT,ExtremeEvents,3915638.457885742,0.3915638457885742
2016,16,Italy,IT,Harvest,212131880.39550042,21.213188039550044
2016,16,Italy,IT,Fires,24646743.051935412,2.464674305193541
2016,16,Italy,IT,ExtremeEvents,9227352.258728027,0.9227352258728028
2017,17,Italy,IT,Harvest,234247288.62037635,23.424728862037636
2017,17,Italy,IT,Fires,87053750.95716913,8.705375095716914
2017,17,Italy,IT,ExtremeEvents,18478902.7064209,1.8478902706420899
2018,18,Italy,IT,Harvest,321445855.2759593,32.14458552759593
2018,18,Italy,IT,Fires,43874541.33914077,4.387454133914077
2018,18,Italy,IT,ExtremeEvents,21263917.91845703,2.126391791845703
2019,19,Italy,IT,Harvest,338658762.23935163,33.86587622393516
2019,19,Italy,IT,Fires,15317866.526186954,1.5317866526186954
2019,19,Italy,IT,ExtremeEvents,242283861.61431885,24.228386161431885
2020,20,Italy,IT,Harvest,237373441.82966718,23.73734418296672
2020,20,Italy,IT,Fires,12678408.696796732,1.2678408696796732
2020,20,Italy,IT,ExtremeEvents,31340592.606681556,3.1340592606681557
2021,21,Italy,IT,Harvest,201854596.83767188,20.18545968376719
2021,21,Italy,IT,Fires,61349663.05952747,6.134966305952747
2021,21,Italy,IT,ExtremeEvents,17906699.14958496,1.790669914958496
2022,22,Italy,IT,Harvest,226426593.69900435,22.642659369900436
2022,22,Italy,IT,Fires,34654076.45052059,3.465407645052059
2022,22,Italy,IT,ExtremeEvents,23861535.156982426,2.3861535156982425
2023,23,Italy,IT,Harvest,362694057.60364485,36.269405760364485
2023,23,Italy,IT,Fires,21280377.20389835,2.1280377203898353
2023,23,Italy,IT,ExtremeEvents,63226497.084106445,6.322649708410644
2024,24,Italy,IT,Harvest,269396932.395496,26.9396932395496
2024,24,Italy,IT,Fires,16364085.7794211,1.63640857794211
2024,24,Italy,IT,ExtremeEvents,43645658.22961426,4.364565822961426
2025,25,Italy,IT,Harvest,236663537.37850675,23.666353737850674
2025,25,Italy,IT,Fires,26431922.608154297,2.6431922608154297
2025,25,Italy,IT,ExtremeEvents,29852732.74610213,2.9852732746102126
