Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Iraq,IZ,Harvest,22524.800720214847,0.0022524800720214845
2011,11,Iraq,IZ,Fires,1465.1869506835938,1.4651869506835936e-4
2011,11,Iraq,IZ,ExtremeEvents,0,0
2012,12,Iraq,IZ,Harvest,86264.84588623045,0.008626484588623045
2012,12,Iraq,IZ,Fires,11704.778259277344,0.0011704778259277345
2012,12,Iraq,IZ,ExtremeEvents,0,0
2013,13,Iraq,IZ,Harvest,21766.934143066406,0.0021766934143066406
2013,13,Iraq,IZ,Fires,1442.8637084960938,1.4428637084960938e-4
2013,13,Iraq,IZ,ExtremeEvents,0,0
2014,14,Iraq,IZ,Harvest,20208.996154785156,0.0020208996154785154
2014,14,Iraq,IZ,Fires,0,0
2014,14,Iraq,IZ,ExtremeEvents,0,0
2015,15,Iraq,IZ,Harvest,0,0
2015,15,Iraq,IZ,Fires,0,0
2015,15,Iraq,IZ,ExtremeEvents,0,0
2016,16,Iraq,IZ,Harvest,5004.27099609375,5.00427099609375e-4
2016,16,Iraq,IZ,Fires,714.279541015625,7.14279541015625e-5
2016,16,Iraq,IZ,ExtremeEvents,0,0
2017,17,Iraq,IZ,Harvest,1428.4960327148438,1.4284960327148438e-4
2017,17,Iraq,IZ,Fires,0,0
2017,17,Iraq,IZ,ExtremeEvents,0,0
2020,20,Iraq,IZ,Harvest,0,0
2020,20,Iraq,IZ,Fires,0,0
2020,20,Iraq,IZ,ExtremeEvents,0,0
2023,23,Iraq,IZ,Harvest,65504.71368408203,0.006550471368408203
2023,23,Iraq,IZ,Fires,2148.1678466796875,2.1481678466796875e-4
2023,23,Iraq,IZ,ExtremeEvents,0,0
2024,24,Iraq,IZ,Harvest,31066.562866210938,0.003106656286621094
2024,24,Iraq,IZ,Fires,4293.130187988281,4.293130187988281e-4
2024,24,Iraq,IZ,ExtremeEvents,0,0
2025,25,Iraq,IZ,Harvest,47109.978515625,0.0047109978515625
2025,25,Iraq,IZ,Fires,0,0
2025,25,Iraq,IZ,ExtremeEvents,0,0
