Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Japan,JA,Harvest,340823039.2542654,34.082303925426544
2011,11,Japan,JA,Fires,7436831.454277726,0.7436831454277726
2011,11,Japan,JA,ExtremeEvents,1738755.313415527,0.1738755313415527
2012,12,Japan,JA,Harvest,434762678.4778361,43.47626784778361
2012,12,Japan,JA,Fires,11357731.581784,1.1357731581784
2012,12,Japan,JA,ExtremeEvents,1284699.1251220703,0.12846991251220702
2013,13,Japan,JA,Harvest,223538342.70899555,22.353834270899554
2013,13,Japan,JA,Fires,1942796.3410376457,0.19427963410376456
2013,13,Japan,JA,ExtremeEvents,1279133.7559204102,0.12791337559204102
2014,14,Japan,JA,Harvest,270081507.8980627,27.00815078980627
2014,14,Japan,JA,Fires,2649223.422302246,0.2649223422302246
2014,14,Japan,JA,ExtremeEvents,1636884.5491333008,0.1636884549133301
2015,15,Japan,JA,Harvest,302276809.12505144,30.227680912505143
2015,15,Japan,JA,Fires,988653.1541104186,0.09886531541104186
2015,15,Japan,JA,ExtremeEvents,1723915.0939331057,0.17239150939331058
2016,16,Japan,JA,Harvest,527572195.5328596,52.757219553285964
2016,16,Japan,JA,Fires,8116395.114114919,0.8116395114114918
2016,16,Japan,JA,ExtremeEvents,1707051.7929077148,0.17070517929077147
2017,17,Japan,JA,Harvest,459960375.41593575,45.99603754159357
2017,17,Japan,JA,Fires,3829434.1566449334,0.38294341566449336
2017,17,Japan,JA,ExtremeEvents,1694638.2103881836,0.16946382103881835
2018,18,Japan,JA,Harvest,490942025.3633963,49.09420253633963
2018,18,Japan,JA,Fires,3048288.8483731137,0.30482888483731135
2018,18,Japan,JA,ExtremeEvents,833822.0244140625,0.08338220244140625
2019,19,Japan,JA,Harvest,494320353.51010716,49.43203535101072
2019,19,Japan,JA,Fires,2103189.1971521713,0.21031891971521713
2019,19,Japan,JA,ExtremeEvents,6559099.474243164,0.6559099474243164
2020,20,Japan,JA,Harvest,469418061.72827834,46.94180617282783
2020,20,Japan,JA,Fires,2281977.3069436466,0.22819773069436466
2020,20,Japan,JA,ExtremeEvents,1164373.3973999023,0.11643733973999024
2021,21,Japan,JA,Harvest,473121480.4442845,47.31214804442845
2021,21,Japan,JA,Fires,1343978.5275268557,0.13439785275268556
2021,21,Japan,JA,ExtremeEvents,1202893.774353027,0.12028937743530271
2022,22,Japan,JA,Harvest,526059133.5161811,52.60591335161811
2022,22,Japan,JA,Fires,765918.7927246094,0.07659187927246094
2022,22,Japan,JA,ExtremeEvents,745547.1927490234,0.07455471927490234
2023,23,Japan,JA,Harvest,490948718.8044469,49.094871880444686
2023,23,Japan,JA,Fires,1206977.8450927734,0.12069778450927734
2023,23,Japan,JA,ExtremeEvents,1320599.438287952,0.1320599438287952
2024,24,Japan,JA,Harvest,523843628.2490155,52.38436282490155
2024,24,Japan,JA,Fires,2386384.420227051,0.23863844202270507
2024,24,Japan,JA,ExtremeEvents,934375.8973824296,0.09343758973824295
2025,25,Japan,JA,Harvest,515004628.2931856,51.50046282931856
2025,25,Japan,JA,Fires,7789789.13617446,0.778978913617446
2025,25,Japan,JA,ExtremeEvents,599791.2184448242,0.059979121844482425
