Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Jordan,JO,Harvest,758.96563720703125,7.589656372070313e-5
2011,11,Jordan,JO,Fires,0,0
2011,11,Jordan,JO,ExtremeEvents,0,0
2012,12,Jordan,JO,Harvest,758.27783203125,7.5827783203125e-5
2012,12,Jordan,JO,Fires,0,0
2012,12,Jordan,JO,ExtremeEvents,0,0
2013,13,Jordan,JO,Harvest,1515.5848999023438,1.5155848999023438e-4
2013,13,Jordan,JO,Fires,0,0
2013,13,Jordan,JO,ExtremeEvents,0,0
2014,14,Jordan,JO,Harvest,6820.795288085939,6.82079528808594e-4
2014,14,Jordan,JO,Fires,3790.4818115234375,3.7904818115234377e-4
2014,14,Jordan,JO,ExtremeEvents,0,0
2015,15,Jordan,JO,Harvest,3032.6295166015625,3.032629516601563e-4
2015,15,Jordan,JO,Fires,3034.9781494140625,3.0349781494140625e-4
2015,15,Jordan,JO,ExtremeEvents,0,0
2016,16,Jordan,JO,Harvest,0,0
2016,16,Jordan,JO,Fires,0,0
2016,16,Jordan,JO,ExtremeEvents,0,0
2017,17,Jordan,JO,Harvest,757.55731201171875,7.575573120117187e-5
2017,17,Jordan,JO,Fires,8356.033020019531,8.356033020019532e-4
2017,17,Jordan,JO,ExtremeEvents,0,0
2019,19,Jordan,JO,Harvest,3791.1453247070312,3.791145324707031e-4
2019,19,Jordan,JO,Fires,7585.639709472656,7.585639709472656e-4
2019,19,Jordan,JO,ExtremeEvents,0,0
2020,20,Jordan,JO,Harvest,4548.9869384765625,4.5489869384765627e-4
2020,20,Jordan,JO,Fires,1517.6837768554688,1.517683776855469e-4
2020,20,Jordan,JO,ExtremeEvents,0,0
2022,22,Jordan,JO,Harvest,0,0
2022,22,Jordan,JO,Fires,0,0
2022,22,Jordan,JO,ExtremeEvents,0,0
2023,23,Jordan,JO,Harvest,2276.9763793945317,2.2769763793945317e-4
2023,23,Jordan,JO,Fires,3794.978393554687,3.794978393554687e-4
2023,23,Jordan,JO,ExtremeEvents,0,0
2024,24,Jordan,JO,Harvest,13638.932556152344,0.0013638932556152344
2024,24,Jordan,JO,Fires,16697.725524902344,0.0016697725524902345
2024,24,Jordan,JO,ExtremeEvents,0,0
2025,25,Jordan,JO,Harvest,21256.024780273438,0.0021256024780273437
2025,25,Jordan,JO,Fires,56149.674377441406,0.005614967437744141
2025,25,Jordan,JO,ExtremeEvents,0,0
