Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Kyrgyzstan,KG,Harvest,87229.08526611328,0.008722908526611329
2011,11,Kyrgyzstan,KG,Fires,135285.29766845703,0.013528529766845702
2011,11,Kyrgyzstan,KG,ExtremeEvents,0,0
2012,12,Kyrgyzstan,KG,Harvest,93292.3037109375,0.00932923037109375
2012,12,Kyrgyzstan,KG,Fires,125712.2724609375,0.01257122724609375
2012,12,Kyrgyzstan,KG,ExtremeEvents,0,0
2013,13,Kyrgyzstan,KG,Harvest,13577.459350585938,0.0013577459350585938
2013,13,Kyrgyzstan,KG,Fires,11469.867004394531,0.0011469867004394532
2013,13,Kyrgyzstan,KG,ExtremeEvents,0,0
2014,14,Kyrgyzstan,KG,Harvest,0,0
2014,14,Kyrgyzstan,KG,Fires,21026.786193847656,0.0021026786193847655
2014,14,Kyrgyzstan,KG,ExtremeEvents,0,0
2016,16,Kyrgyzstan,KG,Harvest,686.2755126953125,6.862755126953125e-5
2016,16,Kyrgyzstan,KG,Fires,0,0
2016,16,Kyrgyzstan,KG,ExtremeEvents,0,0
2017,17,Kyrgyzstan,KG,Harvest,97382.59753417969,0.00973825975341797
2017,17,Kyrgyzstan,KG,Fires,14927.074035644531,0.0014927074035644531
2017,17,Kyrgyzstan,KG,ExtremeEvents,0,0
2019,19,Kyrgyzstan,KG,Harvest,692.0494384765625,6.920494384765625e-5
2019,19,Kyrgyzstan,KG,Fires,15161.669799804688,0.0015161669799804687
2019,19,Kyrgyzstan,KG,ExtremeEvents,0,0
2020,20,Kyrgyzstan,KG,Harvest,0,0
2020,20,Kyrgyzstan,KG,Fires,3437.9768676757812,3.4379768676757815e-4
2020,20,Kyrgyzstan,KG,ExtremeEvents,0,0
2021,21,Kyrgyzstan,KG,Harvest,679.751220703125,6.79751220703125e-5
2021,21,Kyrgyzstan,KG,Fires,679.751220703125,6.79751220703125e-5
2021,21,Kyrgyzstan,KG,ExtremeEvents,0,0
2022,22,Kyrgyzstan,KG,Harvest,5452.418762207031,5.452418762207031e-4
2022,22,Kyrgyzstan,KG,Fires,10963.824401855469,0.0010963824401855468
2022,22,Kyrgyzstan,KG,ExtremeEvents,0,0
2023,23,Kyrgyzstan,KG,Harvest,6885.022705078125,6.885022705078125e-4
2023,23,Kyrgyzstan,KG,Fires,633540.3366699219,0.06335403366699219
2023,23,Kyrgyzstan,KG,ExtremeEvents,0,0
2024,24,Kyrgyzstan,KG,Harvest,157762.14666748047,0.015776214666748046
2024,24,Kyrgyzstan,KG,Fires,195792.5635986328,0.01957925635986328
2024,24,Kyrgyzstan,KG,ExtremeEvents,0,0
2025,25,Kyrgyzstan,KG,Harvest,2051.2269287109357,2.0512269287109358e-4
2025,25,Kyrgyzstan,KG,Fires,11009.455932617188,0.0011009455932617187
2025,25,Kyrgyzstan,KG,ExtremeEvents,0,0
2018,18,Kyrgyzstan,KG,Harvest,0,0
2018,18,Kyrgyzstan,KG,Fires,0,0
2018,18,Kyrgyzstan,KG,ExtremeEvents,0,0
