Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Dem People's Rep of Korea,KN,Harvest,27130405.577587415,2.7130405577587413
2011,11,Dem People's Rep of Korea,KN,Fires,19836369.684857298,1.9836369684857298
2011,11,Dem People's Rep of Korea,KN,ExtremeEvents,268319.6409301758,0.02683196409301758
2012,12,Dem People's Rep of Korea,KN,Harvest,119928970.66310865,11.992897066310865
2012,12,Dem People's Rep of Korea,KN,Fires,17033250.241372503,1.7033250241372504
2012,12,Dem People's Rep of Korea,KN,ExtremeEvents,178094.40283203125,0.017809440283203123
2013,13,Dem People's Rep of Korea,KN,Harvest,40558547.02322999,4.055854702322999
2013,13,Dem People's Rep of Korea,KN,Fires,2557690.3959350586,0.2557690395935059
2013,13,Dem People's Rep of Korea,KN,ExtremeEvents,52861.06085205078,0.005286106085205078
2014,14,Dem People's Rep of Korea,KN,Harvest,67084051.18983489,6.70840511898349
2014,14,Dem People's Rep of Korea,KN,Fires,26622866.133957807,2.6622866133957808
2014,14,Dem People's Rep of Korea,KN,ExtremeEvents,21406.563415527344,0.0021406563415527343
2015,15,Dem People's Rep of Korea,KN,Harvest,32143265.774984926,3.2143265774984924
2015,15,Dem People's Rep of Korea,KN,Fires,46305579.165527344,4.630557916552735
2015,15,Dem People's Rep of Korea,KN,ExtremeEvents,153893.1192626953,0.01538931192626953
2016,16,Dem People's Rep of Korea,KN,Harvest,71816038.83920562,7.1816038839205625
2016,16,Dem People's Rep of Korea,KN,Fires,16739561.765707098,1.6739561765707098
2016,16,Dem People's Rep of Korea,KN,ExtremeEvents,182039.36596679688,0.01820393659667969
2017,17,Dem People's Rep of Korea,KN,Harvest,58786525.81769374,5.878652581769374
2017,17,Dem People's Rep of Korea,KN,Fires,9801439.159545898,0.9801439159545898
2017,17,Dem People's Rep of Korea,KN,ExtremeEvents,206948.39715576172,0.02069483971557617
2018,18,Dem People's Rep of Korea,KN,Harvest,51727379.34547694,5.172737934547694
2018,18,Dem People's Rep of Korea,KN,Fires,6887769.068969727,0.6887769068969727
2018,18,Dem People's Rep of Korea,KN,ExtremeEvents,3917485.981506348,0.3917485981506348
2019,19,Dem People's Rep of Korea,KN,Harvest,101750678.5288744,10.17506785288744
2019,19,Dem People's Rep of Korea,KN,Fires,91475998.73991176,9.147599873991176
2019,19,Dem People's Rep of Korea,KN,ExtremeEvents,22314476.75201416,2.231447675201416
2020,20,Dem People's Rep of Korea,KN,Harvest,97494742.66187814,9.749474266187814
2020,20,Dem People's Rep of Korea,KN,Fires,26190716.188978247,2.619071618897825
2020,20,Dem People's Rep of Korea,KN,ExtremeEvents,178589.97064208984,0.017858997064208983
2021,21,Dem People's Rep of Korea,KN,Harvest,104755853.26063806,10.475585326063806
2021,21,Dem People's Rep of Korea,KN,Fires,5079859.550600299,0.5079859550600299
2021,21,Dem People's Rep of Korea,KN,ExtremeEvents,185006.85418701172,0.01850068541870117
2022,22,Dem People's Rep of Korea,KN,Harvest,68027221.06455699,6.802722106455699
2022,22,Dem People's Rep of Korea,KN,Fires,5709681.081988885,0.5709681081988885
2022,22,Dem People's Rep of Korea,KN,ExtremeEvents,25429.672912597656,0.0025429672912597656
2023,23,Dem People's Rep of Korea,KN,Harvest,79230016.32104588,7.9230016321045875
2023,23,Dem People's Rep of Korea,KN,Fires,2156967.392944336,0.2156967392944336
2023,23,Dem People's Rep of Korea,KN,ExtremeEvents,139222.51416015625,0.013922251416015625
2024,24,Dem People's Rep of Korea,KN,Harvest,72777233.3779907,7.2777233377990695
2024,24,Dem People's Rep of Korea,KN,Fires,24316383.96350433,2.431638396350433
2024,24,Dem People's Rep of Korea,KN,ExtremeEvents,164592.57843017578,0.016459257843017577
2025,25,Dem People's Rep of Korea,KN,Harvest,69598080.5556801,6.9598080555680095
2025,25,Dem People's Rep of Korea,KN,Fires,2508101.638671875,0.2508101638671875
2025,25,Dem People's Rep of Korea,KN,ExtremeEvents,88336.43835449219,0.008833643835449219
