Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Republic of Korea,KS,Harvest,108809290.00146607,10.880929000146606
2011,11,Republic of Korea,KS,Fires,9556320.14553845,0.9556320145538449
2011,11,Republic of Korea,KS,ExtremeEvents,1655166.6206894815,0.16551666206894816
2012,12,Republic of Korea,KS,Harvest,153780957.4662674,15.378095746626741
2012,12,Republic of Korea,KS,Fires,6830905.487440401,0.6830905487440401
2012,12,Republic of Korea,KS,ExtremeEvents,2473859.2339183134,0.24738592339183135
2013,13,Republic of Korea,KS,Harvest,93618320.96985823,9.361832096985824
2013,13,Republic of Korea,KS,Fires,3053832.648377901,0.3053832648377901
2013,13,Republic of Korea,KS,ExtremeEvents,1715256.7976663029,0.1715256797666303
2014,14,Republic of Korea,KS,Harvest,135401147.3985727,13.540114739857271
2014,14,Republic of Korea,KS,Fires,1929222.1062129005,0.19292221062129006
2014,14,Republic of Korea,KS,ExtremeEvents,1740029.6609073416,0.17400296609073415
2015,15,Republic of Korea,KS,Harvest,175427241.82287624,17.542724182287625
2015,15,Republic of Korea,KS,Fires,1697277.2963256836,0.16972772963256835
2015,15,Republic of Korea,KS,ExtremeEvents,1884599.664163507,0.1884599664163507
2016,16,Republic of Korea,KS,Harvest,226298549.18315762,22.62985491831576
2016,16,Republic of Korea,KS,Fires,5381557.718994141,0.5381557718994141
2016,16,Republic of Korea,KS,ExtremeEvents,3017067.3357543945,0.3017067335754395
2017,17,Republic of Korea,KS,Harvest,206636230.64986598,20.6636230649866
2017,17,Republic of Korea,KS,Fires,7311955.860717773,0.7311955860717774
2017,17,Republic of Korea,KS,ExtremeEvents,2488100.3112556012,0.24881003112556013
2018,18,Republic of Korea,KS,Harvest,222002123.95244998,22.200212395244996
2018,18,Republic of Korea,KS,Fires,2907932.9218651867,0.29079329218651867
2018,18,Republic of Korea,KS,ExtremeEvents,2570822.1105337106,0.25708221105337103
2019,19,Republic of Korea,KS,Harvest,200262792.20425904,20.026279220425902
2019,19,Republic of Korea,KS,Fires,13264804.1492154,1.3264804149215401
2019,19,Republic of Korea,KS,ExtremeEvents,1855655.3250741996,0.18556553250741997
2020,20,Republic of Korea,KS,Harvest,195715709.25904298,19.571570925904297
2020,20,Republic of Korea,KS,Fires,5116933.303275793,0.5116933303275792
2020,20,Republic of Korea,KS,ExtremeEvents,9818120.024071308,0.9818120024071307
2021,21,Republic of Korea,KS,Harvest,173562758.34020898,17.3562758340209
2021,21,Republic of Korea,KS,Fires,3184166.2362060547,0.31841662362060547
2021,21,Republic of Korea,KS,ExtremeEvents,3794530.6541197537,0.3794530654119754
2022,22,Republic of Korea,KS,Harvest,199463933.49114537,19.946393349114537
2022,22,Republic of Korea,KS,Fires,15769339.005663585,1.5769339005663585
2022,22,Republic of Korea,KS,ExtremeEvents,51497108.818359375,5.149710881835937
2023,23,Republic of Korea,KS,Harvest,200207614.83254927,20.020761483254926
2023,23,Republic of Korea,KS,Fires,9693168.534747912,0.9693168534747911
2023,23,Republic of Korea,KS,ExtremeEvents,19718837.68064228,1.971883768064228
2024,24,Republic of Korea,KS,Harvest,160253631.60973325,16.025363160973324
2024,24,Republic of Korea,KS,Fires,996697.6598510742,0.09966976598510742
2024,24,Republic of Korea,KS,ExtremeEvents,5224429.445713418,0.5224429445713418
2025,25,Republic of Korea,KS,Harvest,181377284.57575762,18.13772845757576
2025,25,Republic of Korea,KS,Fires,125832836.96240234,12.583283696240235
2025,25,Republic of Korea,KS,ExtremeEvents,591726300.8205006,59.17263008205006
