Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Lao People's Democratic Republic,LA,Harvest,406714988.48752105,40.67149884875211
2011,11,Lao People's Democratic Republic,LA,Fires,1863818.2983072917,0.18638182983072918
2011,11,Lao People's Democratic Republic,LA,ExtremeEvents,63156060.71611401,6.315606071611401
2012,12,Lao People's Democratic Republic,LA,Harvest,570625559.8350511,57.062555983505106
2012,12,Lao People's Democratic Republic,LA,Fires,3033024.464090744,0.3033024464090744
2012,12,Lao People's Democratic Republic,LA,ExtremeEvents,69466556.23890142,6.946655623890142
2013,13,Lao People's Democratic Republic,LA,Harvest,971679530.1407323,97.16795301407323
2013,13,Lao People's Democratic Republic,LA,Fires,1320064.3345458985,0.13200643345458984
2013,13,Lao People's Democratic Republic,LA,ExtremeEvents,86113436.33026984,8.611343633026983
2014,14,Lao People's Democratic Republic,LA,Harvest,1127101675.1677012,112.71016751677013
2014,14,Lao People's Democratic Republic,LA,Fires,1450172.5061676623,0.14501725061676624
2014,14,Lao People's Democratic Republic,LA,ExtremeEvents,92168567.1780472,9.216856717804719
2015,15,Lao People's Democratic Republic,LA,Harvest,1302890297.6433694,130.28902976433693
2015,15,Lao People's Democratic Republic,LA,Fires,1505412.6899414062,0.15054126899414064
2015,15,Lao People's Democratic Republic,LA,ExtremeEvents,106577708.01015554,10.657770801015554
2016,16,Lao People's Democratic Republic,LA,Harvest,1790241880.6829896,179.02418806829897
2016,16,Lao People's Democratic Republic,LA,Fires,4178317.974768067,0.41783179747680665
2016,16,Lao People's Democratic Republic,LA,ExtremeEvents,120290723.86226232,12.029072386226233
2017,17,Lao People's Democratic Republic,LA,Harvest,1601173954.838524,160.11739548385242
2017,17,Lao People's Democratic Republic,LA,Fires,2081521.270263672,0.2081521270263672
2017,17,Lao People's Democratic Republic,LA,ExtremeEvents,126885872.90969072,12.688587290969073
2018,18,Lao People's Democratic Republic,LA,Harvest,1313936430.0866075,131.39364300866075
2018,18,Lao People's Democratic Republic,LA,Fires,2088038.6979980469,0.2088038697998047
2018,18,Lao People's Democratic Republic,LA,ExtremeEvents,116797471.58231536,11.679747158231535
2019,19,Lao People's Democratic Republic,LA,Harvest,1660584506.1573048,166.05845061573046
2019,19,Lao People's Democratic Republic,LA,Fires,2772880.478515625,0.2772880478515625
2019,19,Lao People's Democratic Republic,LA,ExtremeEvents,163792178.7998978,16.379217879989778
2020,20,Lao People's Democratic Republic,LA,Harvest,1549122352.1889346,154.91223521889344
2020,20,Lao People's Democratic Republic,LA,Fires,2255116.0911254883,0.22551160911254883
2020,20,Lao People's Democratic Republic,LA,ExtremeEvents,147577980.0230629,14.757798002306291
2021,21,Lao People's Democratic Republic,LA,Harvest,1327389274.645577,132.7389274645577
2021,21,Lao People's Democratic Republic,LA,Fires,2544938.7014193665,0.25449387014193664
2021,21,Lao People's Democratic Republic,LA,ExtremeEvents,145150823.41806066,14.515082341806066
2022,22,Lao People's Democratic Republic,LA,Harvest,1271276464.3576355,127.12764643576355
2022,22,Lao People's Democratic Republic,LA,Fires,1444245.888671875,0.1444245888671875
2022,22,Lao People's Democratic Republic,LA,ExtremeEvents,184905199.0552998,18.49051990552998
2023,23,Lao People's Democratic Republic,LA,Harvest,1713534255.1665168,171.35342551665167
2023,23,Lao People's Democratic Republic,LA,Fires,2383291.0282592773,0.23832910282592773
2023,23,Lao People's Democratic Republic,LA,ExtremeEvents,312590365.7227642,31.25903657227642
2024,24,Lao People's Democratic Republic,LA,Harvest,1351179324.6062233,135.11793246062234
2024,24,Lao People's Democratic Republic,LA,Fires,3751960.48093908,0.375196048093908
2024,24,Lao People's Democratic Republic,LA,ExtremeEvents,200493473.88044217,20.049347388044218
2025,25,Lao People's Democratic Republic,LA,Harvest,900426950.1000141,90.04269501000141
2025,25,Lao People's Democratic Republic,LA,Fires,3016295.2217445527,0.30162952217445527
2025,25,Lao People's Democratic Republic,LA,ExtremeEvents,112876780.6682385,11.287678066823851
