Year,YearCode,Country,GEECode,name,Area_m2,value
2011,11,Lithuania,LH,Harvest,129683695.11713031,12.96836951171303
2011,11,Lithuania,LH,Fires,665345.7567138672,0.06653457567138672
2011,11,Lithuania,LH,ExtremeEvents,86358237.97528878,8.635823797528879
2012,12,Lithuania,LH,Harvest,165406163.44626296,16.540616344626297
2012,12,Lithuania,LH,Fires,1143703.375904158,0.1143703375904158
2012,12,Lithuania,LH,ExtremeEvents,8987964.740666289,0.8987964740666289
2013,13,Lithuania,LH,Harvest,128065157.48423746,12.806515748423747
2013,13,Lithuania,LH,Fires,335797.61489509133,0.033579761489509134
2013,13,Lithuania,LH,ExtremeEvents,10296655.658261769,1.0296655658261769
2014,14,Lithuania,LH,Harvest,147229234.13546032,14.722923413546031
2014,14,Lithuania,LH,Fires,162401.1041985007,0.01624011041985007
2014,14,Lithuania,LH,ExtremeEvents,10796159.030867511,1.0796159030867511
2015,15,Lithuania,LH,Harvest,147421233.00512707,14.742123300512707
2015,15,Lithuania,LH,Fires,53769.796104999616,0.005376979610499962
2015,15,Lithuania,LH,ExtremeEvents,9809224.275455013,0.9809224275455013
2016,16,Lithuania,LH,Harvest,236498396.98115826,23.649839698115827
2016,16,Lithuania,LH,Fires,1232420.9010009766,0.12324209010009765
2016,16,Lithuania,LH,ExtremeEvents,15248163.93164685,1.524816393164685
2017,17,Lithuania,LH,Harvest,237129153.37246096,23.712915337246095
2017,17,Lithuania,LH,Fires,1454556.4005228677,0.14545564005228676
2017,17,Lithuania,LH,ExtremeEvents,16968363.21662179,1.696836321662179
2018,18,Lithuania,LH,Harvest,183496340.58491102,18.3496340584911
2018,18,Lithuania,LH,Fires,371275.5262451172,0.03712755262451172
2018,18,Lithuania,LH,ExtremeEvents,12330492.15116661,1.233049215116661
2019,19,Lithuania,LH,Harvest,228846763.2872923,22.88467632872923
2019,19,Lithuania,LH,Fires,569930.8406982422,0.05699308406982422
2019,19,Lithuania,LH,ExtremeEvents,13417724.331178913,1.3417724331178913
2020,20,Lithuania,LH,Harvest,214204849.44824812,21.42048494482481
2020,20,Lithuania,LH,Fires,280408.12313842773,0.028040812313842773
2020,20,Lithuania,LH,ExtremeEvents,13600759.153489774,1.3600759153489774
2021,21,Lithuania,LH,Harvest,210636256.64055082,21.06362566405508
2021,21,Lithuania,LH,Fires,556447.9095285453,0.05564479095285453
2021,21,Lithuania,LH,ExtremeEvents,14046662.27185944,1.4046662271859438
2022,22,Lithuania,LH,Harvest,221581501.88178033,22.158150188178034
2022,22,Lithuania,LH,Fires,506908.1102016075,0.05069081102016075
2022,22,Lithuania,LH,ExtremeEvents,14282509.460757986,1.4282509460757986
2023,23,Lithuania,LH,Harvest,217733342.89250585,21.773334289250585
2023,23,Lithuania,LH,Fires,206750.6365966797,0.02067506365966797
2023,23,Lithuania,LH,ExtremeEvents,28585868.13036978,2.858586813036978
2024,24,Lithuania,LH,Harvest,207522697.89397523,20.752269789397523
2024,24,Lithuania,LH,Fires,314919.44114990236,0.031491944114990233
2024,24,Lithuania,LH,ExtremeEvents,13767148.648168229,1.3767148648168228
2025,25,Lithuania,LH,Harvest,274621977.8483724,27.46219778483724
2025,25,Lithuania,LH,Fires,1521893.890130615,0.1521893890130615
2025,25,Lithuania,LH,ExtremeEvents,17569162.65295039,1.7569162652950392
